Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Tate Armstrong,"Oct 18, '77, CHI @ CLE",22,1,66,716,131,280,,,22,27,24,68,74,23,0,58,42,284,.468,,.815,10.8,4.3,1.0,1.1,0.3,0.0,1977-78
Greg Ballard,"Oct 21, '77, WSB vs. DET",23,1,76,936,142,334,,,88,114,102,266,62,30,13,64,90,372,.425,,.772,12.3,4.9,3.5,0.8,0.4,0.2,1977-78
Kent Benson,"Oct 18, '77, MIL vs. LAL",23,1,69,1288,220,473,,,92,141,89,295,99,69,54,119,177,532,.465,,.652,18.7,7.7,4.3,1.4,1.0,0.8,1977-78
Otis Birdsong,"Oct 18, '77, KCK @ NYK",22,1,73,1878,470,955,,,216,310,70,175,174,74,12,145,179,1156,.492,,.697,25.7,15.8,2.4,2.4,1.0,0.2,1977-78
Phil Bond,"Oct 22, '77, HOU vs. BOS",23,1,7,21,2,6,,,0,0,1,4,2,1,0,2,1,4,.333,,,3.0,0.6,0.6,0.3,0.1,0.0,1977-78
Jim Bostic,"Apr 5, '78, DET @ PHI",25,1,4,48,12,22,,,2,5,8,16,3,0,0,3,5,26,.545,,.400,12.0,6.5,4.0,0.8,0.0,0.0,1977-78
Alonzo Bradley,"Dec 26, '77, HOU vs. KCK",24,1,43,798,130,304,,,43,59,24,99,54,16,6,55,83,303,.428,,.729,18.6,7.0,2.3,1.3,0.4,0.1,1977-78
Mike Bratz,"Oct 18, '77, PHO vs. GSW",22,1,80,933,159,395,,,56,68,42,115,123,39,5,89,104,374,.403,,.824,11.7,4.7,1.4,1.5,0.5,0.1,1977-78
Wayman Britt,"Oct 18, '77, DET vs. NJN",25,1,7,16,3,10,,,3,4,1,4,2,1,0,1,3,9,.300,,.750,2.3,1.3,0.6,0.3,0.1,0.0,1977-78
Kenny Carr,"Dec 4, '77, LAL vs. DEN",22,1,52,733,134,302,,,55,85,53,208,26,18,14,89,127,323,.444,,.647,14.1,6.2,4.0,0.5,0.3,0.3,1977-78
Bob Carrington,"Oct 18, '77, NJN @ DET",24,1,72,1653,253,589,,,130,171,70,174,117,65,23,118,205,636,.430,,.760,23.0,8.8,2.4,1.6,0.9,0.3,1977-78
Wesley Cox,"Oct 18, '77, GSW @ PHO",23,1,43,453,69,173,,,58,100,42,143,12,21,10,36,82,196,.399,,.580,10.5,4.6,3.3,0.3,0.5,0.2,1977-78
Charlie Criss,"Oct 22, '77, ATL vs. CLE",29,1,77,1935,319,751,,,236,296,24,121,294,108,5,150,143,874,.425,,.797,25.1,11.4,1.6,3.8,1.4,0.1,1977-78
Mark Crow,"Oct 18, '77, NJN @ DET",23,1,15,154,35,80,,,14,20,14,27,8,5,1,12,24,84,.438,,.700,10.3,5.6,1.8,0.5,0.3,0.1,1977-78
Brad Davis,"Oct 21, '77, LAL @ DEN",22,1,33,334,30,72,,,22,29,4,35,83,15,2,35,39,82,.417,,.759,10.1,2.5,1.1,2.5,0.5,0.1,1977-78
Walter Davis*,"Oct 18, '77, PHO vs. GSW",23,1,81,2590,786,1494,,,387,466,158,484,273,113,20,283,242,1959,.526,,.830,32.0,24.2,6.0,3.4,1.4,0.2,1977-78
Jacky Dorsey,"Oct 22, '77, DEN @ DET",23,1,11,88,12,31,,,10,16,11,30,5,2,3,6,17,34,.387,,.625,8.0,3.1,2.7,0.5,0.2,0.3,1977-78
T.R. Dunn,"Oct 22, '77, POR vs. SAS",22,1,63,768,100,240,,,37,56,63,147,45,46,8,35,74,237,.417,,.661,12.2,3.8,2.3,0.7,0.7,0.1,1977-78
James Edwards,"Oct 18, '77, LAL @ MIL",22,1,83,2405,495,1093,,,272,421,197,615,85,53,78,169,322,1262,.453,,.646,29.0,15.2,7.4,1.0,0.6,0.9,1977-78
Bo Ellis,"Oct 19, '77, DEN vs. MIL",23,1,78,1213,133,320,,,72,104,114,304,73,49,47,99,208,338,.416,,.692,15.6,4.3,3.9,0.9,0.6,0.6,1977-78
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1977-78
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1977-78
Al Fleming,"Oct 19, '77, SEA @ GSW",23,1,20,97,15,31,,,10,17,13,30,7,0,5,16,16,40,.484,,.588,4.9,2.0,1.5,0.4,0.0,0.3,1977-78
Bayard Forrest,"Oct 18, '77, PHO vs. GSW",23,1,64,887,111,238,,,49,103,84,250,129,23,34,84,105,271,.466,,.476,13.9,4.2,3.9,2.0,0.4,0.5,1977-78
Mike Glenn,"Dec 14, '77, BUF @ PHO",22,1,56,947,195,370,,,51,65,14,79,78,35,5,50,98,441,.527,,.785,16.9,7.9,1.4,1.4,0.6,0.1,1977-78
Glen Gondrezick,"Oct 18, '77, NYK vs. KCK",22,1,72,1017,131,339,,,83,121,92,250,83,56,18,82,181,345,.386,,.686,14.1,4.8,3.5,1.2,0.8,0.3,1977-78
