Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Carmelo Anthony,"Oct 29, '03, DEN vs. SAS",19,1,82,2995,624,1465,69,214,408,525,183,498,227,97,41,247,225,1725,.426,.322,.777,36.5,21.0,6.1,2.8,1.2,0.5,2003-04,NBA
Marcus Banks,"Oct 29, '03, BOS vs. MIA",22,1,81,1385,177,442,27,86,99,131,30,133,175,88,13,125,171,480,.400,.314,.756,17.1,5.9,1.6,2.2,1.1,0.2,2003-04,NBA
Leandro Barbosa,"Nov 12, '03, PHO vs. ATL",21,1,70,1500,210,470,83,210,47,61,23,123,165,93,7,120,184,550,.447,.395,.770,21.4,7.9,1.8,2.4,1.3,0.1,2003-04,NBA
Matt Barnes,"Jan 19, '04, LAC vs. SAC",23,1,38,724,63,138,2,13,43,61,53,151,48,27,3,44,76,171,.457,.154,.705,19.1,4.5,4.0,1.3,0.7,0.1,2003-04,NBA
Jerome Beasley,"Oct 29, '03, MIA @ BOS",23,1,2,5,1,3,0,0,0,0,0,1,0,0,0,0,0,2,.333,,,2.5,1.0,0.5,0.0,0.0,0.0,2003-04,NBA
Troy Bell,"Dec 13, '03, MEM vs. NJN",23,1,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,.222,.000,1.000,5.7,1.8,0.7,0.7,0.2,0.0,2003-04,NBA
Steve Blake,"Oct 29, '03, WAS @ CHI",23,1,75,1392,157,407,75,202,55,67,18,117,209,57,7,128,100,444,.386,.371,.821,18.6,5.9,1.6,2.8,0.8,0.1,2003-04,NBA
Keith Bogans,"Nov 7, '03, ORL vs. MIN",23,1,73,1787,183,454,67,187,65,103,106,317,98,46,10,75,128,498,.403,.358,.631,24.5,6.8,4.3,1.3,0.6,0.1,2003-04,NBA
Curtis Borchardt,"Nov 8, '03, UTA vs. MEM",23,1,16,258,22,56,0,1,14,18,13,54,15,4,14,18,40,58,.393,.000,.778,16.1,3.6,3.4,0.9,0.3,0.9,2003-04,NBA
Chris Bosh*,"Oct 29, '03, TOR vs. NJN",19,1,75,2510,327,712,5,14,202,288,191,557,78,59,106,107,215,861,.459,.357,.701,33.5,11.5,7.4,1.0,0.8,1.4,2003-04,NBA
Torraye Braggs,"Oct 30, '03, HOU vs. DEN",27,1,15,154,16,33,0,0,8,12,18,39,7,4,2,13,29,40,.485,,.667,10.3,2.7,2.6,0.5,0.3,0.1,2003-04,NBA
Žarko Čabarkapa,"Oct 28, '03, PHO @ SAS",22,1,49,570,81,197,6,32,35,53,26,99,40,10,13,54,75,203,.411,.188,.660,11.6,4.1,2.0,0.8,0.2,0.3,2003-04,NBA
Matt Carroll,"Nov 7, '03, POR @ SEA",23,1,16,70,7,16,1,3,4,6,1,6,2,1,0,6,8,19,.438,.333,.667,4.4,1.2,0.4,0.1,0.1,0.0,2003-04,NBA
Maurice Carter,"Feb 2, '04, LAL @ IND",27,1,10,110,11,35,4,11,16,20,2,11,4,0,0,9,10,42,.314,.364,.800,11.0,4.2,1.1,0.4,0.0,0.0,2003-04,NBA
Brian Cook,"Dec 28, '03, LAL vs. BOS",23,1,35,442,67,141,0,5,21,28,31,101,20,16,16,17,64,155,.475,.000,.750,12.6,4.4,2.9,0.6,0.5,0.5,2003-04,NBA
Omar Cook,"Feb 4, '04, POR @ PHO",22,1,17,139,7,27,0,1,0,0,3,6,24,10,0,10,14,14,.259,.000,,8.2,0.8,0.4,1.4,0.6,0.0,2003-04,NBA
Marquis Daniels,"Oct 28, '03, DAL @ LAL",23,1,56,1039,203,411,11,36,60,78,66,146,116,53,12,44,51,477,.494,.306,.769,18.6,8.5,2.6,2.1,0.9,0.2,2003-04,NBA
Josh Davis,"Mar 10, '04, ATL @ MIL",23,1,4,23,2,5,0,2,1,1,1,5,0,0,0,2,3,5,.400,.000,1.000,5.8,1.3,1.3,0.0,0.0,0.0,2003-04,NBA
