Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Henry Bibby,"Oct 10, '72, NYK vs. SEA",23,1,55,475,78,205,,,73,86,,82,64,,,,67,229,.380,,.849,8.6,4.2,1.5,1.2,,,1972-73
Freddie Boyd,"Oct 10, '72, PHI @ CHI",22,1,82,2351,362,923,,,136,200,,210,301,,,,184,860,.392,,.680,28.7,10.5,2.6,3.7,,,1972-73
Steve Bracey,"Oct 10, '72, ATL @ BUF",22,1,70,1050,192,395,,,73,110,,107,125,,,,125,457,.486,,.664,15.0,6.5,1.5,1.8,,,1972-73
John Brisker,"Oct 10, '72, SEA @ NYK",25,1,70,1633,352,809,,,194,236,,319,150,,,,169,898,.435,,.822,23.3,12.8,4.6,2.1,,,1972-73
Roger Brown,"Oct 11, '72, LAL @ KCO",22,1,1,5,0,0,,,1,3,,0,0,,,,1,1,,,.333,5.0,1.0,0.0,0.0,,,1972-73
Corky Calhoun,"Oct 13, '72, PHO vs. MIL",22,1,82,2025,211,450,,,71,96,,338,76,,,,214,493,.469,,.740,24.7,6.0,4.1,0.9,,,1972-73
Bob Davis,"Jan 4, '73, POR @ GSW",22,1,9,41,6,28,,,4,6,,5,2,,,,5,16,.214,,.667,4.6,1.8,0.6,0.2,,,1972-73
Dwight Davis,"Oct 10, '72, CLE vs. BAL",23,1,81,2151,293,748,,,176,222,,563,118,,,,297,762,.392,,.793,26.6,9.4,7.0,1.5,,,1972-73
Mickey Davis,"Oct 13, '72, MIL @ PHO",22,1,74,1046,152,347,,,76,92,,226,72,,,,119,380,.438,,.826,14.1,5.1,3.1,1.0,,,1972-73
Charles Dudley,"Feb 28, '73, SEA @ MIL",22,1,12,99,10,23,,,14,16,,6,16,,,,15,34,.435,,.875,8.3,2.8,0.5,1.3,,,1972-73
Scott English,"Oct 15, '72, PHO vs. BAL",22,1,29,196,36,93,,,21,29,,44,15,,,,38,93,.387,,.724,6.8,3.2,1.5,0.5,,,1972-73
Chris Ford,"Oct 13, '72, DET vs. CHI",24,1,74,1537,208,434,,,60,93,,266,194,,,,133,476,.479,,.645,20.8,6.4,3.6,2.6,,,1972-73
Harold Fox,"Oct 14, '72, BUF vs. HOU",23,1,10,84,12,32,,,7,8,,8,10,,,,7,31,.375,,.875,8.4,3.1,0.8,1.0,,,1972-73
Rowland Garrett,"Oct 21, '72, CHI @ HOU",22,1,35,211,52,118,,,21,31,,61,8,,,,29,125,.441,,.677,6.0,3.6,1.7,0.2,,,1972-73
John Gianelli,"Oct 10, '72, NYK vs. SEA",22,1,52,516,79,175,,,23,33,,150,25,,,,72,181,.451,,.697,9.9,3.5,2.9,0.5,,,1972-73
Travis Grant,"Oct 11, '72, LAL @ KCO",23,1,33,153,51,116,,,23,26,,52,7,,,,19,125,.440,,.885,4.6,3.8,1.6,0.2,,,1972-73
Luther Green,"Oct 13, '72, PHI vs. BUF",26,1,5,32,0,11,,,3,9,,3,0,,,,3,3,.000,,.333,6.4,0.6,0.6,0.0,,,1972-73
Charles Johnson,"Oct 16, '72, GSW vs. BAL",23,1,70,887,171,400,,,33,46,,132,118,,,,105,375,.428,,.717,12.7,5.4,1.9,1.7,,,1972-73
George Johnson,"Oct 27, '72, GSW @ LAL",24,1,56,349,41,100,,,7,17,,138,8,,,,40,89,.410,,.412,6.2,1.6,2.5,0.1,,,1972-73
Ollie Johnson,"Oct 13, '72, POR vs. SEA",23,1,78,2138,308,620,,,156,206,,417,200,,,,166,772,.497,,.757,27.4,9.9,5.3,2.6,,,1972-73
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1972-73
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1972-73
Manny Leaks,"Oct 10, '72, PHI @ CHI",27,1,82,2530,377,933,,,144,200,,677,95,,,,191,898,.404,,.720,30.9,11.0,8.3,1.2,,,1972-73
Russ Lee,"Oct 20, '72, MIL vs. DET",23,1,46,277,49,127,,,32,43,,43,38,,,,36,130,.386,,.744,6.0,2.8,0.9,0.8,,,1972-73
LaRue Martin,"Oct 13, '72, POR vs. SEA",22,1,77,996,145,366,,,50,77,,358,42,,,,162,340,.396,,.649,12.9,4.4,4.6,0.5,,,1972-73
