Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Cliff Barker,"Nov 1, '49, INO vs. DNN",29,1,49,,102,274,,,75,106,,,109,,,,99,279,.372,,.708,,5.7,,2.2,,,1949-50
Leo Barnhorst,"Nov 1, '49, CHS vs. NYK",25,1,67,,174,499,,,90,129,,,140,,,,192,438,.349,,.698,,6.5,,2.1,,,1949-50
Ed Bartels,"Oct 29, '49, DNN @ TRI",24,1,15,,22,86,,,19,34,,,20,,,,29,63,.256,,.559,,4.2,,1.3,,,1949-50
Ralph Beard,"Nov 1, '49, INO vs. DNN",22,1,60,,340,936,,,215,282,,,233,,,,132,895,.363,,.762,,14.9,,3.9,,,1949-50
Gene Berce,"Oct 29, '49, TRI vs. DNN",23,1,3,,5,16,,,0,5,,,2,,,,6,10,.313,,.000,,3.3,,0.7,,,1949-50
Nelson Bobb,"Nov 2, '49, PHW vs. MNL",25,1,57,,80,248,,,82,131,,,46,,,,97,242,.323,,.626,,4.2,,0.8,,,1949-50
Vince Boryla,"Nov 1, '49, NYK @ CHS",22,1,59,,204,600,,,204,267,,,95,,,,203,612,.340,,.764,,10.4,,1.6,,,1949-50
Don Boven,"Nov 2, '49, WAT vs. NYK",24,1,62,,208,558,,,240,349,,,137,,,,255,656,.373,,.688,,10.6,,2.2,,,1949-50
Harry Boykoff,"Nov 2, '49, WAT vs. NYK",27,1,61,,288,698,,,203,262,,,149,,,,229,779,.413,,.775,,12.8,,2.4,,,1949-50
Joe Bradley,"Nov 1, '49, CHS vs. NYK",21,1,46,,36,134,,,15,38,,,36,,,,51,87,.269,,.395,,1.9,,0.8,,,1949-50
Bob Brannum,"Nov 1, '49, SHE @ ROC",23,1,59,,234,718,,,245,355,,,205,,,,279,713,.326,,.690,,12.1,,3.5,,,1949-50
Frankie Brian,"Nov 3, '49, AND vs. TRI",26,1,64,,368,1156,,,402,488,,,189,,,,192,1138,.318,,.824,,17.8,,3.0,,,1949-50
Jack Burmaster,"Nov 1, '49, SHE @ ROC",23,1,61,,237,711,,,124,182,,,179,,,,237,598,.333,,.681,,9.8,,2.9,,,1949-50
Bob Carpenter,"Nov 3, '49, FTW vs. NYK",32,1,66,,212,617,,,190,256,,,92,,,,168,614,.344,,.742,,9.3,,1.4,,,1949-50
Jake Carter,"Nov 25, '49, DNN vs. MNL",25,1,24,,23,75,,,36,53,,,24,,,,59,82,.307,,.679,,3.4,,1.0,,,1949-50
Al Cervi*,"Nov 3, '49, SYR vs. DNN",32,1,56,,143,431,,,287,346,,,264,,,,223,573,.332,,.829,,10.2,,4.7,,,1949-50
John Chaney,"Nov 9, '49, TRI @ AND",29,1,16,,25,86,,,20,29,,,20,,,,23,70,.291,,.690,,4.4,,1.3,,,1949-50
Leroy Chollet,"Nov 3, '49, SYR vs. DNN",24,1,49,,61,179,,,35,56,,,37,,,,52,157,.341,,.625,,3.2,,0.8,,,1949-50
Bill Closs,"Nov 3, '49, AND vs. TRI",28,1,64,,283,898,,,186,259,,,160,,,,190,752,.315,,.718,,11.8,,2.5,,,1949-50
Paul Cloyd,"Nov 12, '49, BLB vs. FTW",29,1,7,,7,26,,,5,8,,,2,,,,5,19,.269,,.625,,2.7,,0.3,,,1949-50
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1949-50
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1949-50
Jack Coleman,"Nov 1, '49, ROC vs. SHE",25,1,68,,250,663,,,90,121,,,153,,,,223,590,.377,,.744,,8.7,,2.3,,,1949-50
Bobby Cook,"Nov 1, '49, SHE @ ROC",26,1,51,,222,620,,,143,181,,,158,,,,114,587,.358,,.790,,11.5,,3.1,,,1949-50
Ray Corley,"Nov 3, '49, SYR vs. DNN",22,1,60,,117,370,,,75,122,,,109,,,,81,309,.316,,.615,,5.2,,1.8,,,1949-50
Jack Cotton,"Oct 29, '49, DNN @ TRI",25,1,54,,97,332,,,82,161,,,65,,,,184,276,.292,,.509,,5.1,,1.2,,,1949-50
Jimmy Darden,"Nov 29, '49, DNN vs. PHW",27,1,26,,78,243,,,55,80,,,67,,,,67,211,.321,,.688,,8.1,,2.6,,,1949-50
Hook Dillon,"Dec 21, '49, WSC vs. MNL",26,1,22,,10,55,,,16,22,,,5,,,,19,36,.182,,.727,,1.6,,0.2,,,1949-50
Earl Dodd,"Oct 29, '49, DNN @ TRI",25,1,9,,6,27,,,3,5,,,6,,,,13,15,.222,,.600,,1.7,,0.7,,,1949-50
Joe Dolhon,"Nov 2, '49, BLB @ WSC",22,1,64,,143,458,,,157,214,,,155,,,,193,443,.312,,.734,,6.9,,2.4,,,1949-50
Harry Donovan,"Nov 1, '49, NYK @ CHS",23,1,45,,90,275,,,73,106,,,38,,,,107,253,.327,,.689,,5.6,,0.8,,,1949-50
Dike Eddleman,"Oct 29, '49, TRI vs. DNN",27,1,64,,332,906,,,162,260,,,142,,,,254,826,.366,,.623,,12.9,,2.2,,,1949-50
Gene Englund,"Dec 6, '49, BOS @ INO",32,1,46,,104,274,,,152,192,,,41,,,,167,360,.380,,.792,,7.8,,0.9,,,1949-50
Bob Evans,"Nov 1, '49, INO vs. DNN",24,1,47,,56,200,,,30,44,,,55,,,,99,142,.280,,.682,,3.0,,1.2,,,1949-50
George Feigenbaum,"Dec 15, '49, BLB vs. MNL",21,1,12,,14,57,,,8,18,,,10,,,,15,36,.246,,.444,,3.0,,0.8,,,1949-50
Bill Gabor,"Nov 3, '49, SYR vs. DNN",27,1,56,,226,671,,,157,228,,,108,,,,198,609,.337,,.689,,10.9,,1.9,,,1949-50
