Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Cliff Alexander,"Nov 15, '15, POR @ CHO",20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0,0.1,0.3,2015-16,NBA
Justin Anderson,"Oct 28, '15, DAL @ PHO",22,1,55,647,71,175,22,83,44,55,18,132,29,19,25,24,45,208,.406,.265,.800,11.8,3.8,2.4,0.5,0.3,0.5,2015-16,NBA
Thanasis Antetokounmpo,"Jan 29, '16, NYK vs. PHO",23,1,2,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6,.750,.000,,3.0,3.0,0.5,0.0,0.0,0.0,2015-16,NBA
Keith Appling,"Jan 18, '16, ORL @ ATL",23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2,0.2,0.0,2015-16,NBA
Nemanja Bjelica,"Oct 28, '15, MIN @ LAL",27,1,60,1075,110,235,48,125,40,55,49,210,83,26,21,47,154,308,.468,.384,.727,17.9,5.1,3.5,1.4,0.4,0.4,2015-16,NBA
Devin Booker,"Oct 28, '15, PHO vs. DAL",19,1,76,2108,367,867,99,289,215,256,27,187,200,44,20,160,225,1048,.423,.343,.840,27.7,13.8,2.5,2.6,0.6,0.3,2015-16,NBA
Anthony Brown,"Oct 30, '15, LAL @ SAC",23,1,29,599,39,126,20,70,17,20,9,70,19,14,5,15,34,115,.310,.286,.850,20.7,4.0,2.4,0.7,0.5,0.2,2015-16,NBA
Willie Cauley-Stein,"Oct 28, '15, SAC vs. LAC",22,1,66,1412,191,339,0,2,81,125,134,352,37,48,66,46,146,463,.563,.000,.648,21.4,7.0,5.3,0.6,0.7,1.0,2015-16,NBA
Rakeem Christmas,"Apr 13, '16, IND @ MIL",24,1,1,6,2,2,0,0,0,0,1,1,0,0,0,0,1,4,1.000,,,6.0,4.0,1.0,0.0,0.0,0.0,2015-16,NBA
Coty Clarke,"Mar 15, '16, BOS @ IND",23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0,0.0,0.0,2015-16,NBA
Pat Connaughton,"Oct 30, '15, POR @ PHO",23,1,34,143,13,49,5,21,5,5,11,32,10,2,0,10,6,36,.265,.238,1.000,4.2,1.1,0.9,0.3,0.1,0.0,2015-16,NBA
Branden Dawson,"Dec 28, '15, LAC @ WAS",22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0,0.0,0.2,2015-16,NBA
Bryce Dejean-Jones,"Jan 21, '16, NOP vs. DET",23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1,0.7,0.1,2015-16,NBA
Sam Dekker,"Oct 28, '15, HOU vs. DEN",21,1,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,2.0,0.0,0.3,0.0,0.3,0.0,2015-16,NBA
Duje Dukan,"Apr 13, '16, SAC @ HOU",24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0,1.0,0.0,2015-16,NBA
Jarell Eddie,"Dec 26, '15, WAS @ BRK",24,1,26,147,20,65,15,47,8,8,2,23,5,5,1,1,5,63,.308,.319,1.000,5.7,2.4,0.9,0.2,0.2,0.0,2015-16,NBA
Cristiano FelÃ­cio,"Nov 9, '15, CHI @ PHI",23,1,31,321,40,72,0,4,25,35,30,102,26,6,13,13,31,105,.556,.000,.714,10.4,3.4,3.3,0.8,0.2,0.4,2015-16,NBA
Jerian Grant,"Oct 28, '15, NYK @ MIL",23,1,76,1265,154,391,22,100,96,123,23,143,177,50,10,87,97,426,.394,.220,.780,16.6,5.6,1.9,2.3,0.7,0.1,2015-16,NBA
Montrezl Harrell,"Oct 28, '15, HOU vs. DEN",22,1,39,379,58,90,0,1,24,46,25,65,17,11,11,17,48,140,.644,.000,.522,9.7,3.6,1.7,0.4,0.3,0.3,2015-16,NBA
Aaron Harrison,"Nov 20, '15, CHO vs. PHI",21,1,21,93,5,19,3,10,5,12,4,15,2,6,0,4,10,18,.263,.300,.417,4.4,0.9,0.7,0.1,0.3,0.0,2015-16,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2015-16,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2015-16,NBA
Mario Hezonja,"Oct 28, '15, ORL vs. WAS",20,1,79,1413,181,418,67,192,49,54,28,176,109,39,17,97,124,478,.433,.349,.907,17.9,6.1,2.2,1.4,0.5,0.2,2015-16,NBA
Darrun Hilliard,"Nov 23, '15, DET @ MIL",22,1,38,383,52,131,19,50,29,40,5,45,27,9,1,19,28,152,.397,.380,.725,10.1,4.0,1.2,0.7,0.2,0.0,2015-16,NBA
Rondae Hollis-Jefferson,"Oct 28, '15, BRK vs. CHI",21,1,29,615,63,138,4,14,37,52,39,154,43,39,16,26,61,167,.457,.286,.712,21.2,5.8,5.3,1.5,1.3,0.6,2015-16,NBA
