Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Derrick Alston,"Nov 4, '94, PHI vs. MIL",22,1,64,1032,120,258,0,4,59,120,98,219,33,39,35,53,107,299,.465,.000,.492,16.1,4.7,3.4,0.5,0.6,0.5,1994-95
Darrell Armstrong,"Apr 11, '95, ORL vs. CLE",26,1,3,8,3,8,2,6,2,2,1,1,3,1,0,1,3,10,.375,.333,1.000,2.7,3.3,0.3,1.0,0.3,0.0,1994-95
Sergei Bazarevich,"Nov 9, '94, ATL @ PHO",29,1,10,74,11,22,1,6,7,9,1,7,14,1,1,7,10,30,.500,.167,.778,7.4,3.0,0.7,1.4,0.1,0.1,1994-95
Elmer Bennett,"Jan 27, '95, CLE vs. POR",24,1,4,18,6,11,0,2,3,4,0,1,3,4,0,3,3,15,.545,.000,.750,4.5,3.8,0.3,0.8,1.0,0.0,1994-95
James Blackwell,"Nov 30, '94, CHH vs. MIA",26,1,13,80,8,13,0,0,2,3,2,11,11,4,0,5,8,18,.615,,.667,6.2,1.4,0.8,0.8,0.3,0.0,1994-95
Tim Breaux,"Nov 5, '94, HOU @ MIN",24,1,42,340,45,121,6,25,32,49,16,34,15,11,4,16,25,128,.372,.240,.653,8.1,3.0,0.8,0.4,0.3,0.1,1994-95
Chris Childs,"Dec 27, '94, NJN vs. NYK",27,1,53,1021,106,279,41,125,55,73,14,69,219,42,3,76,116,308,.380,.328,.753,19.3,5.8,1.3,4.1,0.8,0.1,1994-95
Bill Curley,"Nov 5, '94, DET @ ATL",22,1,53,595,58,134,0,0,27,36,54,124,25,21,21,25,128,143,.433,,.750,11.2,2.7,2.3,0.5,0.4,0.4,1994-95
Yinka Dare,"Nov 11, '94, NJN @ WSB",22,1,1,3,0,1,0,0,0,0,0,1,0,0,0,1,2,0,.000,,,3.0,0.0,1.0,0.0,0.0,0.0,1994-95
Tony Dumas,"Nov 5, '94, DAL vs. NJN",22,1,58,613,96,250,22,73,50,77,32,62,57,13,4,50,78,264,.384,.301,.649,10.6,4.6,1.1,1.0,0.2,0.1,1994-95
