Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Jim Baechtold,"Nov 1, '52, BLB @ NYK",25,1,64,1893,242,621,,,177,240,,219,154,,,,203,661,.390,,.738,29.6,10.3,3.4,2.4,,,1952-53
Jim Brasco,"Nov 1, '52, SYR @ PHW",21,1,20,248,25,94,,,27,34,,24,21,,,,30,77,.266,,.794,12.4,3.9,1.2,1.1,,,1952-53
Dick Bunt,"Nov 1, '52, NYK vs. BLB",22,1,26,271,29,105,,,34,48,,28,17,,,,40,92,.276,,.708,10.4,3.5,1.1,0.7,,,1952-53
Gene Conley,"Nov 16, '52, BOS vs. ROC",22,1,39,461,35,108,,,18,31,,171,19,,,,74,88,.324,,.581,11.8,2.3,4.4,0.5,,,1952-53
Pete Darcey,"Nov 1, '52, MLH vs. INO",22,1,12,90,3,18,,,5,9,,10,2,,,,29,11,.167,,.556,7.5,0.9,0.8,0.2,,,1952-53
Blaine Denning,"Dec 11, '52, BLB @ BOS",22,1,1,9,2,5,,,1,1,,4,0,,,,3,5,.400,,1.000,9.0,5.0,4.0,0.0,,,1952-53
Danny Finn,"Jan 22, '53, PHW vs. MLH",24,1,31,1015,135,409,,,99,182,,175,146,,,,124,369,.330,,.544,32.7,11.9,5.6,4.7,,,1952-53
Dick Groat,"Nov 9, '52, FTW vs. INO",22,1,26,663,100,272,,,109,138,,86,69,,,,90,309,.368,,.790,25.5,11.9,3.3,2.7,,,1952-53
Don Hanrahan,"Oct 31, '52, INO vs. BOS",23,1,18,121,11,32,,,11,15,,30,11,,,,24,33,.344,,.733,6.7,1.8,1.7,0.6,,,1952-53
Don Henriksen,"Nov 1, '52, BLB @ NYK",23,1,68,2263,199,475,,,176,281,,506,129,,,,242,574,.419,,.626,33.3,8.4,7.4,1.9,,,1952-53
Jim Holstein,"Nov 1, '52, MNL vs. BOS",22,1,66,989,98,274,,,70,105,,173,74,,,,128,266,.358,,.667,15.0,4.0,2.6,1.1,,,1952-53
Bob Lochmueller,"Nov 1, '52, SYR @ PHW",25,1,62,802,79,245,,,74,122,,162,47,,,,143,232,.322,,.607,12.9,3.7,2.6,0.8,,,1952-53
Mo Mahoney,"Feb 25, '53, BOS vs. PHW",25,1,6,34,4,10,,,4,5,,7,1,,,,7,12,.400,,.800,5.7,2.0,1.2,0.2,,,1952-53
