Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Courtney Alexander,"Nov 4, '00, DAL vs. UTA",23,1,65,1382,239,573,17,46,123,150,42,143,62,45,5,75,139,618,.417,.370,.820,21.3,9.5,2.2,1.0,0.7,0.1,2000-01,NBA
Dalibor BagariÄ,"Nov 22, '00, CHI @ SAC",20,1,35,259,17,65,0,1,13,28,22,56,10,9,16,21,44,47,.262,.000,.464,7.4,1.3,1.6,0.3,0.3,0.5,2000-01,NBA
Erick Barkley,"Nov 2, '00, POR @ PHO",22,1,8,38,8,22,3,8,0,0,0,3,6,2,0,5,2,19,.364,.375,,4.8,2.4,0.4,0.8,0.3,0.0,2000-01,NBA
Raja Bell,"Apr 6, '01, PHI vs. CLE",24,1,5,30,2,7,1,3,0,0,0,1,0,1,0,2,1,5,.286,.333,,6.0,1.0,0.2,0.0,0.2,0.0,2000-01,NBA
Mark Blount,"Nov 1, '00, BOS vs. DET",25,1,64,1098,101,200,0,0,46,66,97,231,32,39,76,62,183,248,.505,,.697,17.2,3.9,3.6,0.5,0.6,1.2,2000-01,NBA
Brian Cardinal,"Dec 9, '00, DET @ POR",23,1,15,126,10,31,0,5,11,18,8,23,3,7,2,9,27,31,.323,.000,.611,8.4,2.1,1.5,0.2,0.5,0.1,2000-01,NBA
Mateen Cleaves,"Oct 31, '00, DET @ TOR",23,1,78,1268,160,400,5,17,97,137,26,132,207,49,1,139,153,422,.400,.294,.708,16.3,5.4,1.7,2.7,0.6,0.0,2000-01,NBA
Jason Collier,"Oct 31, '00, HOU vs. MIN",23,1,23,222,27,71,0,1,17,24,12,37,6,2,3,11,27,71,.380,.000,.708,9.7,3.1,1.6,0.3,0.1,0.1,2000-01,NBA
Sean Colson,"Jan 18, '01, ATL @ IND",25,1,13,44,6,24,1,5,2,4,2,6,10,1,0,2,6,15,.250,.200,.500,3.4,1.2,0.5,0.8,0.1,0.0,2000-01,NBA
Jamal Crawford,"Oct 31, '00, CHI vs. SAC",20,1,61,1050,107,304,41,117,27,34,9,89,141,43,14,85,68,282,.352,.350,.794,17.2,4.6,1.5,2.3,0.7,0.2,2000-01,NBA
Keyon Dooling,"Oct 31, '00, LAC @ UTA",20,1,76,1237,148,362,28,80,125,179,8,89,177,41,11,94,107,449,.409,.350,.698,16.3,5.9,1.2,2.3,0.5,0.1,2000-01,NBA
Khalid El-Amin,"Oct 31, '00, CHI vs. SAC",21,1,50,936,115,311,28,84,56,72,21,81,145,48,2,54,99,314,.370,.333,.778,18.7,6.3,1.6,2.9,1.0,0.0,2000-01,NBA
Marcus Fizer,"Oct 31, '00, CHI vs. SAC",22,1,72,1580,278,646,10,39,117,161,76,313,76,30,19,124,175,683,.430,.256,.727,21.9,9.5,4.3,1.1,0.4,0.3,2000-01,NBA
RubÃ©n GarcÃ©s,"Oct 31, '00, PHO @ GSW",27,1,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,.318,,.250,5.6,1.2,2.2,0.4,0.2,0.2,2000-01,NBA
Eddie Gill,"Mar 30, '01, NJN @ TOR",22,1,8,152,16,41,3,9,4,5,0,9,24,4,1,10,9,39,.390,.333,.800,19.0,4.9,1.1,3.0,0.5,0.1,2000-01,NBA
Steve Goodrich,"Mar 29, '01, CHI vs. BOS",24,1,12,133,7,18,1,3,4,7,7,21,6,2,1,8,14,19,.389,.333,.571,11.1,1.6,1.8,0.5,0.2,0.1,2000-01,NBA
A.J. Guyton,"Oct 31, '00, CHI vs. SAC",22,1,33,630,78,192,27,69,15,18,10,36,64,9,5,24,35,198,.406,.391,.833,19.1,6.0,1.1,1.9,0.3,0.2,2000-01,NBA
Zendon Hamilton,"Nov 18, '00, LAC vs. SEA",25,1,3,19,2,9,0,0,5,8,3,8,0,0,0,2,4,9,.222,,.625,6.3,3.0,2.7,0.0,0.0,0.0,2000-01,NBA
Jason Hart,"Apr 17, '01, MIL @ MIA",22,1,1,10,1,1,0,0,0,0,0,0,1,0,0,2,0,2,1.000,,,10.0,2.0,0.0,1.0,0.0,0.0,2000-01,NBA
Donnell Harvey,"Dec 8, '00, DAL vs. CHI",20,1,18,65,8,14,0,0,6,16,6,20,2,3,1,7,15,22,.571,,.375,3.6,1.2,1.1,0.1,0.2,0.1,2000-01,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2000-01,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2000-01,NBA
Eddie House,"Nov 1, '00, MIA vs. ORL",22,1,50,550,104,247,19,55,24,35,5,42,52,13,0,35,58,251,.421,.345,.686,11.0,5.0,0.8,1.0,0.3,0.0,2000-01,NBA
Marc Jackson,"Nov 2, '00, GSW @ DEN",26,1,48,1410,237,508,5,23,154,192,119,361,59,34,27,93,138,633,.467,.217,.802,29.4,13.2,7.5,1.2,0.7,0.6,2000-01,NBA
Stephen Jackson,"Oct 31, '00, NJN vs. CLE",22,1,77,1660,243,572,52,155,97,135,41,208,140,86,14,130,166,635,.425,.335,.719,21.6,8.2,2.7,1.8,1.1,0.2,2000-01,NBA
DerMarr Johnson,"Oct 31, '00, ATL vs. CHH",20,1,78,1313,146,390,41,127,64,87,56,178,64,43,30,93,134,397,.374,.323,.736,16.8,5.1,2.3,0.8,0.6,0.4,2000-01,NBA
