Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Jay Arnette,"Oct 16, '63, CIN @ STL",25,1,48,501,71,196,,,42,54,,54,71,,,,105,184,.362,,.778,10.4,3.8,1.1,1.5,,,1963-64
Larry Comley,"Oct 16, '63, BAL vs. BOS",24,1,12,89,8,37,,,9,16,,19,12,,,,11,25,.216,,.563,7.4,2.1,1.6,1.0,,,1963-64
Mel Gibson,"Oct 22, '63, LAL @ NYK",23,1,9,53,6,20,,,1,2,,4,6,,,,10,13,.300,,.500,5.9,1.4,0.4,0.7,,,1963-64
Jerry Greenspan,"Dec 5, '63, PHI vs. STL",22,1,20,280,32,90,,,34,50,,72,11,,,,54,98,.356,,.680,14.0,4.9,3.6,0.6,,,1963-64
Reggie Harding,"Jan 20, '64, DET @ LAL",21,1,39,1158,184,460,,,61,98,,410,52,,,,119,429,.400,,.622,29.7,11.0,10.5,1.3,,,1963-64
Jerry Harkness,"Oct 17, '63, NYK vs. BAL",23,1,5,59,13,30,,,3,8,,6,6,,,,4,29,.433,,.375,11.8,5.8,1.2,1.2,,,1963-64
Art Heyman,"Oct 17, '63, NYK vs. BAL",22,1,75,2236,432,1003,,,289,422,,298,256,,,,229,1153,.431,,.685,29.8,15.4,4.0,3.4,,,1963-64
Gary Hill,"Oct 19, '63, SFW @ BAL",22,1,67,1015,146,384,,,51,77,,114,103,,,,165,343,.380,,.662,15.1,5.1,1.7,1.5,,,1963-64
Tom Hoover,"Oct 29, '63, NYK vs. STL",23,1,59,988,102,247,,,81,132,,331,36,,,,185,285,.413,,.614,16.7,4.8,5.6,0.6,,,1963-64
Gus Johnson*,"Oct 16, '63, BAL vs. BOS",25,1,78,2847,571,1329,,,210,319,,1064,169,,,,321,1352,.430,,.658,36.5,17.3,13.6,2.2,,,1963-64
Jim King,"Oct 22, '63, LAL @ NYK",22,1,60,762,84,198,,,66,101,,113,110,,,,99,234,.424,,.653,12.7,3.9,1.9,1.8,,,1963-64
Don Kojis,"Oct 16, '63, BAL vs. BOS",25,1,78,1148,203,484,,,82,146,,309,57,,,,123,488,.419,,.562,14.7,6.3,4.0,0.7,,,1963-64
Jerry Lucas*,"Oct 16, '63, CIN @ STL",23,1,79,3273,545,1035,,,310,398,,1375,204,,,,300,1400,.527,,.779,41.4,17.7,17.4,2.6,,,1963-64
Eddie Miles,"Oct 19, '63, DET @ PHI",23,1,60,811,131,371,,,62,87,,95,58,,,,92,324,.353,,.713,13.5,5.4,1.6,1.0,,,1963-64
Mel Peterson,"Oct 23, '63, BAL vs. NYK",25,1,2,3,1,1,,,0,0,,1,0,,,,2,2,1.000,,,1.5,1.0,0.5,0.0,,,1963-64
Ken Rohloff,"Mar 17, '64, STL vs. DET",24,1,2,7,0,1,,,0,0,,0,1,,,,4,0,.000,,,3.5,0.0,0.0,0.5,,,1963-64
Larry Siegfried,"Oct 16, '63, BOS @ BAL",24,1,31,261,35,110,,,31,39,,51,40,,,,33,101,.318,,.795,8.4,3.3,1.6,1.3,,,1963-64
Roger Strickland,"Oct 16, '63, BAL vs. BOS",23,1,1,4,1,3,,,0,0,,0,0,,,,1,2,.333,,,4.0,2.0,0.0,0.0,,,1963-64
Tom Thacker,"Oct 26, '63, CIN @ SFW",24,1,48,457,53,181,,,26,53,,115,51,,,,51,132,.293,,.491,9.5,2.8,2.4,1.1,,,1963-64
Rod Thorn*,"Oct 16, '63, BAL vs. BOS",22,1,75,2594,411,1015,,,258,353,,360,281,,,,187,1080,.405,,.731,34.6,14.4,4.8,3.7,,,1963-64
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1963-64
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1963-64
Nate Thurmond*,"Oct 19, '63, SFW @ BAL",22,1,76,1966,219,554,,,95,173,,790,86,,,,184,533,.395,,.549,25.9,7.0,10.4,1.1,,,1963-64
Gerry Ward,"Oct 16, '63, STL vs. CIN",22,1,24,139,16,53,,,11,17,,21,21,,,,26,43,.302,,.647,5.8,1.8,0.9,0.9,,,1963-64
John Windsor,"Oct 19, '63, SFW @ BAL",23,1,11,68,10,27,,,7,8,,26,2,,,,13,27,.370,,.875,6.2,2.5,2.4,0.2,,,1963-64
