Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Cory Alexander,"Nov 4, '95, SAS @ DEN",22,1,60,560,63,155,26,66,16,25,9,42,121,27,2,68,94,168,.406,.394,.640,9.3,2.8,0.7,2.0,0.5,0.0,1995-96
Jerome Allen,"Nov 3, '95, MIN @ SAC",23,1,41,362,36,105,10,33,26,36,5,25,49,21,5,34,42,108,.343,.303,.722,8.8,2.6,0.6,1.2,0.5,0.1,1995-96
John Amaechi,"Nov 3, '95, CLE @ ORL",25,1,28,357,29,70,0,0,19,33,13,52,9,6,11,34,49,77,.414,,.576,12.8,2.8,1.9,0.3,0.2,0.4,1995-96
Ashraf Amaya,"Nov 7, '95, VAN @ DAL",24,1,54,1104,121,252,0,1,97,149,114,303,33,22,10,57,151,339,.480,.000,.651,20.4,6.3,5.6,0.6,0.4,0.2,1995-96
Brent Barry,"Nov 3, '95, LAC vs. PHO",24,1,79,1898,283,597,123,296,111,137,38,168,230,95,22,120,196,800,.474,.416,.810,24.0,10.1,2.1,2.9,1.2,0.3,1995-96
Corey Beck,"Dec 23, '95, CHH vs. MIA",24,1,5,33,2,8,0,0,1,2,3,7,5,1,0,4,8,5,.250,,.500,6.6,1.0,1.4,1.0,0.2,0.0,1995-96
Mario Bennett,"Mar 5, '96, PHO vs. IND",22,1,19,230,29,64,0,1,27,42,21,49,6,11,11,11,46,85,.453,.000,.643,12.1,4.5,2.6,0.3,0.6,0.6,1995-96
Travis Best,"Nov 3, '95, IND @ ATL",23,1,59,571,69,163,8,25,75,90,11,44,97,20,3,63,80,221,.423,.320,.833,9.7,3.7,0.7,1.6,0.3,0.1,1995-96
Melvin Booker,"Mar 7, '96, HOU @ GSW",23,1,11,131,16,50,3,19,9,11,1,9,21,5,1,12,18,44,.320,.158,.818,11.9,4.0,0.8,1.9,0.5,0.1,1995-96
Donnie Boyce,"Mar 12, '96, ATL vs. UTA",22,1,8,41,9,23,4,8,2,4,5,10,3,3,1,6,2,24,.391,.500,.500,5.1,3.0,1.3,0.4,0.4,0.1,1995-96
Marques Bragg,"Nov 3, '95, MIN @ SAC",25,1,53,369,54,120,0,0,23,41,38,79,8,17,8,26,71,131,.450,,.561,7.0,2.5,1.5,0.2,0.3,0.2,1995-96
Junior Burrough,"Nov 3, '95, BOS vs. MIL",23,1,61,495,64,170,0,0,61,93,45,109,15,15,10,40,74,189,.376,,.656,8.1,3.1,1.8,0.2,0.2,0.2,1995-96
Jason Caffey,"Nov 3, '95, CHI vs. CHH",22,1,57,545,71,162,0,1,40,68,51,111,24,12,7,48,91,182,.438,.000,.588,9.6,3.2,1.9,0.4,0.2,0.1,1995-96
Chris Carr,"Nov 3, '95, PHO @ LAC",21,1,60,590,90,217,11,42,49,60,27,102,43,10,5,40,77,240,.415,.262,.817,9.8,4.0,1.7,0.7,0.2,0.1,1995-96
Randolph Childress,"Nov 3, '95, POR vs. VAN",23,1,28,250,25,79,13,47,22,27,1,19,32,8,1,28,22,85,.316,.277,.815,8.9,3.0,0.7,1.1,0.3,0.0,1995-96
Robert Churchwell,"Mar 18, '96, GSW @ SAS",23,1,4,20,3,8,0,0,0,0,0,3,1,0,0,2,1,6,.375,,,5.0,1.5,0.8,0.3,0.0,0.0,1995-96
Charles Claxton,"Nov 3, '95, BOS vs. MIL",25,1,3,7,1,2,0,0,0,2,2,2,0,0,1,1,4,2,.500,,.000,2.3,0.7,0.7,0.0,0.0,0.3,1995-96
John Coker,"Mar 8, '96, PHO vs. LAL",24,1,5,11,4,5,0,0,0,0,2,2,1,0,1,0,1,8,.800,,,2.2,1.6,0.4,0.2,0.0,0.2,1995-96
Rastko CvetkoviÄ,"Dec 21, '95, DEN @ SAS",25,1,14,48,5,16,0,1,0,4,4,11,3,2,1,3,11,10,.313,.000,.000,3.4,0.7,0.8,0.2,0.1,0.1,1995-96
Sasha DaniloviÄ,"Nov 4, '95, MIA vs. CLE",25,1,19,542,83,184,34,78,55,72,12,46,47,15,3,37,49,255,.451,.436,.764,28.5,13.4,2.4,2.5,0.8,0.2,1995-96
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1995-96
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1995-96
Mark Davis,"Nov 3, '95, MIN @ SAC",22,1,57,571,55,149,4,13,74,116,56,125,47,40,22,68,92,188,.369,.308,.638,10.0,3.3,2.2,0.8,0.7,0.4,1995-96
Andrew DeClercq,"Jan 24, '96, GSW vs. UTA",22,1,22,203,24,50,0,1,11,19,18,39,9,7,5,4,30,59,.480,.000,.579,9.2,2.7,1.8,0.4,0.3,0.2,1995-96
Tyus Edney,"Nov 3, '95, SAC vs. MIN",22,1,80,2481,305,740,53,144,197,252,63,201,491,89,3,192,203,860,.412,.368,.782,31.0,10.8,2.5,6.1,1.1,0.0,1995-96
Vincenzo Esposito,"Nov 15, '95, TOR vs. HOU",26,1,30,282,36,100,13,56,31,39,4,16,23,7,0,39,27,116,.360,.232,.795,9.4,3.9,0.5,0.8,0.2,0.0,1995-96
Michael Finley,"Nov 3, '95, PHO @ LAC",22,1,82,3212,465,976,61,186,242,323,139,374,289,85,31,133,199,1233,.476,.328,.749,39.2,15.0,4.6,3.5,1.0,0.4,1995-96
Sherell Ford,"Nov 3, '95, SEA @ UTA",23,1,28,139,30,80,4,25,26,34,12,24,5,8,1,6,27,90,.375,.160,.765,5.0,3.2,0.9,0.2,0.3,0.0,1995-96
Kevin Garnett*,"Nov 3, '95, MIN @ SAC",19,1,80,2293,361,735,8,28,105,149,175,501,145,86,131,110,189,835,.491,.286,.705,28.7,10.4,6.3,1.8,1.1,1.6,1995-96
Anthony Goldwire,"Jan 24, '96, CHH vs. WSB",24,1,42,621,76,189,33,83,46,60,8,43,112,16,0,63,79,231,.402,.398,.767,14.8,5.5,1.0,2.7,0.4,0.0,1995-96
Thomas Hamilton,"Mar 17, '96, BOS vs. NJN",20,1,11,70,9,31,0,0,7,18,10,22,1,0,9,9,12,25,.290,,.389,6.4,2.3,2.0,0.1,0.0,0.8,1995-96
Alvin Heggs,"Nov 3, '95, HOU vs. GSW",28,1,4,14,3,5,0,0,2,3,1,2,0,0,0,0,0,8,.600,,.667,3.5,2.0,0.5,0.0,0.0,0.0,1995-96
Alan Henderson,"Nov 3, '95, ATL vs. IND",23,1,79,1416,192,434,0,3,119,200,164,356,51,44,43,87,217,503,.442,.000,.595,17.9,6.4,4.5,0.6,0.6,0.5,1995-96
Fred Hoiberg,"Nov 4, '95, IND vs. TOR",23,1,15,85,8,19,1,3,15,18,4,9,8,6,1,7,12,32,.421,.333,.833,5.7,2.1,0.6,0.5,0.4,0.1,1995-96
Darryl Johnson,"Mar 7, '96, CLE vs. ATL",30,1,11,28,5,12,0,1,2,2,2,2,1,0,0,1,3,12,.417,.000,1.000,2.5,1.1,0.2,0.1,0.0,0.0,1995-96
Frankie King,"Nov 4, '95, LAL @ SEA",23,1,6,20,3,11,0,1,1,3,1,2,2,2,0,2,4,7,.273,.000,.333,3.3,1.2,0.3,0.3,0.3,0.0,1995-96
Jimmy King,"Nov 3, '95, TOR vs. NJN",22,1,62,868,110,255,5,34,54,77,43,110,88,21,13,60,76,279,.431,.147,.701,14.0,4.5,1.8,1.4,0.3,0.2,1995-96
Voshon Lenard,"Jan 6, '96, MIA @ DEN",22,1,30,323,53,141,36,101,34,43,12,52,31,6,1,23,31,176,.376,.356,.791,10.8,5.9,1.7,1.0,0.2,0.0,1995-96
Cedric Lewis,"Apr 16, '96, WSB @ ORL",26,1,3,4,2,3,0,0,0,0,2,2,0,1,0,0,0,4,.667,,,1.3,1.3,0.7,0.0,0.3,0.0,1995-96
Martin Lewis,"Feb 22, '96, TOR @ UTA",20,1,16,189,29,60,2,7,15,25,15,29,3,8,3,14,21,75,.483,.286,.600,11.8,4.7,1.8,0.2,0.5,0.2,1995-96
Rich Manning,"Jan 27, '96, VAN @ WSB",25,1,29,311,49,113,0,1,9,14,16,55,7,3,6,17,37,107,.434,.000,.643,10.7,3.7,1.9,0.2,0.1,0.2,1995-96
Donny Marshall,"Nov 3, '95, CLE @ ORL",23,1,34,208,24,68,7,30,22,35,9,26,7,8,2,7,26,77,.353,.233,.629,6.1,2.3,0.8,0.2,0.2,0.1,1995-96
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1995-96
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1995-96
Cuonzo Martin,"Apr 5, '96, VAN @ LAL",24,1,4,19,3,5,3,3,0,2,1,2,2,1,0,1,1,9,.600,1.000,.000,4.8,2.3,0.5,0.5,0.3,0.0,1995-96
Clint McDaniel,"Feb 1, '96, SAC vs. CHI",23,1,12,71,8,23,2,6,12,16,3,10,7,5,0,2,10,30,.348,.333,.750,5.9,2.5,0.8,0.6,0.4,0.0,1995-96
