Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Dwight Anderson,"Dec 30, '82, DEN vs. BOS",22,1,5,33,7,14,0,0,7,10,0,2,3,1,0,5,7,21,.500,,.700,6.6,4.2,0.4,0.6,0.2,0.0,1982-83
J.J. Anderson,"Oct 29, '82, PHI @ NYK",22,1,65,1202,190,379,0,4,100,175,119,294,67,63,21,79,153,480,.501,.000,.571,18.5,7.4,4.5,1.0,1.0,0.3,1982-83
Richard Anderson,"Oct 29, '82, SDC vs. PHO",22,1,78,1274,174,431,7,19,48,69,111,272,120,57,26,93,170,403,.404,.368,.696,16.3,5.2,3.5,1.5,0.7,0.3,1982-83
John Bagley,"Oct 29, '82, CLE vs. BOS",22,1,68,990,161,373,0,14,64,84,17,96,167,54,5,118,74,386,.432,.000,.762,14.6,5.7,1.4,2.5,0.8,0.1,1982-83
Dave Batton,"Oct 30, '82, WSB @ CHI",26,1,54,558,85,191,0,3,8,17,45,119,29,15,13,28,56,178,.445,.000,.471,10.3,3.3,2.2,0.5,0.3,0.2,1982-83
Lester Conner,"Nov 13, '82, GSW vs. ATL",23,1,75,1416,145,303,0,4,79,113,69,221,253,116,7,99,141,369,.479,.000,.699,18.9,4.9,2.9,3.4,1.5,0.1,1982-83
Chubby Cox,"Jan 12, '83, WSB @ DET",27,1,7,78,13,37,0,2,3,6,7,10,6,0,1,9,16,29,.351,.000,.500,11.1,4.1,1.4,0.9,0.0,0.1,1982-83
Terry Cummings,"Nov 5, '82, SDC @ MIL",21,1,70,2531,684,1309,0,1,292,412,303,744,177,129,62,204,294,1660,.523,.000,.709,36.2,23.7,10.6,2.5,1.8,0.9,1982-83
Quintin Dailey,"Oct 29, '82, CHI @ NJN",22,1,76,2081,470,1008,5,25,206,282,87,260,280,72,10,205,248,1151,.466,.200,.730,27.4,15.1,3.4,3.7,0.9,0.1,1982-83
Mike Davis,"Mar 15, '83, NYK vs. ATL",26,1,8,28,4,10,0,0,6,10,3,10,0,0,4,0,4,14,.400,,.600,3.5,1.8,1.3,0.0,0.0,0.5,1982-83
Mark Eaton,"Oct 29, '82, UTA vs. SAS",26,1,81,1528,146,353,0,1,59,90,86,462,112,24,275,140,257,351,.414,.000,.656,18.9,4.3,5.7,1.4,0.3,3.4,1982-83
Jerry Eaves,"Oct 29, '82, UTA vs. SAS",23,1,82,1588,280,575,1,8,200,247,34,122,210,51,3,152,116,761,.487,.125,.810,19.4,9.3,1.5,2.6,0.6,0.0,1982-83
Keith Edmonson,"Nov 2, '82, ATL vs. WSB",22,1,32,309,48,139,0,2,16,27,20,39,22,11,6,20,41,112,.345,.000,.593,9.7,3.5,1.2,0.7,0.3,0.2,1982-83
Chris Engler,"Oct 29, '82, GSW @ LAL",23,1,54,369,38,94,0,0,5,16,43,104,11,7,17,24,95,81,.404,,.313,6.8,1.5,1.9,0.2,0.1,0.3,1982-83
Bruce Flowers,"Oct 29, '82, CLE vs. BOS",25,1,53,699,110,206,0,2,41,53,71,180,47,19,12,43,99,261,.534,.000,.774,13.2,4.9,3.4,0.9,0.4,0.2,1982-83
Sleepy Floyd,"Nov 2, '82, NJN vs. SDC",22,1,76,1248,226,527,10,25,150,180,56,137,138,58,17,106,134,612,.429,.400,.833,16.4,8.1,1.8,1.8,0.8,0.2,1982-83
Bill Garnett,"Oct 29, '82, DAL @ DEN",22,1,75,1411,170,319,0,3,129,174,141,406,103,48,70,81,245,469,.533,.000,.741,18.8,6.3,5.4,1.4,0.6,0.9,1982-83
John Greig,"Feb 20, '83, SEA vs. GSW",21,1,9,26,7,13,0,0,5,6,2,6,0,0,1,2,4,19,.538,,.833,2.9,2.1,0.7,0.0,0.0,0.1,1982-83
Scott Hastings,"Oct 30, '82, NYK @ MIL",22,1,31,140,13,38,0,3,11,20,15,41,3,6,1,9,34,37,.342,.000,.550,4.5,1.2,1.3,0.1,0.2,0.0,1982-83
Rod Higgins,"Oct 29, '82, CHI @ NJN",23,1,82,2196,313,698,13,41,209,264,159,366,175,66,65,127,248,848,.448,.317,.792,26.8,10.3,4.5,2.1,0.8,0.8,1982-83
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1982-83
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1982-83
Craig Hodges,"Oct 29, '82, SDC vs. PHO",22,1,76,2022,318,704,20,90,94,130,53,122,275,82,4,161,192,750,.452,.222,.723,26.6,9.9,1.6,3.6,1.1,0.1,1982-83
Marc Iavaroni,"Oct 29, '82, PHI @ NYK",26,1,80,1612,163,353,0,2,78,113,117,329,83,32,44,133,238,404,.462,.000,.690,20.2,5.1,4.1,1.0,0.4,0.6,1982-83
Jim Johnstone,"Nov 5, '82, SAS @ GSW",22,1,23,191,11,30,0,0,9,20,15,46,11,3,7,15,33,31,.367,,.450,8.3,1.3,2.0,0.5,0.1,0.3,1982-83
Hutch Jones,"Nov 24, '82, SDC vs. NJN",23,1,9,85,17,37,0,0,6,6,10,17,4,3,0,6,14,40,.459,,1.000,9.4,4.4,1.9,0.4,0.3,0.0,1982-83
Clark Kellogg,"Oct 29, '82, IND vs. WSB",21,1,81,2761,680,1420,4,18,261,352,340,860,223,141,43,217,298,1625,.479,.222,.741,34.1,20.1,10.6,2.8,1.7,0.5,1982-83
Joe Kopicki,"Mar 12, '83, WSB vs. PHI",22,1,17,201,23,51,0,1,21,25,18,62,9,9,2,8,21,67,.451,.000,.840,11.8,3.9,3.6,0.5,0.5,0.1,1982-83
Fat Lever,"Oct 29, '82, POR @ KCK",22,1,81,2020,256,594,5,15,116,159,85,225,426,153,15,137,179,633,.431,.333,.730,24.9,7.8,2.8,5.3,1.9,0.2,1982-83
Cliff Levingston,"Nov 2, '82, DET @ CLE",22,1,62,879,131,270,0,1,84,147,104,232,52,23,36,73,125,346,.485,.000,.571,14.2,5.6,3.7,0.8,0.4,0.6,1982-83
Steve Lingenfelter,"Nov 3, '82, WSB vs. NJN",24,1,7,53,4,6,0,0,0,4,1,12,4,1,3,5,16,8,.667,,.000,7.6,1.1,1.7,0.6,0.1,0.4,1982-83
Dave Magley,"Oct 29, '82, CLE vs. BOS",23,1,14,56,4,16,0,1,4,8,2,10,2,2,0,2,5,12,.250,.000,.500,4.0,0.9,0.7,0.1,0.1,0.0,1982-83
Mark McNamara,"Oct 30, '82, PHI vs. NJN",23,1,36,182,29,64,0,0,20,45,34,76,7,3,3,36,42,78,.453,,.444,5.1,2.2,2.1,0.2,0.1,0.1,1982-83
Guy Morgan,"Nov 3, '82, IND @ BOS",22,1,8,46,7,24,0,0,1,4,6,17,7,2,0,2,7,15,.292,,.250,5.8,1.9,2.1,0.9,0.3,0.0,1982-83
Ed Nealy,"Oct 29, '82, KCK vs. POR",22,1,82,1643,147,247,0,0,70,114,170,485,62,68,12,51,247,364,.595,,.614,20.0,4.4,5.9,0.8,0.8,0.1,1982-83
Chuck Nevitt,"Apr 2, '83, HOU vs. SAS",23,1,6,64,11,15,0,0,1,4,6,17,0,1,12,7,14,23,.733,,.250,10.7,3.8,2.8,0.0,0.2,2.0,1982-83
Audie Norris,"Oct 29, '82, POR @ KCK",22,1,30,311,26,63,0,0,14,30,25,69,24,13,2,33,61,66,.413,,.467,10.4,2.2,2.3,0.8,0.4,0.1,1982-83
Eddie Phillips,"Oct 29, '82, NJN vs. CHI",21,1,48,416,56,138,0,2,40,59,27,77,29,14,8,50,58,152,.406,.000,.678,8.7,3.2,1.6,0.6,0.3,0.2,1982-83
Ricky Pierce,"Nov 5, '82, DET vs. PHI",23,1,39,265,33,88,1,7,18,32,15,35,14,8,4,18,42,85,.375,.143,.563,6.8,2.2,0.9,0.4,0.2,0.1,1982-83
Charles Pittman,"Feb 8, '83, PHO vs. DAL",24,1,28,170,19,40,0,1,25,37,13,31,7,2,7,22,41,63,.475,.000,.676,6.1,2.3,1.1,0.3,0.1,0.3,1982-83
Paul Pressey,"Oct 30, '82, MIL vs. NYK",24,1,79,1528,213,466,1,9,105,176,83,281,207,99,47,162,174,532,.457,.111,.597,19.3,6.7,3.6,2.6,1.3,0.6,1982-83
Oliver Robinson,"Nov 9, '82, SAS vs. UTA",22,1,35,147,35,97,1,11,30,45,6,17,21,4,2,13,18,101,.361,.091,.667,4.2,2.9,0.5,0.6,0.1,0.1,1982-83
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1982-83
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1982-83
Walker Russell,"Oct 31, '82, DET @ IND",22,1,68,757,67,184,2,18,47,58,19,73,131,16,1,92,71,183,.364,.111,.810,11.1,2.7,1.1,1.9,0.2,0.0,1982-83
Mike Sanders,"Feb 10, '83, SAS vs. GSW",22,1,26,393,76,157,0,2,31,43,31,94,19,18,6,28,57,183,.484,.000,.721,15.1,7.0,3.6,0.7,0.7,0.2,1982-83
Russ Schoene,"Oct 29, '82, PHI @ NYK",22,1,77,1222,207,435,1,4,61,83,96,255,59,25,23,81,192,476,.476,.250,.735,15.9,6.2,3.3,0.8,0.3,0.3,1982-83
Ed Sherod,"Apr 20, '82, NJN vs. WSB",23,1,64,1624,171,421,1,13,52,80,43,149,311,96,14,104,112,395,.406,.077,.650,25.4,6.2,2.3,4.9,1.5,0.2,1982-83
Jose Slaughter,"Nov 3, '82, IND @ BOS",22,1,63,515,89,238,9,41,38,59,34,68,52,36,7,42,93,225,.374,.220,.644,8.2,3.6,1.1,0.8,0.6,0.1,1982-83
Derek Smith,"Jan 12, '83, GSW @ BOS",21,1,27,154,21,51,0,2,17,25,10,38,2,0,4,11,40,59,.412,.000,.680,5.7,2.2,1.4,0.1,0.0,0.1,1982-83
Brook Steppe,"Oct 29, '82, KCK vs. POR",23,1,62,606,84,176,1,7,76,100,25,73,68,26,3,55,92,245,.477,.143,.760,9.8,4.0,1.2,1.1,0.4,0.0,1982-83
Jeff Taylor,"Oct 29, '82, HOU @ SEA",23,1,44,774,64,160,0,1,30,46,25,78,110,40,15,60,82,158,.400,.000,.652,17.6,3.6,1.8,2.5,0.9,0.3,1982-83
Vince Taylor,"Oct 29, '82, NYK vs. PHI",22,1,31,321,37,102,0,0,21,32,19,36,41,20,2,30,54,95,.363,,.656,10.4,3.1,1.2,1.3,0.6,0.1,1982-83
Terry Teagle,"Oct 29, '82, HOU @ SEA",22,1,73,1708,332,776,10,29,87,125,74,194,150,53,18,137,171,761,.428,.345,.696,23.4,10.4,2.7,2.1,0.7,0.2,1982-83
David Thirdkill,"Oct 29, '82, PHO @ SDC",22,1,49,521,74,170,1,7,45,78,28,72,36,19,4,48,93,194,.435,.143,.577,10.6,4.0,1.5,0.7,0.4,0.1,1982-83
Corny Thompson,"Dec 30, '82, DAL @ MIL",22,1,44,520,43,137,0,0,36,46,41,120,34,12,7,31,92,122,.314,,.783,11.8,2.8,2.7,0.8,0.3,0.2,1982-83
LaSalle Thompson,"Nov 20, '82, KCK @ DAL",21,1,71,987,147,287,0,1,89,137,133,375,33,40,61,96,186,383,.512,.000,.650,13.9,5.4,5.3,0.5,0.6,0.9,1982-83
Darren Tillis,"Oct 29, '82, BOS @ CLE",22,1,52,526,76,181,0,1,16,28,41,130,18,8,30,22,76,168,.420,.000,.571,10.1,3.2,2.5,0.3,0.2,0.6,1982-83
Linton Townes,"Nov 9, '82, POR vs. GSW",23,1,55,516,105,234,9,25,28,38,30,65,31,19,5,33,81,247,.449,.360,.737,9.4,4.5,1.2,0.6,0.3,0.1,1982-83
Trent Tucker,"Oct 29, '82, NYK vs. PHI",23,1,78,1830,299,647,14,30,43,64,75,216,195,56,6,70,235,655,.462,.467,.672,23.5,8.4,2.8,2.5,0.7,0.1,1982-83
Bryan Warrick,"Oct 29, '82, WSB @ IND",23,1,43,727,65,171,0,5,42,57,15,69,126,21,8,71,103,172,.380,.000,.737,16.9,4.0,1.6,2.9,0.5,0.2,1982-83
Rory White,"Oct 29, '82, PHO @ SDC",23,1,65,626,127,234,0,1,70,109,47,105,30,16,2,51,54,324,.543,.000,.642,9.6,5.0,1.6,0.5,0.2,0.0,1982-83
Dominique Wilkins*,"Oct 29, '82, ATL @ DET",23,1,82,2697,601,1220,2,11,230,337,226,478,129,84,63,180,210,1434,.493,.182,.682,32.9,17.5,5.8,1.6,1.0,0.8,1982-83
Rickey Williams,"Oct 30, '82, UTA @ DAL",25,1,44,346,56,135,0,3,35,53,15,38,37,20,4,38,42,147,.415,.000,.660,7.9,3.3,0.9,0.8,0.5,0.1,1982-83
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1982-83
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1982-83
Rob Williams,"Oct 29, '82, DEN vs. DAL",21,1,74,1443,191,468,2,15,131,174,37,136,361,89,12,185,221,515,.408,.133,.753,19.5,7.0,1.8,4.9,1.2,0.2,1982-83
James Worthy*,"Oct 29, '82, LAL vs. GSW",21,1,77,1970,447,772,1,4,138,221,157,399,132,91,64,178,221,1033,.579,.250,.624,25.6,13.4,5.2,1.7,1.2,0.8,1982-83
Jim Zoet,"Nov 2, '82, DET @ CLE",29,1,7,30,1,5,0,0,0,0,3,8,1,1,3,4,9,2,.200,,,4.3,0.3,1.1,0.1,0.1,0.4,1982-83
