Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Al Attles*,"Oct 28, '60, PHW vs. LAL",24,1,77,1544,222,543,,,97,162,,214,174,,,,235,541,0.409,,0.599,20.1,7.0,2.8,2.3,,,1960-61
Bob Boozer,"Oct 19, '60, CIN vs. LAL",23,1,79,1573,250,603,,,166,247,,488,109,,,,193,666,0.415,,0.672,19.9,8.4,6.2,1.4,,,1960-61
Dave Budd,"Oct 22, '60, NYK @ CIN",22,1,61,1075,156,361,,,87,134,,297,45,,,,171,399,0.432,,0.649,17.6,6.5,4.9,0.7,,,1960-61
Ralph Davis,"Oct 19, '60, CIN vs. LAL",22,1,73,1210,181,451,,,34,52,,86,177,,,,127,396,0.401,,0.654,16.6,5.4,1.2,2.4,,,1960-61
Swede Halbrook,"Oct 22, '60, SYR vs. PHW",28,1,79,1131,155,463,,,76,140,,550,31,,,,262,386,0.335,,0.543,14.3,4.9,7.0,0.4,,,1960-61
Darrall Imhoff,"Oct 20, '60, NYK vs. CIN",22,1,62,994,122,310,,,49,96,,296,51,,,,143,293,0.394,,0.51,16.0,4.7,4.8,0.8,,,1960-61
Ron Johnson,"Oct 22, '60, DET @ BOS",22,1,14,103,13,43,,,11,17,,29,2,,,,10,37,0.302,,0.647,7.4,2.6,2.1,0.1,,,1960-61
Howie Jolliff,"Oct 19, '60, LAL @ CIN",22,1,46,352,46,141,,,11,23,,141,16,,,,53,103,0.326,,0.478,7.7,2.2,3.1,0.3,,,1960-61
Willie Jones,"Nov 5, '60, DET @ PHW",24,1,35,452,78,216,,,40,63,,94,63,,,,90,196,0.361,,0.635,12.9,5.6,2.7,1.8,,,1960-61
Pickles Kennedy,"Oct 29, '60, PHW @ BOS",22,1,7,52,4,21,,,4,6,,8,9,,,,6,12,0.19,,0.667,7.4,1.7,1.1,1.3,,,1960-61
Fred LaCour,"Oct 22, '60, STL vs. LAL",22,1,55,722,123,295,,,63,84,,178,84,,,,73,309,0.417,,0.75,13.1,5.6,3.2,1.5,,,1960-61
George Lee,"Oct 22, '60, DET @ BOS",24,1,74,1735,310,776,,,276,394,,490,89,,,,158,896,0.399,,0.701,23.4,12.1,6.6,1.2,,,1960-61
Bob McNeill,"Oct 20, '60, NYK vs. CIN",22,1,75,1387,166,427,,,105,126,,123,238,,,,148,437,0.389,,0.833,18.5,5.8,1.6,3.2,,,1960-61
Jackie Moreland,"Oct 22, '60, DET @ BOS",22,1,64,1003,191,477,,,86,132,,315,52,,,,174,468,0.4,,0.652,15.7,7.3,4.9,0.8,,,1960-61
Don Ohl,"Oct 22, '60, DET @ BOS",24,1,79,2172,427,1085,,,200,278,,256,265,,,,224,1054,0.394,,0.719,27.5,13.3,3.2,3.4,,,1960-61
Joe Roberts,"Oct 22, '60, SYR vs. PHW",24,1,68,800,130,351,,,62,104,,243,43,,,,125,322,0.37,,0.596,11.8,4.7,3.6,0.6,,,1960-61
Oscar Robertson*,"Oct 19, '60, CIN vs. LAL",22,1,71,3032,756,1600,,,653,794,,716,690,,,,219,2165,0.473,,0.822,42.7,30.5,10.1,9.7,,,1960-61
Tom Sanders*,"Oct 22, '60, BOS vs. DET",22,1,68,1084,148,352,,,67,100,,385,44,,,,131,363,0.42,,0.67,15.9,5.3,5.7,0.6,,,1960-61
Jerry West*,"Oct 19, '60, LAL @ CIN",22,1,79,2797,529,1264,,,331,497,,611,333,,,,213,1389,0.419,,0.666,35.4,17.6,7.7,4.2,,,1960-61
Lenny Wilkens*,"Oct 22, '60, STL vs. LAL",23,1,75,1898,333,783,,,214,300,,335,212,,,,215,880,0.425,,0.713,25.3,11.7,4.5,2.8,,,1960-61
