Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
John Barnhill,"Oct 20, '62, STL vs. DET",24,1,77,2692,360,838,,,181,255,,359,322,,,,168,901,.430,,.710,35.0,11.7,4.7,4.2,,,1962-63
Zelmo Beaty*,"Oct 20, '62, STL vs. DET",23,1,80,1918,297,677,,,220,307,,665,85,,,,312,814,.439,,.717,24.0,10.2,8.3,1.1,,,1962-63
Bill Bridges,"Jan 8, '63, STL vs. LAL",23,1,27,374,66,160,,,32,51,,144,23,,,,58,164,.413,,.627,13.9,6.1,5.3,0.9,,,1962-63
Len Chappell,"Oct 20, '62, SYR vs. LAL",22,1,80,1241,281,604,,,148,238,,461,56,,,,171,710,.465,,.622,15.5,8.9,5.8,0.7,,,1962-63
Johnny Cox,"Oct 16, '62, CHZ @ NYK",26,1,73,1685,239,568,,,95,135,,280,142,,,,149,573,.421,,.704,23.1,7.8,3.8,1.9,,,1962-63
Dave DeBusschere*,"Oct 16, '62, DET @ LAL",22,1,80,2352,406,944,,,206,287,,694,207,,,,247,1018,.430,,.718,29.4,12.7,8.7,2.6,,,1962-63
Terry Dischinger,"Oct 20, '62, CHZ vs. CIN",22,1,57,2294,525,1026,,,402,522,,458,175,,,,188,1452,.512,,.770,40.2,25.5,8.0,3.1,,,1962-63
Danny Doyle,"Oct 23, '62, DET @ SFW",22,1,4,25,6,12,,,4,5,,8,3,,,,4,16,.500,,.800,6.3,4.0,2.0,0.8,,,1962-63
Bob Duffy,"Oct 26, '62, STL @ CIN",22,1,42,435,66,174,,,22,39,,39,83,,,,42,154,.379,,.564,10.4,3.7,0.9,2.0,,,1962-63
Leroy Ellis,"Oct 16, '62, LAL @ DET",22,1,80,1628,222,530,,,133,202,,518,46,,,,194,577,.419,,.658,20.4,7.2,6.5,0.6,,,1962-63
Dave Fedor,"Oct 23, '62, SFW vs. DET",22,1,7,27,3,10,,,0,1,,6,1,,,,4,6,.300,,.000,3.9,0.9,0.9,0.1,,,1962-63
