Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Victor Alexander,"Nov 1, '91, GSW @ DEN",22,1,80,1350,243,459,0,1,103,149,106,336,32,45,62,91,176,589,.529,.000,.691,16.9,7.4,4.2,0.4,0.6,0.8,1991-92
Kenny Anderson,"Nov 9, '91, NJN vs. DET",21,1,64,1086,187,480,3,13,73,98,38,127,203,67,9,97,68,450,.390,.231,.745,17.0,7.0,2.0,3.2,1.0,0.1,1991-92
Greg Anthony,"Nov 1, '91, NYK @ ORL",24,1,82,1510,161,435,8,55,117,158,33,136,314,59,9,98,170,447,.370,.145,.741,18.4,5.5,1.7,3.8,0.7,0.1,1991-92
Stacey Augmon,"Nov 2, '91, ATL vs. DET",23,1,82,2505,440,899,1,6,213,320,191,420,201,124,27,181,161,1094,.489,.167,.666,30.5,13.3,5.1,2.5,1.5,0.3,1991-92
Isaac Austin,"Nov 2, '91, UTA @ IND",22,1,31,112,21,46,0,0,19,30,11,35,5,2,2,8,20,61,.457,,.633,3.6,2.0,1.1,0.2,0.1,0.1,1991-92
Steve Bardo,"Feb 19, '92, SAS vs. MIN",23,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,1991-92
David Benoit,"Nov 1, '91, UTA @ MIN",23,1,77,1161,175,375,3,14,81,100,105,296,34,19,44,71,124,434,.467,.214,.810,15.1,5.6,3.8,0.4,0.2,0.6,1991-92
Terrell Brandon,"Nov 1, '91, CLE @ POR",21,1,82,1605,252,601,1,23,100,124,49,162,316,81,22,136,107,605,.419,.043,.806,19.6,7.4,2.0,3.9,1.0,0.3,1991-92
Kevin Brooks,"Nov 2, '91, DEN vs. HOU",22,1,37,270,43,97,2,11,17,21,13,39,11,8,2,18,19,105,.443,.182,.810,7.3,2.8,1.1,0.3,0.2,0.1,1991-92
Myron Brown,"Nov 17, '91, MIN vs. SEA",22,1,4,23,4,6,1,3,0,0,0,3,6,1,0,4,2,9,.667,.333,,5.8,2.3,0.8,1.5,0.3,0.0,1991-92
Randy Brown,"Nov 1, '91, SAC vs. LAC",23,1,56,535,77,169,0,6,38,58,26,69,59,35,12,42,68,192,.456,.000,.655,9.6,3.4,1.2,1.1,0.6,0.2,1991-92
Demetrius Calip,"Nov 1, '91, LAL @ HOU",22,1,7,58,4,18,1,5,2,3,1,5,12,1,0,5,8,11,.222,.200,.667,8.3,1.6,0.7,1.7,0.1,0.0,1991-92
Pete Chilcutt,"Nov 1, '91, SAC vs. LAC",23,1,69,817,113,250,2,2,23,28,78,187,38,32,17,41,70,251,.452,1.000,.821,11.8,3.6,2.7,0.6,0.5,0.2,1991-92
Marty Conlon,"Nov 5, '91, SEA vs. SAC",24,1,45,381,48,101,0,0,24,32,33,69,12,9,7,27,40,120,.475,,.750,8.5,2.7,1.5,0.3,0.2,0.2,1991-92
Tom Copa,"Nov 1, '91, SAS vs. DAL",27,1,33,132,22,40,0,0,4,13,14,36,3,2,6,8,29,48,.550,,.308,4.0,1.5,1.1,0.1,0.1,0.2,1991-92
Chris Corchiani,"Jan 4, '92, ORL @ DEN",23,1,51,741,77,193,10,37,91,104,18,78,141,45,2,74,94,255,.399,.270,.875,14.5,5.0,1.5,2.8,0.9,0.0,1991-92
Corey Crowder,"Nov 2, '91, UTA @ IND",22,1,51,328,43,112,13,30,15,18,16,41,17,7,2,13,35,114,.384,.433,.833,6.4,2.2,0.8,0.3,0.1,0.0,1991-92
Dale Davis,"Nov 18, '91, IND vs. DET",22,1,64,1301,154,279,0,1,87,152,158,410,30,27,74,49,191,395,.552,.000,.572,20.3,6.2,6.4,0.5,0.4,1.2,1991-92
Bison Dele,"Nov 20, '91, ORL vs. UTA",22,1,48,905,171,324,0,0,95,142,115,272,33,41,53,86,139,437,.528,,.669,18.9,9.1,5.7,0.7,0.9,1.1,1991-92
Patrick Eddie,"Nov 26, '91, NYK vs. MIA",24,1,4,13,2,9,0,0,0,0,0,1,0,0,0,0,3,4,.222,,,3.3,1.0,0.3,0.0,0.0,0.0,1991-92
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1991-92
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1991-92
