Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Timmy Allen,"Apr 6, '24, MEM vs. PHI",24,1,5,125,6,23,0,7,1,2,4,17,5,4,0,2,18,13,.261,.000,.500,25.0,2.6,3.4,1.0,0.8,0.0,2023-24,NBA
Ibou Badji,"Dec 26, '23, POR vs. SAC",21,1,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,.636,,.500,10.3,1.5,2.3,0.6,0.1,0.9,2023-24,NBA
Amari Bailey,"Nov 12, '23, CHO @ NYK",19,1,10,65,8,24,1,8,6,7,6,9,7,3,0,4,2,23,.333,.125,.857,6.5,2.3,0.9,0.7,0.3,0.0,2023-24,NBA
Emoni Bates,"Oct 28, '23, CLE vs. IND",20,1,15,133,15,49,10,33,1,4,1,14,10,1,2,8,5,41,.306,.303,.250,8.9,2.7,0.9,0.7,0.1,0.1,2023-24,NBA
Jules Bernard,"Dec 8, '23, WAS @ BRK",24,1,19,149,29,64,11,29,5,9,10,26,16,3,1,8,14,74,.453,.379,.556,7.8,3.9,1.4,0.8,0.2,0.1,2023-24,NBA
Onuralp Bitim,"Nov 4, '23, CHI @ DEN",24,1,23,268,32,84,12,44,4,5,6,32,13,3,2,10,24,80,.381,.273,.800,11.7,3.5,1.4,0.6,0.1,0.1,2023-24,NBA
Anthony Black,"Oct 25, '23, ORL vs. HOU",20,1,69,1164,115,247,37,94,49,80,33,139,91,35,21,56,110,316,.466,.394,.613,16.9,4.6,2.0,1.3,0.5,0.3,2023-24,NBA
Leaky Black,"Nov 8, '23, CHO vs. WAS",24,1,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,.481,.450,.667,10.9,2.7,1.8,0.9,0.3,0.4,2023-24,NBA
Izaiah Brockington,"Mar 5, '24, NOP @ TOR",24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,.400,.000,,3.0,4.0,2.0,0.0,0.0,0.0,2023-24,NBA
Kobe Brown,"Oct 25, '23, LAC vs. POR",24,1,44,394,37,90,14,48,1,2,20,62,25,12,6,9,49,89,.411,.292,.500,9.0,2.0,1.4,0.6,0.3,0.1,2023-24,NBA
Kobe Bufkin,"Oct 29, '23, ATL @ MIL",20,1,17,196,34,92,9,40,4,8,6,33,27,7,5,10,20,81,.370,.225,.500,11.5,4.8,1.9,1.6,0.4,0.3,2023-24,NBA
Toumani Camara,"Oct 25, '23, POR @ LAC",23,1,70,1739,197,438,58,172,75,99,139,343,87,66,33,84,174,527,.450,.337,.758,24.8,7.5,4.9,1.2,0.9,0.5,2023-24,NBA
D.J. Carton,"Feb 22, '24, TOR vs. BRK",23,1,4,36,3,8,1,4,4,5,2,4,3,1,0,1,3,11,.375,.250,.800,9.0,2.8,1.0,0.8,0.3,0.0,2023-24,NBA
Colin Castleton,"Nov 4, '23, LAL @ ORL",23,1,16,59,9,16,0,0,6,6,6,12,3,2,0,3,11,24,.563,,1.000,3.7,1.5,0.8,0.2,0.1,0.0,2023-24,NBA
Malcolm Cazalon,"Nov 5, '23, DET vs. PHO",22,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,0.0,2023-24,NBA
Sidy Cissoko,"Nov 20, '23, SAS vs. LAC",19,1,12,141,16,33,1,12,12,15,8,22,10,7,3,3,18,45,.485,.083,.800,11.8,3.8,1.8,0.8,0.6,0.3,2023-24,NBA
Noah Clowney,"Nov 25, '23, BRK vs. MIA",19,1,23,370,50,93,12,33,21,30,26,81,18,8,16,15,25,133,.538,.364,.700,16.1,5.8,3.5,0.8,0.3,0.7,2023-24,NBA
Bilal Coulibaly,"Oct 25, '23, WAS @ IND",19,1,63,1715,188,432,64,185,92,131,56,256,110,57,48,87,137,532,.435,.346,.702,27.2,8.4,4.1,1.7,0.9,0.8,2023-24,NBA
Ricky Council IV,"Jan 2, '24, PHI vs. CHI",22,1,32,289,54,112,12,32,53,71,14,46,16,8,1,5,17,173,.482,.375,.746,9.0,5.4,1.4,0.5,0.3,0.0,2023-24,NBA
Jalen Crutcher,"Feb 27, '24, NOP @ NYK",24,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,0.0,2023-24,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2023-24,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2023-24,NBA
Dexter Dennis,"Dec 1, '23, DAL vs. MEM",24,1,4,30,10,19,1,8,1,3,1,9,4,0,1,3,1,22,.526,.125,.333,7.5,5.5,2.3,1.0,0.0,0.3,2023-24,NBA
Gradey Dick,"Oct 25, '23, TOR vs. MIN",20,1,60,1268,189,445,88,241,44,51,27,132,68,34,2,50,87,510,.425,.365,.863,21.1,8.5,2.2,1.1,0.6,0.0,2023-24,NBA
Henri Drell,"Mar 14, '24, CHI vs. LAC",23,1,4,30,4,10,2,6,1,2,1,4,4,2,1,2,6,11,.400,.333,.500,7.5,2.8,1.0,1.0,0.5,0.3,2023-24,NBA
Tosan Evbuomwan,"Feb 2, '24, MEM vs. GSW",22,1,17,367,36,71,12,32,17,25,18,60,16,6,5,9,23,101,.507,.375,.680,21.6,5.9,3.5,0.9,0.4,0.3,2023-24,NBA
Adam Flagler,"Feb 23, '24, OKC vs. WAS",24,1,2,14,1,7,1,6,0,0,0,0,4,0,0,0,0,3,.143,.167,,7.0,1.5,0.0,2.0,0.0,0.0,2023-24,NBA
Jordan Ford,"Oct 25, '23, SAC @ UTA",25,1,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,.571,.667,1.000,3.7,2.0,0.3,0.3,0.0,0.0,2023-24,NBA
Javon Freeman-Liberty,"Jan 17, '24, TOR vs. MIA",24,1,22,403,55,124,10,42,33,36,16,70,40,10,4,25,28,153,.444,.238,.917,18.3,7.0,3.2,1.8,0.5,0.2,2023-24,NBA
Alex Fudge,"Nov 4, '23, LAL @ ORL",20,1,6,40,6,15,1,5,2,2,4,5,0,3,0,2,2,15,.400,.200,1.000,6.7,2.5,0.8,0.0,0.5,0.0,2023-24,NBA
