Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Stacey Arceneaux,"Mar 2, '62, STL vs. BOS",25,1,7,110,22,56,,,6,13,,32,4,,,,10,50,.393,,.462,15.7,7.1,4.6,0.6,,,1961-62
Walt Bellamy*,"Oct 19, '61, CHP @ NYK",22,1,79,3344,973,1875,,,549,853,,1500,210,,,,281,2495,.519,,.644,42.3,31.6,19.0,2.7,,,1961-62
George Blaney,"Oct 19, '61, NYK vs. CHP",22,1,36,363,54,142,,,9,17,,36,45,,,,34,117,.380,,.529,10.1,3.3,1.0,1.3,,,1961-62
George Bon Salle,"Oct 28, '61, CHP @ STL",26,1,3,9,2,8,,,0,0,,2,0,,,,0,4,.250,,,3.0,1.3,0.7,0.0,,,1961-62
Joe Buckhalter,"Oct 21, '61, CIN @ STL",24,1,63,728,153,334,,,67,108,,262,43,,,,123,373,.458,,.620,11.6,5.9,4.2,0.7,,,1961-62
Cleveland Buckner,"Oct 19, '61, NYK vs. CHP",23,1,62,696,158,367,,,83,133,,236,39,,,,114,399,.431,,.624,11.2,6.4,3.8,0.6,,,1961-62
Ed Burton,"Oct 19, '61, NYK vs. CHP",22,1,8,28,7,14,,,1,4,,5,1,,,,3,15,.500,,.250,3.5,1.9,0.6,0.1,,,1961-62
Donnie Butcher,"Dec 1, '61, NYK vs. SYR",25,1,47,479,48,155,,,42,69,,79,51,,,,63,138,.310,,.609,10.2,2.9,1.7,1.1,,,1961-62
Al Butler,"Oct 21, '61, BOS vs. DET",23,1,59,2016,349,754,,,129,182,,337,205,,,,156,827,.463,,.709,34.2,14.0,5.7,3.5,,,1961-62
Howie Carl,"Oct 19, '61, CHP @ NYK",23,1,31,382,67,201,,,36,51,,39,57,,,,41,170,.333,,.706,12.3,5.5,1.3,1.8,,,1961-62
Jimmy Darrow,"Nov 22, '61, STL @ BOS",24,1,5,34,3,15,,,6,7,,7,6,,,,9,12,.200,,.857,6.8,2.4,1.4,1.2,,,1961-62
Johnny Egan,"Oct 21, '61, DET @ BOS",23,1,58,696,128,301,,,64,84,,86,102,,,,64,320,.425,,.762,12.0,5.5,1.5,1.8,,,1961-62
Rich Eichhorst,"Mar 14, '62, STL @ LAL",28,1,1,10,1,2,,,0,0,,1,3,,,,1,2,.500,,,10.0,2.0,1.0,3.0,,,1961-62
Cleo Hill,"Oct 21, '61, STL vs. CIN",23,1,58,1050,107,309,,,106,137,,178,114,,,,98,320,.346,,.774,18.1,5.5,3.1,2.0,,,1961-62
Ron Horn,"Nov 22, '61, STL @ BOS",23,1,3,25,1,12,,,1,2,,6,1,,,,4,3,.083,,.500,8.3,1.0,2.0,0.3,,,1961-62
Doug Kistler,"Nov 1, '61, NYK @ DET",23,1,5,13,3,6,,,2,4,,1,0,,,,2,8,.500,,.500,2.6,1.6,0.2,0.0,,,1961-62
York Larese,"Oct 19, '61, CHP @ NYK",23,1,59,703,122,327,,,58,72,,77,94,,,,104,302,.373,,.806,11.9,5.1,1.3,1.6,,,1961-62
Ted Luckenbill,"Oct 20, '61, PHW vs. LAL",22,1,67,396,43,120,,,49,76,,110,27,,,,67,135,.358,,.645,5.9,2.0,1.6,0.4,,,1961-62
