Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Robert Archibald,"Nov 9, '02, MEM @ DEN",22,1,12,72,6,20,0,0,7,18,6,17,3,0,3,7,9,19,.300,,.389,6.0,1.6,1.4,0.3,0.0,0.3,2002-03
Maceo Baston,"Feb 12, '03, TOR vs. ATL",27,1,16,106,15,25,0,0,10,12,4,23,0,4,11,6,16,40,.600,,.833,6.6,2.5,1.4,0.0,0.3,0.7,2002-03
Mike Batiste,"Nov 1, '02, MEM @ DET",25,1,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,.422,.222,.784,16.6,6.4,3.4,0.7,0.6,0.2,2002-03
Lonny Baxter,"Nov 1, '02, CHI vs. NOH",24,1,55,682,96,206,0,2,70,103,65,165,16,9,22,46,135,262,.466,.000,.680,12.4,4.8,3.0,0.3,0.2,0.4,2002-03
Carlos Boozer,"Oct 29, '02, CLE @ SAC",21,1,81,2049,331,618,0,1,148,192,202,609,106,59,50,103,224,810,.536,.000,.771,25.3,10.0,7.5,1.3,0.7,0.6,2002-03
J.R. Bremer,"Oct 31, '02, BOS @ WAS",22,1,64,1503,171,464,101,286,85,111,18,145,164,38,3,59,80,528,.369,.353,.766,23.5,8.3,2.3,2.6,0.6,0.0,2002-03
Devin Brown,"Nov 4, '02, SAS @ MEM",24,1,10,93,12,35,0,1,6,8,8,18,7,4,1,9,14,30,.343,.000,.750,9.3,3.0,1.8,0.7,0.4,0.1,2002-03
Pat Burke,"Oct 29, '02, ORL vs. PHI",29,1,62,783,113,296,1,7,40,58,57,146,23,19,25,47,99,267,.382,.143,.690,12.6,4.3,2.4,0.4,0.3,0.4,2002-03
Caron Butler,"Oct 30, '02, MIA vs. ORL",22,1,78,2858,429,1032,34,107,309,375,135,397,213,137,31,192,230,1201,.416,.318,.824,36.6,15.4,5.1,2.7,1.8,0.4,2002-03
Rasual Butler,"Oct 30, '02, MIA vs. ORL",23,1,72,1514,207,572,50,171,76,104,29,186,93,21,43,77,105,540,.362,.292,.731,21.0,7.5,2.6,1.3,0.3,0.6,2002-03
Dan Dickau,"Oct 30, '02, ATL @ NJN",24,1,50,515,70,170,22,61,21,26,9,43,85,14,2,53,66,183,.412,.361,.808,10.3,3.7,0.9,1.7,0.3,0.0,2002-03
Juan Dixon,"Oct 31, '02, WAS vs. BOS",24,1,42,647,104,271,25,84,37,46,13,72,40,26,3,42,54,270,.384,.298,.804,15.4,6.4,1.7,1.0,0.6,0.1,2002-03
Mike Dunleavy,"Oct 30, '02, GSW vs. SAS",22,1,82,1305,168,417,52,150,78,100,66,214,106,53,19,86,120,466,.403,.347,.780,15.9,5.7,2.6,1.3,0.6,0.2,2002-03
Melvin Ely,"Nov 28, '02, LAC vs. NJN",24,1,52,802,92,186,0,0,52,74,64,174,15,10,32,50,95,236,.495,,.703,15.4,4.5,3.3,0.3,0.2,0.6,2002-03
Reggie Evans,"Oct 30, '02, SEA vs. PHO",22,1,67,1365,66,140,0,0,80,154,167,445,34,38,11,52,173,212,.471,,.519,20.4,3.2,6.6,0.5,0.6,0.2,2002-03
Dan Gadzuric,"Oct 30, '02, MIL @ PHI",24,1,49,760,70,145,0,1,29,56,66,197,9,22,52,27,125,169,.483,.000,.518,15.5,3.4,4.0,0.2,0.4,1.1,2002-03
Manu GinÃ³bili*,"Oct 29, '02, SAS @ LAL",25,1,69,1431,174,397,51,148,126,171,47,161,138,96,17,100,170,525,.438,.345,.737,20.7,7.6,2.3,2.0,1.4,0.2,2002-03
Gordan GiriÄek,"Oct 30, '02, MEM vs. DAL",25,1,76,2148,350,803,85,249,150,183,36,238,137,52,8,145,159,935,.436,.341,.820,28.3,12.3,3.1,1.8,0.7,0.1,2002-03
Drew Gooden,"Oct 30, '02, MEM vs. DAL",21,1,70,1873,355,777,14,48,151,212,163,455,83,53,35,150,172,875,.457,.292,.712,26.8,12.5,6.5,1.2,0.8,0.5,2002-03
Marcus Haislip,"Nov 2, '02, MIL vs. ORL",22,1,39,441,66,153,3,12,26,38,21,53,9,7,18,21,55,161,.431,.250,.684,11.3,4.1,1.4,0.2,0.2,0.5,2002-03
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2002-03
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2002-03
Adam Harrington,"Nov 11, '02, DAL vs. POR",22,1,19,111,11,37,5,14,3,4,1,8,12,2,1,2,8,30,.297,.357,.750,5.8,1.6,0.4,0.6,0.1,0.1,2002-03
Junior Harrington,"Oct 30, '02, DEN @ MIN",22,1,82,2003,169,467,7,28,73,112,44,250,277,80,15,157,250,418,.362,.250,.652,24.4,5.1,3.0,3.4,1.0,0.2,2002-03
Juaquin Hawkins,"Oct 30, '02, HOU @ IND",29,1,58,685,57,148,10,24,10,20,16,78,47,29,6,29,57,134,.385,.417,.500,11.8,2.3,1.3,0.8,0.5,0.1,2002-03
NenÃª,"Oct 30, '02, DEN @ MIN",20,1,80,2258,321,619,0,3,197,341,208,491,149,127,65,181,295,839,.519,.000,.578,28.2,10.5,6.1,1.9,1.6,0.8,2002-03
Nate Huffman,"Dec 8, '02, TOR vs. POR",27,1,7,76,9,25,0,0,5,8,9,23,5,1,3,3,13,23,.360,,.625,10.9,3.3,3.3,0.7,0.1,0.4,2002-03
Ryan Humphrey,"Oct 29, '02, ORL vs. PHI",23,1,48,444,35,120,0,0,23,39,34,99,11,9,18,23,75,93,.292,,.590,9.3,1.9,2.1,0.2,0.2,0.4,2002-03
Casey Jacobsen,"Oct 30, '02, PHO @ SEA",21,1,72,1147,122,327,52,165,72,105,29,83,73,35,6,55,90,368,.373,.315,.686,15.9,5.1,1.2,1.0,0.5,0.1,2002-03
Marko JariÄ,"Oct 30, '02, LAC vs. CLE",24,1,66,1379,179,446,53,166,79,105,35,160,193,97,11,103,125,490,.401,.319,.752,20.9,7.4,2.4,2.9,1.5,0.2,2002-03
Chris Jefferies,"Nov 1, '02, TOR @ SAS",22,1,51,666,75,194,18,54,29,43,16,59,22,19,16,45,56,197,.387,.333,.674,13.1,3.9,1.2,0.4,0.4,0.3,2002-03
Jared Jeffries,"Oct 30, '02, WAS @ TOR",21,1,20,292,30,63,3,6,16,29,26,58,16,8,5,21,28,79,.476,.500,.552,14.6,4.0,2.9,0.8,0.4,0.3,2002-03
Ken Johnson,"Nov 16, '02, MIA @ WAS",24,1,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,.405,,.333,9.8,2.0,2.0,0.0,0.1,0.8,2002-03
Fred Jones,"Oct 30, '02, IND vs. HOU",23,1,19,115,9,24,2,7,3,4,4,9,5,6,1,6,13,23,.375,.286,.750,6.1,1.2,0.5,0.3,0.3,0.1,2002-03
