Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Rafer Alston,"Feb 17, '00, MIL vs. IND",23,1,27,361,27,95,3,14,3,4,5,23,70,12,0,29,29,60,.284,.214,.750,13.4,2.2,0.9,2.6,0.4,0.0,1999-00,NBA
Chucky Atkins,"Nov 2, '99, ORL @ CHH",25,1,82,1626,314,741,57,163,97,133,20,126,306,52,3,142,137,782,.424,.350,.729,19.8,9.5,1.5,3.7,0.6,0.0,1999-00,NBA
William Avery,"Nov 13, '99, MIN vs. PHO",20,1,59,484,56,181,18,63,24,36,8,40,88,14,2,42,60,154,.309,.286,.667,8.2,2.6,0.7,1.5,0.2,0.0,1999-00,NBA
Jonathan Bender,"Dec 10, '99, IND vs. CLE",19,1,24,130,23,70,2,12,16,24,4,21,3,1,5,7,18,64,.329,.167,.667,5.4,2.7,0.9,0.1,0.0,0.2,1999-00,NBA
Calvin Booth,"Mar 25, '00, WAS @ DAL",23,1,11,143,16,46,0,0,10,14,15,32,7,3,14,6,23,42,.348,,.714,13.0,3.8,2.9,0.6,0.3,1.3,1999-00,NBA
Lazaro Borrell,"Nov 11, '99, SEA @ CLE",27,1,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,.444,.000,.545,9.8,3.6,2.4,0.6,0.4,0.2,1999-00,NBA
Cal Bowdler,"Nov 2, '99, ATL @ WAS",22,1,46,423,49,115,0,1,24,38,22,85,14,14,9,21,46,122,.426,.000,.632,9.2,2.7,1.8,0.3,0.3,0.2,1999-00,NBA
Ryan Bowen,"Nov 2, '99, DEN vs. PHO",24,1,52,589,46,117,1,9,38,53,75,114,20,39,13,14,95,131,.393,.111,.717,11.3,2.5,2.2,0.4,0.8,0.3,1999-00,NBA
Ira Bowman,"Feb 25, '00, PHI @ MIL",26,1,11,20,2,2,0,0,1,2,0,2,1,1,0,1,0,5,1.000,,.500,1.8,0.5,0.2,0.1,0.1,0.0,1999-00,NBA
A.J. Bramlett,"Dec 7, '99, CLE @ TOR",23,1,8,61,4,21,0,0,0,0,12,22,0,1,0,3,13,8,.190,,,7.6,1.0,2.8,0.0,0.1,0.0,1999-00,NBA
Elton Brand,"Nov 3, '99, CHI vs. NYK",20,1,81,2999,630,1306,0,2,367,536,348,810,155,66,132,228,259,1627,.482,.000,.685,37.0,20.1,10.0,1.9,0.8,1.6,1999-00,NBA
Greg Buckner,"Jan 6, '00, DAL vs. UTA",23,1,48,923,111,233,10,26,43,63,56,174,55,38,20,36,148,275,.476,.385,.683,19.2,5.7,3.6,1.1,0.8,0.4,1999-00,NBA
Rodney Buford,"Nov 2, '99, MIA vs. DET",22,1,34,386,62,151,7,29,16,22,10,48,21,10,8,9,44,147,.411,.241,.727,11.4,4.3,1.4,0.6,0.3,0.2,1999-00,NBA
Anthony Carter,"Nov 2, '99, MIA vs. DET",24,1,79,1859,201,509,3,23,93,124,48,199,378,93,5,173,167,498,.395,.130,.750,23.5,6.3,2.5,4.8,1.2,0.1,1999-00,NBA
John Celestand,"Nov 15, '99, LAL @ PHO",22,1,16,185,15,45,2,9,5,6,1,11,20,7,0,16,22,37,.333,.222,.833,11.6,2.3,0.7,1.3,0.4,0.0,1999-00,NBA
Vonteego Cummings,"Nov 2, '99, GSW @ DAL",23,1,75,1793,265,655,49,151,127,169,57,184,247,91,13,132,174,706,.405,.325,.751,23.9,9.4,2.5,3.3,1.2,0.2,1999-00,NBA
Baron Davis,"Nov 2, '99, CHH vs. ORL",20,1,82,1523,182,433,25,111,97,153,48,165,309,97,19,140,201,486,.420,.225,.634,18.6,5.9,2.0,3.8,1.2,0.2,1999-00,NBA
Derrick Dial,"Mar 6, '00, SAS vs. NJN",24,1,8,95,17,46,3,12,3,5,14,26,5,1,1,6,10,40,.370,.250,.600,11.9,5.0,3.3,0.6,0.1,0.1,1999-00,NBA
Obinna Ekezie,"Nov 2, '99, VAN vs. POR",24,1,39,351,41,88,0,0,43,64,34,92,8,9,4,26,61,125,.466,,.672,9.0,3.2,2.4,0.2,0.2,0.1,1999-00,NBA
Evan Eschmeyer,"Jan 4, '00, NJN @ IND",24,1,31,373,38,72,0,0,15,30,40,108,21,8,21,21,84,91,.528,,.500,12.0,2.9,3.5,0.7,0.3,0.7,1999-00,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1999-00,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1999-00,NBA
Jeff Foster,"Nov 4, '99, IND @ CHH",23,1,19,86,13,23,0,1,17,25,12,32,5,5,1,2,18,43,.565,.000,.680,4.5,2.3,1.7,0.3,0.3,0.1,1999-00,NBA
Steve Francis,"Nov 2, '99, HOU vs. MIL",22,1,77,2776,497,1117,107,310,287,365,152,409,507,118,29,306,231,1388,.445,.345,.786,36.1,18.0,5.3,6.6,1.5,0.4,1999-00,NBA
Devean George,"Nov 2, '99, LAL @ UTA",22,1,49,345,56,144,16,47,27,41,29,75,12,10,4,21,54,155,.389,.340,.659,7.0,3.2,1.5,0.2,0.2,0.1,1999-00,NBA
Dion Glover,"Nov 6, '99, ATL vs. CHI",21,1,30,446,66,171,12,45,51,70,15,38,27,15,4,28,28,195,.386,.267,.729,14.9,6.5,1.3,0.9,0.5,0.1,1999-00,NBA
Adrian Griffin,"Nov 2, '99, BOS @ TOR",25,1,72,1927,175,413,16,57,119,158,128,372,177,116,15,93,222,485,.424,.281,.753,26.8,6.7,5.2,2.5,1.6,0.2,1999-00,NBA
Richard Hamilton,"Nov 2, '99, WAS vs. ATL",21,1,71,1373,254,605,28,77,103,133,38,129,108,28,6,84,142,639,.420,.364,.774,19.3,9.0,1.8,1.5,0.4,0.1,1999-00,NBA
