Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Don Anielak,"Nov 6, '54, NYK @ FTW",24,1,1,10,0,4,,,3,4,,2,0,,,,0,3,.000,,.750,10.0,3.0,2.0,0.0,,,1954-55
Tom Brennan,"Nov 20, '54, PHW vs. FTW",24,1,11,52,5,11,,,0,0,,5,2,,,,5,10,.455,,,4.7,0.9,0.5,0.2,,,1954-55
Bob Carney,"Feb 6, '55, MNL vs. MLH",22,1,19,244,24,64,,,21,40,,45,16,,,,36,69,.375,,.525,12.8,3.6,2.4,0.8,,,1954-55
Fred Christ,"Nov 2, '54, NYK @ MLH",24,1,6,48,5,18,,,10,11,,8,7,,,,3,20,.278,,.909,8.0,3.3,1.3,1.2,,,1954-55
Bert Cook,"Nov 11, '54, NYK vs. ROC",25,1,37,424,42,133,,,34,50,,72,33,,,,39,118,.316,,.680,11.5,3.2,1.9,0.9,,,1954-55
Larry Costello*,"Nov 13, '54, PHW vs. NYK",23,1,19,463,46,139,,,26,32,,49,78,,,,37,118,.331,,.813,24.4,6.2,2.6,4.1,,,1954-55
George Dempsey,"Dec 28, '54, PHW @ NYK",25,1,48,1387,127,360,,,98,141,,236,174,,,,141,352,.353,,.695,28.9,7.3,4.9,3.6,,,1954-55
Fred Diute,"Nov 30, '54, MLH vs. BOS",26,1,7,72,2,21,,,7,12,,13,4,,,,12,11,.095,,.583,10.3,1.6,1.9,0.6,,,1954-55
Dick Farley,"Oct 31, '54, SYR vs. MNL",22,1,69,1113,136,353,,,136,201,,167,111,,,,145,408,.385,,.677,16.1,5.9,2.4,1.6,,,1954-55
Chuck Grigsby,"Nov 2, '54, NYK @ MLH",26,1,7,45,7,19,,,2,8,,11,7,,,,9,16,.368,,.250,6.4,2.3,1.6,1.0,,,1954-55
Herm Hedderick,"Jan 15, '55, NYK vs. FTW",25,1,5,23,2,9,,,0,1,,4,2,,,,3,4,.222,,.000,4.6,0.8,0.8,0.4,,,1954-55
Ed Kalafat,"Oct 30, '54, MNL @ NYK",22,1,72,1102,118,375,,,111,168,,317,75,,,,205,347,.315,,.661,15.3,4.8,4.4,1.0,,,1954-55
Mike Kearns,"Feb 11, '55, PHW vs. BOS",25,1,6,25,0,5,,,1,4,,3,5,,,,1,1,.000,,.250,4.2,0.2,0.5,0.8,,,1954-55
Red Kerr,"Oct 31, '54, SYR vs. MNL",22,1,72,1529,301,718,,,152,223,,474,80,,,,165,754,.419,,.682,21.2,10.5,6.6,1.1,,,1954-55
Dan King,,24,1,12,103,7,22,,,5,10,,25,3,,,,5,19,.318,,.500,8.6,1.6,2.1,0.3,,,1954-55
Bob Knight,"Nov 27, '54, NYK vs. SYR",25,1,2,29,3,7,,,1,1,,1,8,,,,6,7,.429,,1.000,14.5,3.5,0.5,4.0,,,1954-55
Ronnie MacGilvray,"Nov 24, '54, MLH vs. ROC",24,1,6,57,2,12,,,4,7,,9,11,,,,5,8,.167,,.571,9.5,1.3,1.5,1.8,,,1954-55
