Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Peter Aluma,"Feb 5, '99, SAC @ SAS",25,1,2,5,1,2,0,0,0,0,1,2,0,1,1,2,4,2,.500,,,2.5,1.0,1.0,0.0,0.5,0.5,1998-99
Toby Bailey,"Feb 5, '99, PHO @ LAC",23,1,27,249,34,86,1,5,9,13,24,54,13,9,2,11,24,78,.395,.200,.692,9.2,2.9,2.0,0.5,0.3,0.1,1998-99
Mark Baker,"Feb 6, '99, TOR @ WAS",29,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,,,2.0,0.0,0.0,0.0,0.0,0.0,1998-99
Corey Benjamin,"Feb 7, '99, CHI @ LAC",20,1,31,320,44,117,3,14,27,40,15,40,10,11,8,21,46,118,.376,.214,.675,10.3,3.8,1.3,0.3,0.4,0.3,1998-99
Mike Bibby,"Feb 7, '99, VAN @ SAC",20,1,50,1758,260,605,15,74,127,169,30,136,325,78,5,146,122,662,.430,.203,.751,35.2,13.2,2.7,6.5,1.6,0.1,1998-99
Earl Boykins,"Feb 7, '99, NJN vs. ATL",22,1,22,221,30,79,3,18,2,3,7,17,33,6,0,20,20,65,.380,.167,.667,10.0,3.0,0.8,1.5,0.3,0.0,1998-99
Gerald Brown,"Feb 5, '99, PHO @ LAC",23,1,33,236,33,89,3,10,11,14,5,22,31,5,1,22,21,80,.371,.300,.786,7.2,2.4,0.7,0.9,0.2,0.0,1998-99
Cory Carr,"Feb 5, '99, CHI @ UTA",23,1,42,624,71,216,5,30,24,32,8,49,66,21,7,46,66,171,.329,.167,.750,14.9,4.1,1.2,1.6,0.5,0.2,1998-99
Vince Carter*,"Feb 5, '99, TOR @ BOS",22,1,50,1760,345,766,19,66,204,268,94,283,149,55,77,110,140,913,.450,.288,.761,35.2,18.3,5.7,3.0,1.1,1.5,1998-99
Keon Clark,"Feb 5, '99, DEN vs. MIN",23,1,28,409,36,80,0,1,21,37,36,96,10,10,31,21,52,93,.450,.000,.568,14.6,3.3,3.4,0.4,0.4,1.1,1998-99
KornÃ©l DÃ¡vid,"Feb 5, '99, CHI @ UTA",27,1,50,902,109,243,0,1,90,111,70,173,40,23,17,48,88,308,.449,.000,.811,18.0,6.2,3.5,0.8,0.5,0.3,1998-99
Ricky Davis,"Feb 5, '99, CHH vs. PHI",19,1,46,557,81,200,2,12,45,59,40,84,58,30,7,54,46,209,.405,.167,.763,12.1,4.5,1.8,1.3,0.7,0.2,1998-99
Michael Dickerson,"Feb 5, '99, HOU @ LAL",23,1,50,1558,215,462,71,164,46,72,26,83,95,27,11,66,90,547,.465,.433,.639,31.2,10.9,1.7,1.9,0.5,0.2,1998-99
Michael Doleac,"Feb 5, '99, ORL vs. NYK",21,1,49,780,125,267,0,0,54,80,66,148,20,19,17,26,117,304,.468,,.675,15.9,6.2,3.0,0.4,0.4,0.3,1998-99
Bryce Drew,"Feb 5, '99, HOU @ LAL",24,1,34,441,47,129,16,49,8,8,3,32,52,12,4,31,61,118,.364,.327,1.000,13.0,3.5,0.9,1.5,0.4,0.1,1998-99
Marlon Garnett,"Feb 5, '99, BOS vs. TOR",23,1,24,205,15,51,6,23,15,20,3,21,18,5,1,12,18,51,.294,.261,.750,8.5,2.1,0.9,0.8,0.2,0.0,1998-99
Pat Garrity,"Feb 5, '99, PHO @ LAC",22,1,39,538,85,170,7,18,40,56,26,75,18,8,3,20,62,217,.500,.389,.714,13.8,5.6,1.9,0.5,0.2,0.1,1998-99
Paul Grant,"Feb 5, '99, MIN @ DEN",25,1,6,13,2,6,0,0,0,0,1,1,0,1,0,2,4,4,.333,,,2.2,0.7,0.2,0.0,0.2,0.0,1998-99
Matt Harpring,"Feb 5, '99, ORL vs. NYK",22,1,50,1114,148,320,10,25,102,143,88,214,45,30,6,73,112,408,.463,.400,.713,22.3,8.2,4.3,0.9,0.6,0.1,1998-99
Al Harrington,"Feb 5, '99, IND vs. WAS",18,1,21,160,18,56,0,5,9,15,20,39,5,4,2,11,26,45,.321,.000,.600,7.6,2.1,1.9,0.2,0.2,0.1,1998-99
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1998-99
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1998-99
J.R. Henderson,"Feb 7, '99, VAN @ SAC",22,1,30,331,35,96,2,5,25,45,20,47,22,9,4,18,29,97,.365,.400,.556,11.0,3.2,1.6,0.7,0.3,0.1,1998-99
Larry Hughes,"Feb 5, '99, PHI @ CHH",20,1,50,988,170,414,8,52,107,151,83,189,77,44,14,68,97,455,.411,.154,.709,19.8,9.1,3.8,1.5,0.9,0.3,1998-99
Randell Jackson,"Feb 5, '99, WAS @ IND",23,1,27,271,46,108,1,7,21,32,30,54,8,3,11,26,29,114,.426,.143,.656,10.0,4.2,2.0,0.3,0.1,0.4,1998-99
Sam Jacobson,"Feb 11, '99, LAL @ MIN",23,1,2,12,3,5,0,1,2,2,0,3,0,0,0,1,2,8,.600,.000,1.000,6.0,4.0,1.5,0.0,0.0,0.0,1998-99
Jerome James,"Feb 5, '99, SAC @ SAS",23,1,16,42,9,24,0,0,6,12,6,17,1,2,6,9,11,24,.375,,.500,2.6,1.5,1.1,0.1,0.1,0.4,1998-99
Antawn Jamison,"Feb 6, '99, GSW vs. HOU",22,1,47,1058,178,394,3,10,90,153,131,301,34,38,16,68,102,449,.452,.300,.588,22.5,9.6,6.4,0.7,0.8,0.3,1998-99
Charles Jones,"Feb 16, '99, CHI vs. ATL",23,1,29,476,39,123,19,61,11,22,9,42,41,18,5,29,30,108,.317,.311,.500,16.4,3.7,1.4,1.4,0.6,0.2,1998-99
Damon Jones,"Feb 15, '99, NJN @ MIA",22,1,24,344,43,119,25,62,14,17,6,44,42,13,0,17,23,125,.361,.403,.824,14.3,5.2,1.8,1.8,0.5,0.0,1998-99
Jonathan Kerner,"Mar 11, '99, ORL @ DAL",24,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,.000,,,5.0,0.0,0.0,0.0,0.0,0.0,1998-99
Gerard King,"Feb 5, '99, SAS vs. SAC",26,1,19,63,6,14,0,0,11,18,6,14,4,2,1,4,12,23,.429,,.611,3.3,1.2,0.7,0.2,0.1,0.1,1998-99
Raef LaFrentz,"Feb 5, '99, DEN vs. MIN",22,1,12,387,59,129,12,31,36,48,33,91,8,9,17,9,38,166,.457,.387,.750,32.3,13.8,7.6,0.7,0.8,1.4,1998-99
Rashard Lewis,"Feb 9, '99, SEA vs. GSW",19,1,20,145,19,52,1,6,8,14,13,25,4,8,1,20,19,47,.365,.167,.571,7.3,2.4,1.3,0.2,0.4,0.1,1998-99
Felipe LÃ³pez,"Feb 7, '99, VAN @ SAC",24,1,47,1218,169,379,12,44,87,135,69,166,62,49,14,82,128,437,.446,.273,.644,25.9,9.3,3.5,1.3,1.0,0.3,1998-99
Tyronn Lue,"Feb 11, '99, LAL @ MIN",21,1,15,188,28,65,7,16,12,21,2,6,25,5,0,11,28,75,.431,.438,.571,12.5,5.0,0.4,1.7,0.3,0.0,1998-99
Sean Marks,"Mar 16, '99, TOR vs. NJN",23,1,8,28,5,8,0,0,1,2,0,1,0,1,0,3,3,11,.625,,.500,3.5,1.4,0.1,0.0,0.1,0.0,1998-99
Kelly McCarty,"Apr 14, '99, DEN vs. NJN",23,1,2,4,2,3,0,0,0,0,2,3,0,0,0,2,0,4,.667,,,2.0,2.0,1.5,0.0,0.0,0.0,1998-99
Jelani McCoy,"Feb 9, '99, SEA vs. GSW",21,1,26,331,56,76,0,0,21,42,27,79,4,11,20,10,42,133,.737,,.500,12.7,5.1,3.0,0.2,0.4,0.8,1998-99
Roshown McLeod,"Feb 11, '99, ATL vs. CHH",23,1,34,348,62,163,1,10,37,45,12,50,14,2,1,23,24,162,.380,.100,.822,10.2,4.8,1.5,0.4,0.1,0.0,1998-99
Brad Miller,"Feb 5, '99, CHH vs. PHI",22,1,38,469,78,138,1,2,81,102,35,117,22,9,18,32,65,238,.565,.500,.794,12.3,6.3,3.1,0.6,0.2,0.5,1998-99
