Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Mark Acres,"Nov 6, '87, BOS vs. MIL",25,1,79,1151,108,203,0,0,71,111,105,270,42,29,27,54,198,287,.532,,.640,14.6,3.6,3.4,0.5,0.4,0.3,1987-88
Steve Alford,"Nov 6, '87, DAL vs. UTA",23,1,28,197,21,55,1,8,16,17,3,23,23,17,3,12,23,59,.382,.125,.941,7.0,2.1,0.8,0.8,0.6,0.1,1987-88
Greg Anderson,"Nov 6, '87, SAS @ HOU",23,1,82,1984,379,756,1,5,198,328,161,513,79,54,122,143,228,957,.501,.200,.604,24.2,11.7,6.3,1.0,0.7,1.5,1987-88
Joe Arlauckas,"Nov 6, '87, SAC vs. GSW",22,1,9,85,14,43,0,0,6,8,6,13,8,3,4,4,16,34,.326,,.750,9.4,3.8,1.4,0.9,0.3,0.4,1987-88
Vincent Askew,"Nov 6, '87, PHI vs. IND",21,1,14,234,22,74,0,0,8,11,6,22,33,10,6,12,12,52,.297,,.727,16.7,3.7,1.6,2.4,0.7,0.4,1987-88
Nate Blackwell,"Nov 6, '87, SAS @ HOU",22,1,10,112,15,41,2,11,5,6,2,6,18,3,0,8,16,37,.366,.182,.833,11.2,3.7,0.6,1.8,0.3,0.0,1987-88
Muggsy Bogues,"Nov 6, '87, WSB @ ATL",23,1,79,1628,166,426,3,16,58,74,35,136,404,127,3,101,138,393,.390,.188,.784,20.6,5.0,1.7,5.1,1.6,0.0,1987-88
Norris Coleman,"Nov 6, '87, LAC @ DEN",26,1,29,431,66,191,1,2,20,36,36,81,13,11,6,16,51,153,.346,.500,.556,14.9,5.3,2.8,0.4,0.4,0.2,1987-88
Dallas Comegys,"Nov 6, '87, NJN vs. CLE",23,1,75,1122,156,363,0,1,106,150,54,218,65,36,70,116,175,418,.430,.000,.707,15.0,5.6,2.9,0.9,0.5,0.9,1987-88
Winston Crite,"Nov 14, '87, PHO vs. SAS",22,1,29,258,34,68,0,0,19,25,27,64,15,5,8,25,42,87,.500,,.760,8.9,3.0,2.2,0.5,0.2,0.3,1987-88
Billy Donovan,"Dec 12, '87, NYK @ DET",22,1,44,364,44,109,0,7,17,21,5,25,87,16,1,42,33,105,.404,.000,.810,8.3,2.4,0.6,2.0,0.4,0.0,1987-88
Chris Dudley,"Nov 6, '87, CLE @ NJN",22,1,55,513,65,137,0,0,40,71,74,144,23,13,19,31,87,170,.474,,.563,9.3,3.1,2.6,0.4,0.2,0.3,1987-88
Jim Farmer,"Nov 7, '87, DAL @ SAS",23,1,30,157,26,69,0,6,9,10,9,18,16,3,1,22,18,61,.377,.000,.900,5.2,2.0,0.6,0.5,0.1,0.0,1987-88
Tellis Frank,"Nov 6, '87, GSW @ SAC",22,1,78,1597,242,565,0,1,150,207,95,330,111,53,23,109,267,634,.428,.000,.725,20.5,8.1,4.2,1.4,0.7,0.3,1987-88
Kevin Gamble,"Nov 6, '87, POR vs. PHO",22,1,9,19,0,3,0,1,0,0,2,3,1,2,0,2,2,0,.000,.000,,2.1,0.0,0.3,0.1,0.2,0.0,1987-88
Winston Garland,"Dec 1, '87, GSW vs. CHI",23,1,67,2122,340,775,13,39,138,157,68,227,429,116,7,167,188,831,.439,.333,.879,31.7,12.4,3.4,6.4,1.7,0.1,1987-88
Armen Gilliam,"Nov 6, '87, PHO @ POR",23,1,55,1807,342,720,0,0,131,193,134,434,72,58,29,123,143,815,.475,,.679,32.9,14.8,7.9,1.3,1.1,0.5,1987-88
Horace Grant,"Nov 7, '87, CHI vs. PHI",22,1,81,1827,254,507,0,2,114,182,155,447,89,51,53,86,221,622,.501,.000,.626,22.6,7.7,5.5,1.1,0.6,0.7,1987-88
