Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Tariq Abdul-Wahad,"Nov 11, '97, SAC @ MIA",23,1,59,959,144,357,4,19,84,125,44,116,51,35,13,65,81,376,.403,.211,.672,16.3,6.4,2.0,0.9,0.6,0.2,1997-98,NBA
Derek Anderson,"Oct 31, '97, CLE @ HOU",23,1,66,1839,239,586,17,84,275,315,55,187,227,86,13,128,136,770,.408,.202,.873,27.9,11.7,2.8,3.4,1.3,0.2,1997-98,NBA
Chris Anstey,"Nov 8, '97, DAL vs. POR",23,1,41,680,92,231,3,16,53,74,53,157,35,31,27,41,95,240,.398,.188,.716,16.6,5.9,3.8,0.9,0.8,0.7,1997-98,NBA
Drew Barry,"Jan 21, '98, ATL @ SAS",24,1,27,256,18,38,9,21,11,13,5,35,49,10,1,30,28,56,.474,.429,.846,9.5,2.1,1.3,1.8,0.4,0.0,1997-98,NBA
Tony Battie,"Oct 31, '97, DEN vs. SAS",21,1,65,1506,234,525,3,14,73,104,138,351,60,54,69,98,199,544,.446,.214,.702,23.2,8.4,5.4,0.9,0.8,1.1,1997-98,NBA
Chauncey Billups*,"Oct 31, '97, BOS vs. CHI",21,1,80,2216,280,749,107,325,226,266,62,190,314,107,4,174,172,893,.374,.329,.850,27.7,11.2,2.4,3.9,1.3,0.1,1997-98,NBA
Etdrick Bohannon,"Dec 26, '97, IND vs. ORL",24,1,5,11,0,4,0,0,0,0,2,6,1,0,2,3,3,0,.000,,,2.2,0.0,1.2,0.2,0.0,0.4,1997-98,NBA
Keith Booth,"Nov 8, '97, CHI vs. NJN",23,1,6,17,2,6,0,1,6,6,2,4,1,0,0,3,3,10,.333,.000,1.000,2.8,1.7,0.7,0.2,0.0,0.0,1997-98,NBA
Rick Brunson,"Dec 2, '97, POR vs. ORL",25,1,38,622,49,141,22,61,42,62,14,56,100,25,3,52,55,162,.348,.361,.677,16.4,4.3,1.5,2.6,0.7,0.1,1997-98,NBA
Kelvin Cato,"Oct 31, '97, POR vs. SEA",23,1,74,1007,98,229,0,3,86,125,91,252,23,29,94,44,164,282,.428,.000,.688,13.6,3.8,3.4,0.3,0.4,1.3,1997-98,NBA
Keith Closs,"Nov 1, '97, LAC vs. POR",21,1,58,740,93,207,0,0,46,77,63,168,19,12,81,38,73,232,.449,,.597,12.8,4.0,2.9,0.3,0.2,1.4,1997-98,NBA
James Collins,"Dec 10, '97, LAC @ SAS",24,1,23,103,21,55,9,20,8,14,7,14,3,6,3,8,12,59,.382,.450,.571,4.5,2.6,0.6,0.1,0.3,0.1,1997-98,NBA
James Cotton,"Dec 2, '97, SEA @ WAS",22,1,9,33,8,21,0,4,8,9,2,6,0,1,1,6,3,24,.381,.000,.889,3.7,2.7,0.7,0.0,0.1,0.1,1997-98,NBA
Chris Crawford,"Nov 14, '97, ATL vs. SAC",22,1,40,256,46,110,1,3,57,68,20,41,9,12,7,18,27,150,.418,.333,.838,6.4,3.8,1.0,0.2,0.3,0.2,1997-98,NBA
Austin Croshere,"Nov 20, '97, IND @ MIL",22,1,26,243,32,86,4,13,8,14,10,45,8,9,5,13,32,76,.372,.308,.571,9.3,2.9,1.7,0.3,0.3,0.2,1997-98,NBA
William Cunningham,"Feb 14, '98, UTA @ SEA",23,1,7,39,4,9,0,0,0,0,4,10,1,2,0,0,10,8,.444,,,5.6,1.1,1.4,0.1,0.3,0.0,1997-98,NBA
Antonio Daniels,"Oct 31, '97, VAN vs. DAL",22,1,74,1956,228,548,11,52,112,170,22,143,334,55,10,164,88,579,.416,.212,.659,26.4,7.8,1.9,4.5,0.7,0.1,1997-98,NBA
Tim Duncan*,"Oct 31, '97, SAS @ DEN",21,1,82,3204,706,1287,0,10,319,482,274,977,224,55,206,279,254,1731,.549,.000,.662,39.1,21.1,11.9,2.7,0.7,2.5,1997-98,NBA
Tony Farmer,"Oct 31, '97, CHH vs. NYK",28,1,27,169,17,53,2,9,31,39,16,32,5,10,4,9,23,67,.321,.222,.795,6.3,2.5,1.2,0.2,0.4,0.1,1997-98,NBA
Danny Fortson,"Oct 31, '97, DEN vs. SAS",21,1,80,1811,276,611,1,3,263,339,182,448,76,44,30,157,314,816,.452,.333,.776,22.6,10.2,5.6,1.0,0.6,0.4,1997-98,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1997-98,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1997-98,NBA
Adonal Foyle,"Oct 31, '97, GSW @ MIN",22,1,55,656,69,170,0,1,27,62,73,184,14,13,52,50,94,165,.406,.000,.435,11.9,3.0,3.3,0.3,0.2,0.9,1997-98,NBA
Lawrence Funderburke,"Nov 2, '97, SAC vs. HOU",27,1,52,1094,191,390,1,7,110,162,80,234,63,19,15,62,56,493,.490,.143,.679,21.0,9.5,4.5,1.2,0.4,0.3,1997-98,NBA
Chris Garner,"Oct 31, '97, TOR @ MIA",22,1,38,293,23,70,4,14,3,7,7,24,45,21,4,25,50,53,.329,.286,.429,7.7,1.4,0.6,1.2,0.6,0.1,1997-98,NBA
Kiwane Lemorris Garris,"Dec 3, '97, DEN vs. LAL",23,1,28,225,22,65,5,14,19,25,3,19,28,7,1,15,22,68,.338,.357,.760,8.0,2.4,0.7,1.0,0.3,0.0,1997-98,NBA
Ed Gray,"Oct 31, '97, ATL @ ORL",22,1,30,472,77,202,18,46,55,65,9,45,34,15,11,30,73,227,.381,.391,.846,15.7,7.6,1.5,1.1,0.5,0.4,1997-98,NBA
Derek Grimm,"Nov 1, '97, SAC @ VAN",23,1,9,34,4,14,4,12,2,2,0,4,0,3,1,3,6,14,.286,.333,1.000,3.8,1.6,0.4,0.0,0.3,0.1,1997-98,NBA
Reggie Hanson,"Mar 27, '98, BOS @ NJN",29,1,8,26,3,6,0,0,0,0,3,6,1,2,1,3,8,6,.500,,,3.3,0.8,0.8,0.1,0.3,0.1,1997-98,NBA
Cedric Henderson,"Oct 31, '97, CLE @ HOU",22,1,82,2527,348,725,0,4,136,190,71,325,168,96,45,165,238,832,.480,.000,.716,30.8,10.1,4.0,2.0,1.2,0.5,1997-98,NBA
Jerald Honeycutt,"Oct 31, '97, MIL @ PHI",23,1,38,530,90,221,29,77,36,58,27,93,33,20,6,49,83,245,.407,.377,.621,13.9,6.4,2.4,0.9,0.5,0.2,1997-98,NBA
Troy Hudson,"Oct 31, '97, UTA @ LAL",21,1,8,23,6,14,0,3,0,0,1,2,4,2,0,1,1,12,.429,.000,,2.9,1.5,0.3,0.5,0.3,0.0,1997-98,NBA
Zydrunas Ilgauskas,"Oct 31, '97, CLE @ HOU",22,1,82,2379,454,876,1,4,230,302,279,723,71,52,135,146,288,1139,.518,.250,.762,29.0,13.9,8.8,0.9,0.6,1.6,1997-98,NBA
Bobby Jackson,"Oct 31, '97, DEN vs. SAS",24,1,68,2042,310,791,21,81,149,183,78,302,317,105,11,184,160,790,.392,.259,.814,30.0,11.6,4.4,4.7,1.5,0.2,1997-98,NBA
Anthony Johnson,"Nov 1, '97, SAC @ VAN",23,1,77,2266,226,609,42,128,80,110,51,171,329,64,6,120,188,574,.371,.328,.727,29.4,7.5,2.2,4.3,0.8,0.1,1997-98,NBA
Dontae' Jones,"Nov 2, '97, BOS vs. ORL",22,1,15,91,19,57,6,23,0,0,3,9,5,2,3,11,12,44,.333,.261,,6.1,2.9,0.6,0.3,0.1,0.2,1997-98,NBA
Brevin Knight,"Oct 31, '97, CLE @ HOU",22,1,80,2483,261,592,0,7,201,251,67,253,656,196,18,194,271,723,.441,.000,.801,31.0,9.0,3.2,8.2,2.5,0.2,1997-98,NBA
Rusty LaRue,"Nov 20, '97, CHI @ PHO",24,1,14,140,20,49,4,16,5,8,1,8,5,3,1,6,12,49,.408,.250,.625,10.0,3.5,0.6,0.4,0.2,0.1,1997-98,NBA
Jason Lawson,"Dec 11, '97, ORL @ DAL",23,1,17,80,9,15,0,0,8,10,8,27,5,4,4,2,14,26,.600,,.800,4.7,1.5,1.6,0.3,0.2,0.2,1997-98,NBA
Michael McDonald,"Jan 27, '98, CHH vs. PHO",28,1,1,4,0,0,0,0,0,0,1,1,0,0,0,2,1,0,,,,4.0,0.0,1.0,0.0,0.0,0.0,1997-98,NBA
Tracy McGrady*,"Oct 31, '97, TOR @ MIA",18,1,64,1179,179,398,14,41,79,111,105,269,98,49,61,66,86,451,.450,.341,.712,18.4,7.0,4.2,1.5,0.8,1.0,1997-98,NBA
Ron Mercer,"Oct 31, '97, BOS vs. CHI",21,1,80,2662,515,1145,3,28,188,224,109,280,176,125,17,132,213,1221,.450,.107,.839,33.3,15.3,3.5,2.2,1.6,0.2,1997-98,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1997-98,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1997-98,NBA
Marko Milič,"Nov 26, '97, PHO vs. NJN",20,1,33,163,39,64,3,6,11,17,10,25,12,10,0,21,17,92,.609,.500,.647,4.9,2.8,0.8,0.4,0.3,0.0,1997-98,NBA
Jeff Nordgaard,"Oct 31, '97, MIL @ PHI",24,1,13,48,5,18,0,0,8,9,4,14,3,2,0,3,7,18,.278,,.889,3.7,1.4,1.1,0.2,0.2,0.0,1997-98,NBA
Charles O'Bannon,"Nov 15, '97, DET vs. NJN",22,1,30,234,26,69,0,3,12,15,14,33,17,9,1,9,15,64,.377,.000,.800,7.8,2.1,1.1,0.6,0.3,0.0,1997-98,NBA
Kevin Ollie,"Oct 31, '97, DAL @ VAN",25,1,35,430,37,98,0,1,49,70,9,39,65,13,0,44,31,123,.378,.000,.700,12.3,3.5,1.1,1.9,0.4,0.0,1997-98,NBA
