Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Hassan Adams,"Nov 1, '06, NJN vs. TOR",22,1,61,495,75,135,0,1,24,36,35,77,13,17,4,22,47,174,.556,.000,.667,8.1,2.9,1.3,0.2,0.3,0.1,2006-07,NBA
Maurice Ager,"Nov 4, '06, DAL @ HOU",22,1,32,214,22,70,5,15,20,33,1,21,7,4,3,15,27,69,.314,.333,.606,6.7,2.2,0.7,0.2,0.1,0.1,2006-07,NBA
LaMarcus Aldridge,"Nov 12, '06, POR vs. DAL",21,1,63,1392,241,479,0,2,83,115,144,312,24,22,73,43,186,565,.503,.000,.722,22.1,9.0,5.0,0.4,0.3,1.2,2006-07,NBA
Lou Amundson,"Feb 24, '07, UTA vs. BOS",24,1,11,89,6,15,0,0,4,10,13,28,1,1,8,5,15,16,.400,,.400,8.1,1.5,2.5,0.1,0.1,0.7,2006-07,NBA
Hilton Armstrong,"Nov 1, '06, NOK @ BOS",22,1,56,634,68,125,0,0,40,67,58,149,10,12,26,35,79,176,.544,,.597,11.3,3.1,2.7,0.2,0.2,0.5,2006-07,NBA
James Augustine,"Feb 2, '07, ORL vs. NJN",22,1,2,7,1,3,0,0,0,0,1,3,2,0,0,0,2,2,.333,,,3.5,1.0,1.5,1.0,0.0,0.0,2006-07,NBA
Kelenna Azubuike,"Jan 2, '07, GSW @ NOK",23,1,41,669,98,220,34,79,61,78,26,94,28,22,10,39,49,291,.445,.430,.782,16.3,7.1,2.3,0.7,0.5,0.2,2006-07,NBA
Renaldo Balkman,"Nov 1, '06, NYK @ MEM",22,1,68,1064,139,275,5,27,51,90,97,294,44,57,44,49,146,334,.505,.185,.567,15.6,4.9,4.3,0.6,0.8,0.6,2006-07,NBA
J.J. Barea,"Nov 4, '06, DAL @ HOU",22,1,33,191,28,78,6,21,16,24,7,25,24,1,1,14,19,78,.359,.286,.667,5.8,2.4,0.8,0.7,0.0,0.0,2006-07,NBA
Andrea Bargnani,"Nov 1, '06, TOR @ NJN",21,1,65,1629,267,625,100,268,117,142,52,255,50,32,53,107,180,751,.427,.373,.824,25.1,11.6,3.9,0.8,0.5,0.8,2006-07,NBA
Will Blalock,"Dec 16, '06, DET @ NJN",23,1,14,166,9,30,1,5,6,6,6,15,17,5,0,12,9,25,.300,.200,1.000,11.9,1.8,1.1,1.2,0.4,0.0,2006-07,NBA
Josh Boone,"Dec 2, '06, NJN vs. PHI",22,1,61,669,99,171,0,0,56,103,64,176,10,11,21,33,94,254,.579,,.544,11.0,4.2,2.9,0.2,0.2,0.3,2006-07,NBA
Cedric Bozeman,"Nov 1, '06, ATL @ PHI",23,1,23,199,11,39,2,13,2,6,3,23,9,5,2,9,32,26,.282,.154,.333,8.7,1.1,1.0,0.4,0.2,0.1,2006-07,NBA
Ronnie Brewer,"Nov 1, '06, UTA vs. HOU",21,1,56,675,102,193,0,9,56,83,37,75,24,37,6,24,44,260,.528,.000,.675,12.1,4.6,1.3,0.4,0.7,0.1,2006-07,NBA
Andre Brown,"Jan 5, '07, SEA vs. NYK",25,1,38,271,42,74,0,1,9,15,26,74,2,6,4,29,26,93,.568,.000,.600,7.1,2.4,1.9,0.1,0.2,0.1,2006-07,NBA
Dee Brown,"Nov 4, '06, UTA vs. GSW",22,1,49,450,32,98,6,28,24,37,8,40,83,22,7,31,51,94,.327,.214,.649,9.2,1.9,0.8,1.7,0.4,0.1,2006-07,NBA
Shannon Brown,"Nov 7, '06, CLE vs. ATL",21,1,23,202,28,74,7,25,10,14,6,21,10,7,3,14,24,73,.378,.280,.714,8.8,3.2,0.9,0.4,0.3,0.1,2006-07,NBA
Rodney Carney,"Nov 1, '06, PHI vs. ATL",22,1,67,1169,182,392,25,72,53,87,39,128,26,38,23,43,118,442,.464,.347,.609,17.4,6.6,1.9,0.4,0.6,0.3,2006-07,NBA
Mardy Collins,"Nov 1, '06, NYK @ MEM",22,1,52,777,87,228,13,47,48,82,28,104,83,32,3,57,75,235,.382,.277,.585,14.9,4.5,2.0,1.6,0.6,0.1,2006-07,NBA
Will Conroy,"Jan 31, '07, MEM vs. DAL",24,1,7,52,0,3,0,0,0,4,3,7,9,0,0,2,7,0,.000,,.000,7.4,0.0,1.0,1.3,0.0,0.0,2006-07,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2006-07,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2006-07,NBA
Paul Davis,"Nov 2, '06, LAC vs. DEN",22,1,31,180,22,52,0,0,7,10,21,44,7,6,5,8,28,51,.423,,.700,5.8,1.6,1.4,0.2,0.2,0.2,2006-07,NBA
Yakhouba Diawara,"Nov 2, '06, DEN @ LAC",24,1,64,1177,100,292,49,170,35,53,27,110,55,30,7,37,132,284,.342,.288,.660,18.4,4.4,1.7,0.9,0.5,0.1,2006-07,NBA
Quincy Douby,"Nov 12, '06, SAC vs. TOR",22,1,42,359,48,126,12,50,11,15,11,37,15,15,4,15,21,119,.381,.240,.733,8.5,2.8,0.9,0.4,0.4,0.1,2006-07,NBA
