Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Arron Afflalo,"Nov 1, '07, DET @ MIA",22,1,75,970,99,241,10,48,68,87,36,137,52,31,8,34,83,276,.411,.208,.782,12.9,3.7,1.8,0.7,0.4,0.1,2007-08,NBA
Blake Ahearn,"Mar 21, '08, MIA vs. WAS",23,1,12,177,15,57,10,34,30,31,1,19,19,6,0,16,20,70,.263,.294,.968,14.8,5.8,1.6,1.6,0.5,0.0,2007-08,NBA
Lance Allred,"Mar 17, '08, CLE @ ORL",26,1,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,.250,,.500,3.3,1.0,0.3,0.0,0.0,0.0,2007-08,NBA
Morris Almond,"Nov 7, '07, UTA vs. CLE",22,1,9,39,4,15,1,4,4,6,0,2,3,1,0,2,5,13,.267,.250,.667,4.3,1.4,0.2,0.3,0.1,0.0,2007-08,NBA
Joel Anthony,"Nov 27, '07, MIA vs. CHA",25,1,24,498,28,60,0,0,29,49,38,93,3,9,31,17,55,85,.467,,.592,20.8,3.5,3.9,0.1,0.4,1.3,2007-08,NBA
Marco Belinelli,"Oct 30, '07, GSW vs. UTA",21,1,33,241,36,93,16,41,7,9,3,14,15,5,0,12,15,95,.387,.390,.778,7.3,2.9,0.4,0.5,0.2,0.0,2007-08,NBA
Corey Brewer,"Nov 2, '07, MIN vs. DEN",21,1,79,1803,182,486,7,36,88,110,82,292,111,76,25,89,188,459,.374,.194,.800,22.8,5.8,3.7,1.4,1.0,0.3,2007-08,NBA
Aaron Brooks,"Nov 17, '07, HOU vs. PHO",23,1,51,608,93,225,36,109,42,49,13,56,87,13,5,44,69,264,.413,.330,.857,11.9,5.2,1.1,1.7,0.3,0.1,2007-08,NBA
Wilson Chandler,"Nov 13, '07, NYK @ PHO",20,1,35,685,106,242,9,30,34,54,38,127,33,15,16,27,83,255,.438,.300,.630,19.6,7.3,3.6,0.9,0.4,0.5,2007-08,NBA
Mike Conley,"Nov 7, '07, MEM @ SEA",20,1,53,1381,189,442,30,91,90,123,21,139,222,44,2,89,85,498,.428,.330,.732,26.1,9.4,2.6,4.2,0.8,0.0,2007-08,NBA
