Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Darrell Allums,"Oct 11, '80, DAL vs. SAS",22,1,22,276,23,67,0,1,13,22,19,65,25,5,8,23,51,59,.343,.000,.591,12.5,2.7,3.0,1.1,0.2,0.4,1980-81
Norman Black,"Dec 21, '80, DET @ SDC",23,1,3,28,3,10,0,0,2,8,0,2,2,1,0,1,2,8,.300,,.250,9.3,2.7,0.7,0.7,0.3,0.0,1980-81
Dave Britton,"Dec 23, '80, WSB @ ATL",22,1,2,9,2,3,0,0,0,0,0,2,3,1,0,2,2,4,.667,,,4.5,2.0,1.0,1.5,0.5,0.0,1980-81
Michael Brooks,"Oct 10, '80, SDC vs. HOU",22,1,82,2479,488,1018,0,6,226,320,210,442,208,99,31,163,234,1202,.479,.000,.706,30.2,14.7,5.4,2.5,1.2,0.4,1980-81
Lewis Brown,"Jan 15, '81, WSB @ DET",25,1,2,5,0,3,0,0,2,5,1,2,0,0,0,1,2,2,.000,,.400,2.5,1.0,1.0,0.0,0.0,0.0,1980-81
Rickey Brown,"Oct 10, '80, GSW @ PHO",22,1,45,580,83,162,0,0,16,21,52,166,21,9,14,31,103,182,.512,,.762,12.9,4.0,3.7,0.5,0.2,0.3,1980-81
Joe Barry Carroll,"Oct 10, '80, GSW @ PHO",22,1,82,2919,616,1254,0,2,315,440,274,759,117,50,121,243,313,1547,.491,.000,.716,35.6,18.9,9.3,1.4,0.6,1.5,1980-81
Butch Carter,"Oct 12, '80, LAL vs. HOU",22,1,54,672,114,247,3,10,70,95,34,65,52,23,1,50,99,301,.462,.300,.737,12.4,5.6,1.2,1.0,0.4,0.0,1980-81
Reggie Carter,"Oct 11, '80, NYK vs. MIL",23,1,60,536,59,179,0,3,51,69,30,69,76,22,2,38,68,169,.330,.000,.739,8.9,2.8,1.2,1.3,0.4,0.0,1980-81
Art Collins,"Feb 3, '81, ATL vs. PHI",26,1,29,395,35,99,0,2,24,36,19,41,25,11,1,32,35,94,.354,.000,.667,13.6,3.2,1.4,0.9,0.4,0.0,1980-81
Don Collins,"Oct 11, '80, ATL vs. CHI",22,1,81,1845,360,811,0,6,211,272,129,268,190,104,25,174,259,931,.444,.000,.776,22.8,11.5,3.3,2.3,1.3,0.3,1980-81
Darwin Cook,"Oct 10, '80, NJN vs. IND",22,1,81,1980,383,819,6,25,132,180,96,236,297,141,36,176,197,904,.468,.240,.733,24.4,11.2,2.9,3.7,1.7,0.4,1980-81
Earl Cureton,"Oct 10, '80, PHI vs. MIL",23,1,52,528,93,205,0,1,33,64,51,155,25,20,23,29,68,219,.454,.000,.516,10.2,4.2,3.0,0.5,0.4,0.4,1980-81
Monti Davis,"Oct 18, '80, PHI vs. WSB",22,1,2,10,1,5,0,0,1,5,2,4,0,0,1,0,0,3,.200,,.200,5.0,1.5,2.0,0.0,0.0,0.5,1980-81
James Donaldson,"Oct 10, '80, SEA vs. LAL",23,1,68,980,129,238,0,0,101,170,107,309,42,8,74,68,79,359,.542,,.594,14.4,5.3,4.5,0.6,0.1,1.1,1980-81
Larry Drew,"Oct 10, '80, DET vs. WSB",22,1,76,1581,197,484,4,17,106,133,24,120,249,88,7,166,125,504,.407,.235,.797,20.8,6.6,1.6,3.3,1.2,0.1,1980-81
Ralph Drollinger,"Oct 11, '80, DAL vs. SAS",26,1,6,67,7,14,0,0,1,4,5,19,14,1,2,13,16,15,.500,,.250,11.2,2.5,3.2,2.3,0.2,0.3,1980-81
John Duren,"Oct 11, '80, UTA @ KCK",22,1,40,458,33,101,0,1,5,9,8,35,54,18,2,37,54,71,.327,.000,.556,11.5,1.8,0.9,1.4,0.5,0.1,1980-81
Tony Fuller,"Oct 10, '80, DET vs. WSB",22,1,15,248,24,66,0,1,12,16,13,42,28,10,1,23,25,60,.364,.000,.750,16.5,4.0,2.8,1.9,0.7,0.1,1980-81
Calvin Garrett,"Oct 10, '80, HOU @ SDC",24,1,70,1638,188,415,1,3,50,62,85,264,132,50,10,90,167,427,.453,.333,.806,23.4,6.1,3.8,1.9,0.7,0.1,1980-81
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1980-81
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1980-81
Mike Gminski,"Oct 10, '80, NJN vs. IND",21,1,56,1579,291,688,0,1,155,202,137,419,72,54,100,128,127,737,.423,.000,.767,28.2,13.2,7.5,1.3,1.0,1.8,1980-81
Darrell Griffith,"Oct 10, '80, UTA vs. POR",22,1,81,2867,716,1544,10,52,229,320,79,288,194,106,40,231,219,1671,.464,.192,.716,35.4,20.6,3.6,2.4,1.3,0.5,1980-81
Bill Hanzlik,"Oct 12, '80, SEA @ POR",23,1,74,1259,138,289,1,5,119,150,67,153,111,58,20,84,168,396,.478,.200,.793,17.0,5.4,2.1,1.5,0.8,0.3,1980-81
Alan Hardy,"Oct 10, '80, LAL @ SEA",23,1,22,111,22,59,0,0,7,10,8,19,3,1,9,11,13,51,.373,,.700,5.0,2.3,0.9,0.1,0.0,0.4,1980-81
Mike Harper,"Oct 10, '80, POR @ UTA",23,1,55,461,56,136,0,3,37,85,28,93,17,23,20,32,73,149,.412,.000,.435,8.4,2.7,1.7,0.3,0.4,0.4,1980-81
Cedrick Hordges,"Oct 10, '80, DEN vs. SAS",24,1,68,1599,221,480,0,3,130,186,120,458,104,33,19,120,226,572,.460,.000,.699,23.5,8.4,6.7,1.5,0.5,0.3,1980-81
Tony Jackson,"Nov 7, '80, LAL @ DAL",23,1,2,14,1,3,0,0,0,0,0,2,2,2,0,0,1,2,.333,,,7.0,1.0,1.0,1.0,1.0,0.0,1980-81
Lee Johnson,"Oct 12, '80, HOU @ LAL",23,1,12,90,7,25,0,0,3,5,6,22,1,0,5,7,18,17,.280,,.600,7.5,1.4,1.8,0.1,0.0,0.4,1980-81
Reggie Johnson,"Oct 10, '80, SAS @ DEN",23,1,79,1716,340,682,0,1,128,193,132,358,78,45,48,130,283,808,.499,.000,.663,21.7,10.2,4.5,1.0,0.6,0.6,1980-81
Edgar Jones,"Nov 14, '80, NJN @ BOS",24,1,60,950,189,357,0,4,146,218,92,263,43,36,81,101,185,524,.529,.000,.670,15.8,8.7,4.4,0.7,0.6,1.4,1980-81
Walter Jordan,"Oct 10, '80, CLE @ BOS",24,1,30,207,29,75,0,0,10,17,23,42,11,11,5,17,35,68,.387,,.588,6.9,2.3,1.4,0.4,0.4,0.2,1980-81
Clarence Kea,"Feb 11, '81, DAL @ PHO",21,1,16,199,37,81,0,1,43,62,28,67,5,6,1,16,44,117,.457,.000,.694,12.4,7.3,4.2,0.3,0.4,0.1,1980-81
Chad Kinch,"Oct 10, '80, CLE @ BOS",22,1,41,353,52,141,0,0,14,18,7,33,45,11,6,30,33,118,.369,,.778,8.6,2.9,0.8,1.1,0.3,0.1,1980-81
Wayne Kreklow,"Oct 10, '80, BOS vs. CLE",24,1,25,100,11,47,1,4,7,10,2,12,9,2,1,10,20,30,.234,.250,.700,4.0,1.2,0.5,0.4,0.1,0.0,1980-81
Bill Laimbeer,"Oct 10, '80, CLE @ BOS",23,1,81,2460,337,670,0,0,117,153,266,693,216,56,78,132,332,791,.503,,.765,30.4,9.8,8.6,2.7,0.7,1.0,1980-81
Edmund Lawrence,"Jan 27, '81, DET @ DEN",28,1,3,19,5,8,0,0,2,4,2,4,1,1,0,1,6,12,.625,,.500,6.3,4.0,1.3,0.3,0.3,0.0,1980-81
Ronnie Lester,"Oct 24, '80, CHI vs. WSB",22,1,8,83,10,24,0,0,10,11,3,6,7,2,0,9,5,30,.417,,.909,10.4,3.8,0.8,0.9,0.3,0.0,1980-81
Kyle Macy,"Oct 10, '80, PHO vs. GSW",23,1,82,1469,272,532,12,51,107,119,44,132,160,76,5,95,120,663,.511,.235,.899,17.9,8.1,1.6,2.0,0.9,0.1,1980-81
Rick Mahorn,"Oct 10, '80, WSB @ DET",22,1,52,696,111,219,0,0,27,40,67,215,25,21,44,38,134,249,.507,,.675,13.4,4.8,4.1,0.5,0.4,0.8,1980-81
Wes Matthews,"Oct 10, '80, WSB @ DET",21,1,79,2266,385,779,5,21,202,252,46,139,411,107,17,261,242,977,.494,.238,.802,28.7,12.4,1.8,5.2,1.4,0.2,1980-81
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1980-81
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1980-81
Bill Mayfield,"Feb 27, '81, GSW @ DEN",23,1,7,54,8,18,0,0,1,2,7,9,1,0,1,3,8,17,.444,,.500,7.7,2.4,1.3,0.1,0.0,0.1,1980-81
Keith McCord,"Dec 23, '80, WSB @ ATL",23,1,2,9,2,4,0,0,0,0,1,2,1,0,0,2,0,4,.500,,,4.5,2.0,1.0,0.5,0.0,0.0,1980-81
Kevin McHale*,"Oct 10, '80, BOS vs. CLE",23,1,82,1645,355,666,0,2,108,159,155,359,55,27,151,110,260,818,.533,.000,.679,20.1,10.0,4.4,0.7,0.3,1.8,1980-81
Dick Miller,"Nov 11, '80, IND @ SAS",22,1,8,53,4,9,0,1,0,0,2,7,5,4,0,8,5,8,.444,.000,,6.6,1.0,0.9,0.6,0.5,0.0,1980-81
Johnny Moore,"Oct 10, '80, SAS @ DEN",22,1,82,1578,249,520,1,19,105,172,58,196,373,120,22,154,178,604,.479,.053,.610,19.2,7.4,2.4,4.5,1.5,0.3,1980-81
Lowes Moore,"Oct 11, '80, NJN @ CLE",23,1,71,1406,212,478,4,27,69,92,43,168,228,61,17,108,179,497,.444,.148,.750,19.8,7.0,2.4,3.2,0.9,0.2,1980-81
Kenny Natt,"Oct 15, '80, IND vs. CHI",22,1,19,149,25,77,2,8,7,11,9,15,10,5,1,10,18,59,.325,.250,.636,7.8,3.1,0.8,0.5,0.3,0.1,1980-81
Carl Nicks,"Oct 10, '80, DEN vs. SAS",22,1,67,1109,172,359,0,4,71,126,37,110,149,60,3,116,141,415,.479,.000,.563,16.6,6.2,1.6,2.2,0.9,0.0,1980-81
Mike Niles,"Oct 10, '80, PHO vs. GSW",25,1,44,231,48,138,2,4,17,37,26,58,15,8,1,25,41,115,.348,.500,.459,5.3,2.6,1.3,0.3,0.2,0.0,1980-81
Mike O'Koren,"Oct 10, '80, NJN vs. IND",22,1,79,2473,365,751,5,18,135,212,179,478,252,86,27,146,243,870,.486,.278,.637,31.3,11.0,6.1,3.2,1.1,0.3,1980-81
Jawann Oldham,"Oct 10, '80, DEN vs. SAS",23,1,4,21,2,6,0,0,0,0,3,5,0,0,2,2,3,4,.333,,,5.3,1.0,1.3,0.0,0.0,0.5,1980-81
Louis Orr,"Oct 10, '80, IND @ NJN",22,1,82,1787,348,709,0,6,163,202,172,361,132,55,25,123,153,859,.491,.000,.807,21.8,10.5,4.4,1.6,0.7,0.3,1980-81
Myles Patrick,"Nov 14, '80, LAL vs. SDC",26,1,3,9,2,5,0,0,1,2,1,2,1,0,0,1,3,5,.400,,.500,3.0,1.7,0.7,0.3,0.0,0.0,1980-81
Tony Price,"Oct 11, '80, SDC @ GSW",24,1,5,29,2,7,0,0,0,0,0,0,3,2,1,2,3,4,.286,,,5.8,0.8,0.0,0.6,0.4,0.2,1980-81
Wally Rank,"Oct 11, '80, SDC @ GSW",22,1,25,153,21,57,0,0,13,28,17,30,17,7,1,26,33,55,.368,,.464,6.1,2.2,1.2,0.7,0.3,0.0,1980-81
Kelvin Ransey,"Oct 12, '80, POR vs. SEA",22,1,80,2431,525,1162,3,31,164,219,42,195,555,88,9,232,201,1217,.452,.097,.749,30.4,15.2,2.4,6.9,1.1,0.1,1980-81
