Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Paul Arizin*,"Nov 4, '50, PHW vs. BOS",22,1,65,,352,864,,,417,526,,640,138,,,,284,1121,.407,,.793,,17.2,9.8,2.1,,,1950-51
Ed Beach,"Nov 1, '50, MNL @ BLB",22,1,12,,8,38,,,6,9,,25,3,,,,14,22,.211,,.667,,1.8,2.1,0.3,,,1950-51
Leon Blevins,"Nov 4, '50, INO @ BLB",24,1,2,,1,4,,,0,1,,2,1,,,,3,2,.250,,.000,,1.0,1.0,0.5,,,1950-51
Ike Borsavage,"Nov 4, '50, PHW vs. BOS",26,1,24,,26,74,,,12,18,,24,4,,,,34,64,.351,,.667,,2.7,1.0,0.2,,,1950-51
Art Burris,"Nov 1, '50, FTW vs. BOS",26,1,33,,28,113,,,21,36,,106,27,,,,51,77,.248,,.583,,2.3,3.2,0.8,,,1950-51
Gerry Calabrese,"Nov 2, '50, SYR vs. FTW",25,1,46,,70,197,,,61,88,,65,65,,,,80,201,.355,,.693,,4.4,1.4,1.4,,,1950-51
Cal Christensen,"Nov 2, '50, TRI vs. BOS",23,1,67,,134,445,,,175,245,,523,161,,,,266,443,.301,,.714,,6.6,7.8,2.4,,,1950-51
Nat Clifton*,"Nov 4, '50, NYK @ TRI",28,1,65,,211,656,,,140,263,,491,162,,,,269,562,.322,,.532,,8.6,7.6,2.5,,,1950-51
Chuck Cooper*,"Nov 1, '50, BOS @ FTW",24,1,66,,207,601,,,201,267,,562,174,,,,219,615,.344,,.753,,9.3,8.5,2.6,,,1950-51
Bob Cousy*,"Nov 1, '50, BOS @ FTW",22,1,69,,401,1138,,,276,365,,474,341,,,,185,1078,.352,,.756,,15.6,6.9,4.9,,,1950-51
Hank DeZonie,"Dec 3, '50, TRI vs. NYK",28,1,5,,6,25,,,5,7,,18,9,,,,6,17,.240,,.714,,3.4,3.6,1.8,,,1950-51
Bob Donham,"Nov 1, '50, BOS @ FTW",24,1,68,,151,298,,,114,229,,235,139,,,,179,416,.507,,.498,,6.1,3.5,2.0,,,1950-51
Larry Foust,"Nov 1, '50, FTW vs. BOS",22,1,68,,327,944,,,261,396,,681,90,,,,247,915,.346,,.659,,13.5,10.0,1.3,,,1950-51
Ed Gayda,"Nov 2, '50, TRI vs. BOS",23,1,15,,19,46,,,18,24,,39,13,,,,34,56,.413,,.750,,3.7,2.6,0.9,,,1950-51
Joe Hutton,"Nov 1, '50, MNL @ BLB",22,1,60,,59,180,,,29,43,,102,53,,,,89,147,.328,,.674,,2.5,1.7,0.9,,,1950-51
Bob Lavoy,"Nov 1, '50, INO @ WSC",24,1,63,,221,619,,,84,133,,310,76,,,,190,526,.357,,.632,,8.3,4.9,1.2,,,1950-51
Earl Lloyd*,"Oct 31, '50, WSC @ ROC",22,1,7,,16,35,,,11,13,,47,11,,,,26,43,.457,,.846,,6.1,6.7,1.6,,,1950-51
Don Lofgran,"Nov 2, '50, SYR vs. FTW",21,1,61,,79,270,,,79,127,,157,36,,,,132,237,.293,,.622,,3.9,2.6,0.6,,,1950-51
Norm Mager,"Nov 1, '50, BLB vs. MNL",24,1,24,,40,142,,,44,56,,47,23,,,,68,124,.282,,.786,,5.2,2.0,1.0,,,1950-51
Joe McNamee,"Oct 31, '50, ROC vs. WSC",24,1,60,,48,167,,,27,42,,101,18,,,,88,123,.287,,.643,,2.1,1.7,0.3,,,1950-51
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1950-51
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1950-51
Chuck Mrazovich,"Nov 1, '50, INO @ WSC",26,1,25,,28,80,,,29,48,,40,13,,,,52,85,.350,,.604,,3.4,1.6,0.5,,,1950-51
Ken Murray,"Nov 1, '50, BLB vs. MNL",22,1,66,,301,887,,,248,332,,355,202,,,,164,850,.339,,.747,,12.9,5.4,3.1,,,1950-51
Tommy O'Keefe,"Nov 4, '50, WSC vs. MNL",22,1,6,,10,28,,,3,4,,7,10,,,,5,23,.357,,.750,,3.8,1.2,1.7,,,1950-51
Kevin O'Shea,"Nov 1, '50, MNL @ BLB",25,1,63,,87,267,,,97,134,,125,100,,,,99,271,.326,,.724,,4.3,2.0,1.6,,,1950-51
Don Rehfeldt,"Nov 1, '50, BLB vs. MNL",24,1,59,,164,426,,,103,139,,251,68,,,,146,431,.385,,.741,,7.3,4.3,1.2,,,1950-51
Jim Riffey,"Nov 1, '50, FTW vs. BOS",27,1,35,,65,185,,,20,26,,61,16,,,,54,150,.351,,.769,,4.3,1.7,0.5,,,1950-51
Alan Sawyer,"Oct 31, '50, WSC @ ROC",23,1,33,,87,235,,,43,50,,121,25,,,,75,217,.370,,.860,,6.6,3.7,0.8,,,1950-51
Herb Scherer,"Feb 4, '51, TRI vs. ROC",22,1,20,,24,84,,,20,35,,50,17,,,,56,68,.286,,.571,,3.4,2.5,0.9,,,1950-51
Dick Schnittker,"Oct 31, '50, WSC @ ROC",22,1,29,,86,209,,,123,142,,153,41,,,,82,295,.411,,.866,,10.2,5.3,1.4,,,1950-51
Bill Sharman*,"Oct 31, '50, WSC @ ROC",24,1,31,,141,381,,,96,108,,110,39,,,,86,378,.370,,.889,,12.2,3.5,1.3,,,1950-51
