Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Elgin Baylor*,"Oct 22, '58, MNL vs. CIN",24,1,70,2855,605,1482,,,532,685,,1050,287,,,,270,1742,.408,,.777,40.8,24.9,15.0,4.1,,,1958-59
Jerry Bird,"Nov 5, '58, NYK @ CIN",23,1,11,45,12,32,,,1,1,,12,4,,,,7,25,.375,,1.000,4.1,2.3,1.1,0.4,,,1958-59
Bucky Bockhorn,"Oct 22, '58, CIN @ MNL",25,1,71,2251,294,771,,,138,196,,460,206,,,,215,726,.381,,.704,31.7,10.2,6.5,2.9,,,1958-59
Pete Brennan,"Oct 26, '58, NYK @ PHW",22,1,16,136,13,43,,,14,25,,31,6,,,,15,40,.302,,.560,8.5,2.5,1.9,0.4,,,1958-59
Barney Cable,"Oct 19, '58, DET @ SYR",23,1,31,271,43,126,,,23,29,,88,12,,,,30,109,.341,,.793,8.7,3.5,2.8,0.4,,,1958-59
Archie Dees,"Oct 22, '58, CIN @ MNL",22,1,68,1252,200,562,,,159,204,,339,56,,,,114,559,.356,,.779,18.4,8.2,5.0,0.8,,,1958-59
Connie Dierking,"Oct 19, '58, SYR vs. DET",22,1,64,726,105,290,,,83,140,,233,34,,,,148,293,.362,,.593,11.3,4.6,3.6,0.5,,,1958-59
Boo Ellis,"Oct 22, '58, MNL vs. CIN",22,1,72,1202,163,379,,,102,144,,380,59,,,,137,428,.430,,.708,16.7,5.9,5.3,0.8,,,1958-59
Wayne Embry*,"Oct 22, '58, CIN @ MNL",21,1,66,1590,272,702,,,206,314,,597,96,,,,232,750,.387,,.656,24.1,11.4,9.0,1.5,,,1958-59
Mike Farmer,"Oct 25, '58, NYK vs. BOS",22,1,72,1545,176,498,,,83,99,,315,66,,,,152,435,.353,,.838,21.5,6.0,4.4,0.9,,,1958-59
Dave Gambee,"Oct 23, '58, STL vs. DET",21,1,2,7,1,1,,,0,0,,2,0,,,,2,2,1.000,,,3.5,1.0,1.0,0.0,,,1958-59
Hal Greer*,"Oct 19, '58, SYR vs. DET",22,1,68,1625,308,679,,,137,176,,196,101,,,,189,753,.454,,.778,23.9,11.1,2.9,1.5,,,1958-59
Steve Hamilton,"Oct 22, '58, MNL vs. CIN",24,1,67,847,109,294,,,74,109,,220,36,,,,144,292,.371,,.679,12.6,4.4,3.3,0.5,,,1958-59
Vern Hatton,"Oct 22, '58, CIN @ MNL",23,1,64,1109,149,418,,,77,105,,178,70,,,,111,375,.356,,.733,17.3,5.9,2.8,1.1,,,1958-59
Andy Johnson,"Oct 25, '58, PHW @ SYR",26,1,67,1158,174,466,,,115,191,,212,90,,,,176,463,.373,,.602,17.3,6.9,3.2,1.3,,,1958-59
K.C. Jones*,"Nov 1, '58, BOS vs. DET",26,1,49,609,65,192,,,41,68,,127,70,,,,58,171,.339,,.603,12.4,3.5,2.6,1.4,,,1958-59
Tommy Kearns,"Oct 19, '58, SYR vs. DET",22,1,1,7,1,1,,,0,0,,0,0,,,,1,2,1.000,,,7.0,2.0,0.0,0.0,,,1958-59
Shellie McMillon,"Oct 19, '58, DET @ SYR",22,1,48,700,127,289,,,55,104,,285,26,,,,110,309,.439,,.529,14.6,6.4,5.9,0.5,,,1958-59
Jim Palmer,"Oct 22, '58, CIN @ MNL",25,1,67,1624,256,633,,,178,246,,472,65,,,,211,690,.404,,.724,24.2,10.3,7.0,1.0,,,1958-59
Jack Parr,"Oct 22, '58, CIN @ MNL",22,1,66,1037,109,307,,,44,73,,278,51,,,,138,262,.355,,.603,15.7,4.0,4.2,0.8,,,1958-59
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1958-59
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1958-59
Hub Reed,"Oct 23, '58, STL vs. DET",22,1,65,950,136,317,,,53,71,,317,32,,,,171,325,.429,,.746,14.6,5.0,4.9,0.5,,,1958-59
Guy Rodgers*,"Dec 11, '58, PHW vs. BOS",23,1,45,1565,211,535,,,61,112,,281,261,,,,132,483,.394,,.545,34.8,10.7,6.2,5.8,,,1958-59
Phil Rollins,"Oct 25, '58, PHW @ SYR",25,1,44,691,83,231,,,63,90,,118,102,,,,49,229,.359,,.700,15.7,5.2,2.7,2.3,,,1958-59
Larry Staverman,"Oct 22, '58, CIN @ MNL",22,1,57,681,101,215,,,45,59,,218,54,,,,103,247,.470,,.763,11.9,4.3,3.8,0.9,,,1958-59
Bennie Swain,"Oct 25, '58, BOS @ NYK",25,1,58,708,99,244,,,67,110,,262,29,,,,127,265,.406,,.609,12.2,4.6,4.5,0.5,,,1958-59
