Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Randy Allen,"Mar 9, '89, SAC @ PHI",24,1,7,43,8,19,0,1,1,2,3,7,0,1,1,2,7,17,.421,.000,.500,6.1,2.4,1.0,0.0,0.1,0.1,1988-89
Michael Anderson,"Jan 27, '89, SAS @ DAL",22,1,36,730,73,175,1,7,57,82,44,89,153,44,3,84,64,204,.417,.143,.695,20.3,5.7,2.5,4.3,1.2,0.1,1988-89
Willie Anderson,"Nov 5, '88, SAS vs. LAL",22,1,81,2738,640,1285,4,21,224,289,152,417,372,150,62,261,295,1508,.498,.190,.775,33.8,18.6,5.1,4.6,1.9,0.8,1988-89
Ricky Berry,"Nov 5, '88, SAC @ POR",24,1,64,1406,255,567,65,160,131,166,57,197,80,37,22,82,197,706,.450,.406,.789,22.0,11.0,3.1,1.3,0.6,0.3,1988-89
Anthony Bowie,"Mar 20, '89, SAS @ BOS",25,1,18,438,72,144,1,5,10,15,25,56,29,18,4,22,43,155,.500,.200,.667,24.3,8.6,3.1,1.6,1.0,0.2,1988-89
Scott Brooks,"Nov 4, '88, PHI vs. LAC",23,1,82,1372,156,371,55,153,61,69,19,94,306,69,3,65,116,428,.420,.359,.884,16.7,5.2,1.1,3.7,0.8,0.0,1988-89
Mark Bryant,"Nov 4, '88, POR vs. PHO",23,1,56,803,120,247,0,0,40,69,65,179,33,20,7,41,144,280,.486,,.580,14.3,5.0,3.2,0.6,0.4,0.1,1988-89
Greg Butler,"Nov 5, '88, NYK @ NJN",22,1,33,140,20,48,0,3,16,20,9,28,2,1,2,17,28,56,.417,.000,.800,4.2,1.7,0.8,0.1,0.0,0.1,1988-89
Mike Champion,"Mar 3, '89, SEA vs. HOU",24,1,2,4,0,3,0,1,0,0,0,0,0,0,0,1,2,0,.000,.000,,2.0,0.0,0.0,0.0,0.0,0.0,1988-89
Rex Chapman,"Nov 4, '88, CHH vs. CLE",21,1,75,2219,526,1271,60,191,155,195,74,187,176,70,25,113,167,1267,.414,.314,.795,29.6,16.9,2.5,2.3,0.9,0.3,1988-89
Derrick Chievous,"Nov 4, '88, HOU @ DEN",21,1,81,1539,277,634,5,24,191,244,114,256,77,48,11,136,161,750,.437,.208,.783,19.0,9.3,3.2,1.0,0.6,0.1,1988-89
Mark Davis,"Nov 4, '88, MIL @ IND",25,1,33,258,49,102,1,10,28,34,16,37,14,13,5,12,39,127,.480,.100,.824,7.8,3.8,1.1,0.4,0.4,0.2,1988-89
Vinny Del Negro,"Nov 5, '88, SAC @ POR",22,1,80,1556,239,503,6,20,85,100,48,171,206,65,14,77,160,569,.475,.300,.850,19.5,7.1,2.1,2.6,0.8,0.2,1988-89
Fennis Dembo,"Nov 18, '88, DET @ PHO",23,1,31,74,14,42,0,4,8,10,8,23,5,1,0,7,15,36,.333,.000,.800,2.4,1.2,0.7,0.2,0.0,0.0,1988-89
Ledell Eackles,"Nov 5, '88, WSB vs. CHI",22,1,80,1459,318,732,9,40,272,346,100,180,123,41,5,128,156,917,.434,.225,.786,18.2,11.5,2.3,1.5,0.5,0.1,1988-89
Kevin Edwards,"Nov 5, '88, MIA vs. LAC",23,1,79,2349,470,1105,10,37,144,193,85,262,349,139,27,246,154,1094,.425,.270,.746,29.7,13.8,3.3,4.4,1.8,0.3,1988-89
Wayne Engelstad,"Nov 4, '88, DEN vs. HOU",23,1,11,50,11,29,0,0,6,10,5,16,7,1,0,3,12,28,.379,,.600,4.5,2.5,1.5,0.6,0.1,0.0,1988-89
Rolando Ferreira,"Nov 4, '88, POR vs. PHO",24,1,12,34,1,18,0,0,7,8,4,13,1,0,1,6,7,9,.056,,.875,2.8,0.8,1.1,0.1,0.0,0.1,1988-89
