Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Eric Anderson,"Nov 16, '92, NYK @ POR",22,1,16,44,5,18,0,0,11,13,6,14,3,3,1,5,14,21,.278,,.846,2.8,1.3,0.9,0.2,0.2,0.1,1992-93
Anthony Avent,"Nov 6, '92, MIL @ DET",23,1,82,2285,347,802,0,2,112,172,180,512,91,57,73,140,237,806,.433,.000,.651,27.9,9.8,6.2,1.1,0.7,0.9,1992-93
Jon Barry,"Dec 8, '92, MIL @ POR",23,1,47,552,76,206,21,63,33,49,10,43,68,35,3,42,57,206,.369,.333,.673,11.7,4.4,0.9,1.4,0.7,0.1,1992-93
Tony Bennett,"Nov 6, '92, CHH vs. WSB",23,1,75,857,110,260,26,80,30,41,12,63,136,30,0,50,110,276,.423,.325,.732,11.4,3.7,0.8,1.8,0.4,0.0,1992-93
Alex Blackwell,"Nov 13, '92, LAL vs. LAC",22,1,27,109,14,42,0,3,6,8,10,23,7,4,2,5,14,34,.333,.000,.750,4.0,1.3,0.9,0.3,0.1,0.1,1992-93
Ricky Blanton,"Feb 15, '93, CHI vs. SAC",26,1,2,13,3,7,0,0,0,0,2,3,1,2,0,1,1,6,.429,,,6.5,3.0,1.5,0.5,1.0,0.0,1992-93
Walter Bond,"Nov 7, '92, DAL vs. UTA",23,1,74,1578,227,565,7,42,129,167,52,196,122,75,18,112,223,590,.402,.167,.772,21.3,8.0,2.6,1.6,1.0,0.2,1992-93
Dexter Cambridge,"Jan 7, '93, DAL vs. PHO",23,1,53,885,151,312,0,4,68,99,88,167,58,24,6,63,128,370,.484,.000,.687,16.7,7.0,3.2,1.1,0.5,0.1,1992-93
Doug Christie,"Mar 12, '93, LAL @ PHI",22,1,23,332,45,106,2,12,50,66,24,51,53,22,5,50,53,142,.425,.167,.758,14.4,6.2,2.2,2.3,1.0,0.2,1992-93
Duane Cooper,"Nov 6, '92, LAL @ LAC",23,1,65,645,62,158,7,30,25,35,13,50,150,18,2,69,66,156,.392,.233,.714,9.9,2.4,0.8,2.3,0.3,0.0,1992-93
