Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Nick Anderson,"Nov 4, '89, ORL vs. NJN",22,1,81,1785,372,753,1,17,186,264,107,316,124,69,34,138,140,931,.494,.059,.705,22.0,11.5,3.9,1.5,0.9,0.4,1989-90
Michael Ansley,"Nov 6, '89, ORL vs. NYK",22,1,72,1221,231,465,0,0,164,227,187,362,40,24,17,50,152,626,.497,,.722,17.0,8.7,5.0,0.6,0.3,0.2,1989-90
B.J. Armstrong,"Nov 3, '89, CHI vs. CLE",22,1,81,1291,190,392,3,6,69,78,19,102,199,46,6,83,105,452,.485,.500,.885,15.9,5.6,1.3,2.5,0.6,0.1,1989-90
Dana Barros,"Nov 3, '89, SEA vs. MIN",22,1,81,1630,299,738,95,238,89,110,35,132,205,53,1,123,97,782,.405,.399,.809,20.1,9.7,1.6,2.5,0.7,0.0,1989-90
Kenny Battle,"Nov 3, '89, PHO vs. GSW",25,1,59,729,93,170,1,4,55,82,44,124,38,35,11,32,94,242,.547,.250,.671,12.4,4.1,2.1,0.6,0.6,0.2,1989-90
Winston Bennett,"Nov 3, '89, CLE @ CHI",24,1,55,990,137,286,0,0,64,96,84,188,54,23,10,62,133,338,.479,,.667,18.0,6.1,3.4,1.0,0.4,0.2,1989-90
Mookie Blaylock,"Nov 3, '89, NJN @ MIA",22,1,50,1267,212,571,18,80,63,81,42,140,210,82,14,111,110,505,.371,.225,.778,25.3,10.1,2.8,4.2,1.6,0.3,1989-90
Chucky Brown,"Nov 3, '89, CLE @ CHI",21,1,75,1339,210,447,0,7,125,164,83,231,50,33,26,69,148,545,.470,.000,.762,17.9,7.3,3.1,0.7,0.4,0.3,1989-90
Raymond Brown,"Feb 19, '90, UTA vs. PHI",24,1,16,56,8,28,0,0,0,2,10,15,4,0,0,6,11,16,.286,,.000,3.5,1.0,0.9,0.3,0.0,0.0,1989-90
Stanley Brundy,"Nov 3, '89, NJN @ MIA",22,1,16,128,15,30,0,0,7,18,15,26,3,6,5,6,24,37,.500,,.389,8.0,2.3,1.6,0.2,0.4,0.3,1989-90
Torgeir Bryn,"Nov 3, '89, LAC vs. HOU",25,1,3,10,0,2,0,0,4,6,0,2,0,2,1,1,5,4,.000,,.667,3.3,1.3,0.7,0.0,0.7,0.3,1989-90
Steve Bucknall,"Nov 7, '89, LAL vs. PHO",23,1,18,75,9,33,0,1,5,6,5,7,10,2,1,11,10,23,.273,.000,.833,4.2,1.3,0.4,0.6,0.1,0.1,1989-90
Adrian Caldwell,"Nov 4, '89, HOU @ GSW",23,1,51,331,42,76,0,0,13,28,36,109,7,11,18,32,69,97,.553,,.464,6.5,1.9,2.1,0.1,0.2,0.4,1989-90
Lanard Copeland,"Nov 8, '89, PHI vs. MIA",24,1,23,110,31,68,1,5,11,14,4,10,9,1,1,19,12,74,.456,.200,.786,4.8,3.2,0.4,0.4,0.0,0.0,1989-90
Terry Davis,"Nov 3, '89, MIA vs. NJN",22,1,63,884,122,262,0,1,54,87,93,229,25,25,28,68,171,298,.466,.000,.621,14.0,4.7,3.6,0.4,0.4,0.4,1989-90
Byron Dinkins,"Nov 16, '89, HOU vs. LAC",22,1,33,362,44,109,1,9,26,30,13,40,75,19,2,37,30,115,.404,.111,.867,11.0,3.5,1.2,2.3,0.6,0.1,1989-90
Vlade Divac*,"Nov 3, '89, LAL @ DAL",21,1,82,1611,274,549,0,5,153,216,167,512,75,79,114,110,240,701,.499,.000,.708,19.6,8.5,6.2,0.9,1.0,1.4,1989-90
Sherman Douglas,"Nov 3, '89, MIA vs. NJN",23,1,81,2470,463,938,5,31,224,326,70,206,619,145,10,246,187,1155,.494,.161,.687,30.5,14.3,2.5,7.6,1.8,0.1,1989-90
Terry Dozier,"Nov 3, '89, CHH vs. WSB",23,1,9,92,9,27,0,1,4,8,7,15,3,6,2,7,10,22,.333,.000,.500,10.2,2.4,1.7,0.3,0.7,0.2,1989-90
Blue Edwards,"Nov 3, '89, UTA vs. DEN",24,1,82,1889,286,564,9,30,146,203,69,251,145,76,36,152,280,727,.507,.300,.719,23.0,8.9,3.1,1.8,0.9,0.4,1989-90
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1989-90
