Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Shareef Abdur-Rahim,"Nov 1, '96, VAN vs. POR",20,1,80,2802,550,1214,7,27,387,519,216,555,175,79,79,225,199,1494,.453,.259,.746,35.0,18.7,6.9,2.2,1.0,1.0,1996-97
Ray Allen*,"Nov 1, '96, MIL @ PHI",21,1,82,2532,390,908,117,298,205,249,97,326,210,75,10,149,218,1102,.430,.393,.823,30.9,13.4,4.0,2.6,0.9,0.1,1996-97
Shandon Anderson,"Nov 1, '96, UTA vs. SEA",23,1,65,1066,147,318,24,47,68,99,52,179,49,27,8,73,113,386,.462,.511,.687,16.4,5.9,2.8,0.8,0.4,0.1,1996-97
Dexter Boney,"Feb 1, '97, PHO @ TOR",26,1,8,48,6,19,1,6,6,8,3,6,0,2,1,1,3,19,.316,.167,.750,6.0,2.4,0.8,0.0,0.3,0.1,1996-97
Bruce Bowen,"Mar 16, '97, MIA vs. HOU",25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0,1996-97
Mark Bradtke,"Nov 9, '96, PHI vs. PHO",28,1,36,251,25,58,0,0,9,13,26,68,7,5,5,9,34,59,.431,,.692,7.0,1.6,1.9,0.2,0.1,0.1,1996-97
Marcus Brown,"Dec 29, '96, POR vs. SAS",22,1,21,184,28,70,13,32,13,19,4,15,20,8,2,13,26,82,.400,.406,.684,8.8,3.9,0.7,1.0,0.4,0.1,1996-97
Kobe Bryant*,"Nov 3, '96, LAL vs. MIN",18,1,71,1103,176,422,51,136,136,166,47,132,91,49,23,112,102,539,.417,.375,.819,15.5,7.6,1.9,1.3,0.7,0.3,1996-97
Marcus Camby,"Nov 1, '96, TOR vs. NYK",22,1,63,1897,375,778,2,14,183,264,131,394,97,66,130,134,214,935,.482,.143,.693,30.1,14.8,6.3,1.5,1.0,2.1,1996-97
Jimmy Carruth,"Mar 17, '97, MIL @ BOS",27,1,4,21,2,3,0,0,1,1,0,4,0,0,2,1,4,5,.667,,1.000,5.3,1.3,1.0,0.0,0.0,0.5,1996-97
Erick Dampier,"Nov 6, '96, IND @ BOS",21,1,72,1052,131,336,1,1,107,168,96,294,43,19,73,84,153,370,.390,1.000,.637,14.6,5.1,4.1,0.6,0.3,1.0,1996-97
Ben Davis,"Nov 7, '96, PHO vs. SEA",24,1,20,98,10,26,0,0,9,20,12,27,0,4,1,3,16,29,.385,,.450,4.9,1.5,1.4,0.0,0.2,0.1,1996-97
Emanual Davis,"Nov 1, '96, HOU vs. SAC",28,1,13,230,24,54,12,27,5,8,2,22,26,9,2,17,20,65,.444,.444,.625,17.7,5.0,1.7,2.0,0.7,0.2,1996-97
Tony Delk,"Nov 3, '96, CHH @ NYK",23,1,61,867,119,256,52,112,42,51,31,99,99,36,6,68,71,332,.465,.464,.824,14.2,5.4,1.6,1.6,0.6,0.1,1996-97
Nate Driggers,"Nov 8, '96, BOS vs. PHI",23,1,15,132,13,43,0,9,10,14,12,22,6,3,2,6,10,36,.302,.000,.714,8.8,2.4,1.5,0.4,0.2,0.1,1996-97
Brian Evans,"Jan 28, '97, ORL @ WSB",23,1,14,59,8,22,4,8,0,0,1,8,7,1,2,2,6,20,.364,.500,,4.2,1.4,0.6,0.5,0.1,0.1,1996-97
Jamie Feick,"Jan 10, '97, CHH @ PHO",22,1,41,624,56,157,5,14,34,67,82,214,26,16,14,31,78,151,.357,.357,.507,15.2,3.7,5.2,0.6,0.4,0.3,1996-97
Derek Fisher,"Nov 1, '96, LAL vs. PHO",22,1,80,921,104,262,22,73,79,120,25,97,119,41,5,71,87,309,.397,.301,.658,11.5,3.9,1.2,1.5,0.5,0.1,1996-97
Todd Fuller,"Nov 1, '96, GSW vs. LAC",22,1,75,949,114,266,0,0,76,110,108,249,24,10,20,52,146,304,.429,,.691,12.7,4.1,3.3,0.3,0.1,0.3,1996-97
Dean Garrett,"Nov 3, '96, MIN @ LAL",30,1,68,1665,223,389,0,0,96,138,149,495,38,40,95,34,158,542,.573,,.696,24.5,8.0,7.3,0.6,0.6,1.4,1996-97
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1996-97
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1996-97
Reggie Geary,"Nov 1, '96, CLE @ NJN",23,1,39,246,22,58,8,21,5,11,4,15,36,13,2,15,36,57,.379,.381,.455,6.3,1.5,0.4,0.9,0.3,0.1,1996-97
Devin Gray,"Dec 26, '96, SAC vs. VAN",24,1,6,49,8,26,0,0,2,5,6,14,2,4,0,5,11,18,.308,,.400,8.2,3.0,2.3,0.3,0.7,0.0,1996-97
Evric Gray,"Dec 13, '96, NJN vs. CHI",27,1,5,42,4,15,1,4,4,4,1,3,2,1,0,3,5,13,.267,.250,1.000,8.4,2.6,0.6,0.4,0.2,0.0,1996-97
Darvin Ham,"Nov 3, '96, DEN @ SAS",23,1,36,318,33,62,0,0,17,35,29,56,14,9,8,22,57,83,.532,,.486,8.8,2.3,1.6,0.4,0.3,0.2,1996-97
Steve Hamer,"Jan 31, '97, BOS vs. POR",23,1,35,268,30,57,0,2,16,29,17,60,7,2,4,13,39,76,.526,.000,.552,7.7,2.2,1.7,0.2,0.1,0.1,1996-97
Othella Harrington,"Nov 1, '96, HOU vs. SAC",23,1,57,860,112,204,0,3,49,81,75,198,18,12,22,57,112,273,.549,.000,.605,15.1,4.8,3.5,0.3,0.2,0.4,1996-97
Michael Hawkins,"Feb 11, '97, BOS @ LAC",24,1,29,326,29,68,10,31,12,15,9,31,64,16,1,28,40,80,.426,.323,.800,11.2,2.8,1.1,2.2,0.6,0.0,1996-97
Shane Heal,"Nov 1, '96, MIN vs. SAS",26,1,43,236,26,97,20,65,3,5,2,18,33,3,3,17,20,75,.268,.308,.600,5.5,1.7,0.4,0.8,0.1,0.1,1996-97
Mark Hendrickson,"Nov 20, '96, PHI vs. IND",22,1,29,301,32,77,3,12,18,26,35,92,3,10,4,14,32,85,.416,.250,.692,10.4,2.9,3.2,0.1,0.3,0.1,1996-97
Allen Iverson*,"Nov 1, '96, PHI vs. MIL",21,1,76,3045,625,1504,155,455,382,544,115,312,567,157,24,337,233,1787,.416,.341,.702,40.1,23.5,4.1,7.5,2.1,0.3,1996-97
Kerry Kittles,"Nov 1, '96, NJN vs. CLE",22,1,82,3012,507,1189,158,419,175,227,106,319,249,157,35,127,165,1347,.426,.377,.771,36.7,16.4,3.9,3.0,1.9,0.4,1996-97
Travis Knight,"Nov 1, '96, LAL vs. PHO",22,1,71,1156,140,275,0,0,62,100,130,319,39,31,58,49,170,342,.509,,.620,16.3,4.8,4.5,0.5,0.4,0.8,1996-97
Priest Lauderdale,"Nov 2, '96, ATL vs. DET",23,1,35,180,49,89,0,1,13,23,16,43,12,1,9,37,39,111,.551,.000,.565,5.1,3.2,1.2,0.3,0.0,0.3,1996-97
Randy Livingston,"Nov 1, '96, HOU vs. SAC",21,1,64,981,100,229,9,22,42,65,32,94,155,39,12,102,107,251,.437,.409,.646,15.3,3.9,1.5,2.4,0.6,0.2,1996-97
Horacio Llamas,"Mar 2, '97, PHO @ DAL",23,1,20,101,15,28,0,0,4,8,4,18,4,10,5,11,25,34,.536,,.500,5.1,1.7,0.9,0.2,0.5,0.3,1996-97
Matt Maloney,"Nov 1, '96, HOU vs. SAC",25,1,82,2386,271,615,154,381,71,93,19,160,303,82,1,122,125,767,.441,.404,.763,29.1,9.4,2.0,3.7,1.0,0.0,1996-97
Stephon Marbury,"Nov 1, '96, MIN vs. SAS",19,1,67,2324,355,871,102,288,245,337,54,184,522,67,19,210,159,1057,.408,.354,.727,34.7,15.8,2.7,7.8,1.0,0.3,1996-97
Walter McCarty,"Nov 3, '96, NYK vs. CHH",22,1,35,192,26,68,4,14,8,14,8,23,13,7,9,17,38,64,.382,.286,.571,5.5,1.8,0.7,0.4,0.2,0.3,1996-97
Amal McCaskill,"Nov 27, '96, ORL vs. ATL",23,1,17,109,10,32,0,2,8,12,4,22,7,3,5,11,7,28,.313,.000,.667,6.4,1.6,1.3,0.4,0.2,0.3,1996-97
Jeff McInnis,"Nov 10, '96, DEN @ CLE",22,1,13,117,23,49,12,26,7,10,2,6,18,2,1,13,16,65,.469,.462,.700,9.0,5.0,0.5,1.4,0.2,0.1,1996-97
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1996-97
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1996-97
Martin MÃ¼Ã¼rsepp,"Dec 21, '96, MIA @ HOU",22,1,42,348,54,131,4,24,44,70,35,67,20,12,11,18,58,156,.412,.167,.629,8.3,3.7,1.6,0.5,0.3,0.3,1996-97
Steve Nash*,"Nov 1, '96, PHO @ LAL",22,1,65,684,74,175,23,55,42,51,16,63,138,20,0,63,92,213,.423,.418,.824,10.5,3.3,1.0,2.1,0.3,0.0,1996-97
Ruben Nembhard,"Jan 11, '97, UTA @ DET",24,1,10,113,16,37,0,6,8,10,3,8,17,9,0,8,12,40,.432,.000,.800,11.3,4.0,0.8,1.7,0.9,0.0,1996-97
Gaylon Nickerson,"Dec 29, '96, SAS @ POR",27,1,4,42,4,12,0,2,7,7,1,5,1,1,1,1,1,15,.333,.000,1.000,10.5,3.8,1.3,0.3,0.3,0.3,1996-97
Moochie Norris,"Dec 12, '96, VAN @ POR",23,1,8,89,4,22,2,10,2,5,3,12,23,4,0,5,5,12,.182,.200,.400,11.1,1.5,1.5,2.9,0.5,0.0,1996-97
