Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Don Ackerman,"Oct 31, '53, NYK vs. MNL",23,1,28,220,14,63,,,15,28,,15,23,,,,43,43,.222,,.536,7.9,1.5,0.5,0.8,,,1953-54
Don Asmonga,"Dec 29, '53, BLB @ ROC",25,1,7,46,2,15,,,1,1,,1,5,,,,12,5,.133,,1.000,6.6,0.7,0.1,0.7,,,1953-54
Ernie Barrett,"Nov 1, '53, BOS vs. MNL",24,1,59,641,60,191,,,14,25,,100,55,,,,116,134,.314,,.560,10.9,2.3,1.7,0.9,,,1953-54
Ernie Beck,"Oct 31, '53, PHW vs. SYR",22,1,15,422,39,142,,,34,43,,50,34,,,,29,112,.275,,.791,28.1,7.5,3.3,2.3,,,1953-54
Irv Bemoras,"Oct 30, '53, MLH vs. MNL",23,1,69,1496,185,505,,,139,208,,214,79,,,,152,509,.366,,.668,21.7,7.4,3.1,1.1,,,1953-54
Bill Bolger,"Nov 14, '53, BLB vs. NYK",22,1,20,202,24,59,,,8,13,,36,11,,,,27,56,.407,,.615,10.1,2.8,1.8,0.6,,,1953-54
Walt Davis,"Oct 31, '53, PHW vs. SYR",23,1,68,1568,167,455,,,65,101,,435,58,,,,207,399,.367,,.644,23.1,5.9,6.4,0.9,,,1953-54
Gene Dyker,"Dec 5, '53, MLH @ BOS",23,1,11,91,6,26,,,4,8,,16,5,,,,21,16,.231,,.500,8.3,1.5,1.5,0.5,,,1953-54
Ed Earle,"Oct 31, '53, SYR @ PHW",26,1,2,12,1,2,,,2,4,,2,0,,,,0,4,.500,,.500,6.0,2.0,1.0,0.0,,,1953-54
Ray Felix,"Oct 31, '53, BLB @ ROC",23,1,72,2672,410,983,,,449,704,,958,82,,,,253,1269,.417,,.638,37.1,17.6,13.3,1.1,,,1953-54
Jim Fritsche,"Oct 30, '53, MNL @ MLH",22,1,68,1221,116,379,,,49,68,,217,73,,,,103,281,.306,,.721,18.0,4.1,3.2,1.1,,,1953-54
