Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Ken Austin,"Nov 3, '83, DET @ WSB",22,1,7,28,6,13,0,0,0,0,2,3,1,1,1,3,7,12,.462,,,4.0,1.7,0.4,0.1,0.1,0.1,1983-84
Thurl Bailey,"Oct 29, '83, UTA vs. LAL",22,1,81,2009,302,590,0,0,88,117,115,464,129,38,122,105,193,692,.512,,.752,24.8,8.5,5.7,1.6,0.5,1.5,1983-84
Randy Breuer,"Oct 28, '83, MIL vs. IND",23,1,57,472,68,177,0,0,32,46,48,109,17,11,38,35,98,168,.384,,.696,8.3,2.9,1.9,0.3,0.2,0.7,1983-84
Wallace Bryant,"Nov 23, '83, CHI @ UTA",24,1,29,317,52,133,0,0,14,33,37,80,13,9,11,16,48,118,.391,,.424,10.9,4.1,2.8,0.4,0.3,0.4,1983-84
Howard Carter,"Oct 28, '83, DEN vs. UTA",22,1,55,688,145,316,5,19,47,61,38,86,71,19,4,42,81,342,.459,.263,.770,12.5,6.2,1.6,1.3,0.3,0.1,1983-84
Carlos Clark,"Oct 29, '83, BOS @ CLE",23,1,31,127,19,52,0,2,16,18,7,17,17,8,1,12,13,54,.365,.000,.889,4.1,1.7,0.5,0.5,0.3,0.0,1983-84
Leroy Combs,"Oct 28, '83, IND @ MIL",23,1,48,446,81,163,0,3,56,91,19,56,38,23,18,46,49,218,.497,.000,.615,9.3,4.5,1.2,0.8,0.5,0.4,1983-84
Russell Cross,"Nov 12, '83, GSW vs. CLE",22,1,45,354,64,112,0,0,38,91,35,82,22,12,7,19,58,166,.571,,.418,7.9,3.7,1.8,0.5,0.3,0.2,1983-84
Darren Daye,"Oct 28, '83, WSB @ PHI",23,1,75,1174,180,408,0,6,95,133,90,188,176,38,12,96,154,455,.441,.000,.714,15.7,6.1,2.5,2.3,0.5,0.2,1983-84
Clyde Drexler*,"Oct 28, '83, POR vs. SDC",21,1,82,1408,252,559,1,4,123,169,112,235,153,107,29,123,209,628,.451,.250,.728,17.2,7.7,2.9,1.9,1.3,0.4,1983-84
Craig Ehlo,"Apr 2, '84, HOU @ UTA",22,1,7,63,11,27,0,0,1,1,4,9,6,3,0,3,13,23,.407,,1.000,9.0,3.3,1.3,0.9,0.4,0.0,1983-84
Dale Ellis,"Oct 29, '83, DAL vs. PHO",23,1,67,1059,225,493,12,29,87,121,106,250,56,41,9,78,118,549,.456,.414,.719,15.8,8.2,3.7,0.8,0.6,0.1,1983-84
Rod Foster,"Oct 29, '83, PHO @ DAL",23,1,80,1424,260,580,22,84,122,155,39,120,172,54,9,108,193,664,.448,.262,.787,17.8,8.3,1.5,2.2,0.7,0.1,1983-84
John Garris,"Oct 29, '83, CLE vs. BOS",24,1,33,267,52,102,0,0,27,34,35,77,10,8,6,11,40,131,.510,,.794,8.1,4.0,2.3,0.3,0.2,0.2,1983-84
Mike Gibson,"Nov 3, '83, WSB vs. DET",23,1,32,229,21,55,0,0,11,17,29,66,9,5,7,14,30,53,.382,,.647,7.2,1.7,2.1,0.3,0.2,0.2,1983-84
Stewart Granger,"Oct 29, '83, CLE vs. BOS",22,1,56,738,97,226,4,13,53,70,8,55,134,24,0,57,97,251,.429,.308,.757,13.2,4.5,1.0,2.4,0.4,0.0,1983-84
Sidney Green,"Oct 29, '83, CHI vs. NJN",23,1,49,667,100,228,0,0,55,77,58,174,25,18,17,60,128,255,.439,,.714,13.6,5.2,3.6,0.5,0.4,0.3,1983-84
Bob Hansen,"Oct 28, '83, UTA @ DEN",23,1,55,419,65,145,0,8,18,28,13,48,44,15,4,35,62,148,.448,.000,.643,7.6,2.7,0.9,0.8,0.3,0.1,1983-84
Derek Harper,"Oct 29, '83, DAL vs. PHO",22,1,82,1712,200,451,3,26,66,98,53,172,239,95,21,111,143,469,.443,.115,.673,20.9,5.7,2.1,2.9,1.2,0.3,1983-84
Roy Hinson,"Oct 28, '83, CLE vs. NYK",22,1,80,1858,184,371,0,0,69,117,175,499,69,31,145,109,306,437,.496,,.590,23.2,5.5,6.2,0.9,0.4,1.8,1983-84
