Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Gary Alexander,"Nov 5, '93, MIA vs. ORL",24,1,11,55,8,14,0,0,3,9,7,15,2,3,0,8,10,19,.571,,.333,5.0,1.7,1.4,0.2,0.3,0.0,1993-94
Vin Baker,"Nov 5, '93, MIL @ CLE",22,1,82,2560,435,869,1,5,234,411,277,621,163,60,114,162,231,1105,.501,.200,.569,31.2,13.5,7.6,2.0,0.7,1.4,1993-94
Corie Blount,"Nov 5, '93, CHI @ CHH",25,1,67,690,76,174,0,0,46,75,76,194,56,19,33,52,93,198,.437,,.613,10.3,3.0,2.9,0.8,0.3,0.5,1993-94
Shawn Bradley,"Nov 5, '93, PHI vs. WSB",21,1,49,1385,201,491,0,3,102,168,98,306,98,45,147,148,170,504,.409,.000,.607,28.3,10.3,6.2,2.0,0.9,3.0,1993-94
P.J. Brown,"Nov 5, '93, NJN @ HOU",24,1,79,1950,167,402,1,6,115,152,188,493,93,71,93,72,177,450,.415,.167,.757,24.7,5.7,6.2,1.2,0.9,1.2,1993-94
Evers Burns,"Nov 24, '93, SAC vs. SEA",22,1,23,143,22,55,0,0,12,23,13,30,9,6,3,7,33,56,.400,,.522,6.2,2.4,1.3,0.4,0.3,0.1,1993-94
Scott Burrell,"Nov 23, '93, CHH @ WSB",23,1,51,767,98,234,2,6,46,70,46,132,62,37,16,45,88,244,.419,.333,.657,15.0,4.8,2.6,1.2,0.7,0.3,1993-94
Mitchell Butler,"Nov 5, '93, WSB @ PHI",23,1,75,1321,207,418,0,5,104,180,106,225,77,54,20,87,131,518,.495,.000,.578,17.6,6.9,3.0,1.0,0.7,0.3,1993-94
Sam Cassell,"Nov 5, '93, HOU vs. NJN",24,1,66,1122,162,388,26,88,90,107,25,134,192,59,7,94,136,440,.418,.295,.841,17.0,6.7,2.0,2.9,0.9,0.1,1993-94
Calbert Cheaney,"Nov 5, '93, WSB @ PHI",22,1,65,1604,327,696,1,23,124,161,88,190,126,63,10,108,148,779,.470,.043,.770,24.7,12.0,2.9,1.9,1.0,0.2,1993-94
Michael Curry,"Nov 5, '93, PHI vs. WSB",25,1,10,43,3,14,0,2,3,4,0,1,1,1,0,3,6,9,.214,.000,.750,4.3,0.9,0.1,0.1,0.1,0.0,1993-94
Antonio Davis,"Nov 5, '93, IND @ ATL",25,1,81,1732,216,425,0,1,194,302,190,505,55,45,84,107,189,626,.508,.000,.642,21.4,7.7,6.2,0.7,0.6,1.0,1993-94
Brian Davis,"Nov 5, '93, MIN @ DET",23,1,68,374,40,126,1,3,50,68,21,55,22,16,4,19,34,131,.317,.333,.735,5.5,1.9,0.8,0.3,0.2,0.1,1993-94
Terry Dehere,"Nov 5, '93, LAC vs. POR",22,1,64,759,129,342,23,57,61,81,25,68,78,28,3,61,69,342,.377,.404,.753,11.9,5.3,1.1,1.2,0.4,0.0,1993-94
Dell Demps,"Nov 23, '93, GSW @ ORL",23,1,2,11,2,6,0,0,0,2,0,0,1,2,0,1,1,4,.333,,.000,5.5,2.0,0.0,0.5,1.0,0.0,1993-94
Acie Earl,"Nov 5, '93, BOS vs. NYK",23,1,74,1149,151,372,0,1,108,160,85,247,12,24,53,72,178,410,.406,.000,.675,15.5,5.5,3.3,0.2,0.3,0.7,1993-94
Bill Edwards,"Feb 26, '94, PHI vs. ATL",22,1,3,44,2,18,0,5,2,5,5,14,4,3,1,4,6,6,.111,.000,.400,14.7,2.0,4.7,1.3,1.0,0.3,1993-94
Doug Edwards,"Dec 28, '93, ATL vs. DET",23,1,16,107,17,49,0,1,9,16,7,18,8,2,5,6,9,43,.347,.000,.563,6.7,2.7,1.1,0.5,0.1,0.3,1993-94
Harold Ellis,"Jan 8, '94, LAC vs. MIA",23,1,49,923,159,292,0,4,106,149,94,153,31,73,2,43,97,424,.545,.000,.711,18.8,8.7,3.1,0.6,1.5,0.0,1993-94
Alphonso Ford,"Mar 22, '94, SEA vs. SAS",22,1,6,16,7,13,1,1,1,2,0,0,1,2,0,1,2,16,.538,1.000,.500,2.7,2.7,0.0,0.2,0.3,0.0,1993-94
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1993-94
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1993-94
Chad Gallagher,"Feb 5, '94, UTA vs. POR",24,1,2,3,3,3,0,0,0,0,0,0,0,0,0,0,2,6,1.000,,,1.5,3.0,0.0,0.0,0.0,0.0,1993-94
Andrew Gaze,"Mar 11, '94, WSB vs. DEN",28,1,7,70,8,17,4,8,2,2,1,7,5,2,1,3,9,22,.471,.500,1.000,10.0,3.1,1.0,0.7,0.3,0.1,1993-94
Ricky Grace,"Nov 8, '93, ATL @ CHI",26,1,3,8,2,3,0,0,0,2,0,1,1,0,0,0,3,4,.667,,.000,2.7,1.3,0.3,0.3,0.0,0.0,1993-94
Greg Graham,"Nov 6, '93, PHI @ ORL",23,1,70,889,122,305,2,25,92,110,21,86,66,61,4,65,54,338,.400,.080,.836,12.7,4.8,1.2,0.9,0.9,0.1,1993-94
Josh Grant,"Nov 5, '93, GSW @ SAS",26,1,53,382,59,146,17,61,22,29,27,89,24,18,8,30,62,157,.404,.279,.759,7.2,3.0,1.7,0.5,0.3,0.2,1993-94
Andr̩s Guibert,"Apr 15, '94, MIN vs. IND",25,1,5,33,6,20,0,0,3,6,10,16,2,0,1,6,6,15,.300,,.500,6.6,3.0,3.2,0.4,0.0,0.2,1993-94
Geert Hammink,"Apr 24, '94, ORL vs. NJN",24,1,1,3,1,3,0,0,0,0,1,1,1,0,0,0,1,2,.333,,,3.0,2.0,1.0,1.0,0.0,0.0,1993-94
Anfernee Hardaway,"Nov 5, '93, ORL @ MIA",22,1,82,3015,509,1092,50,187,245,330,192,439,544,190,51,292,205,1313,.466,.267,.742,36.8,16.0,5.4,6.6,2.3,0.6,1993-94
Lucious Harris,"Nov 5, '93, DAL @ UTA",23,1,77,1165,162,385,7,33,87,119,45,157,106,49,10,78,117,418,.421,.212,.731,15.1,5.4,2.0,1.4,0.6,0.1,1993-94
Antonio Harvey,"Nov 5, '93, LAL vs. PHO",23,1,27,247,29,79,0,0,12,26,26,59,5,8,19,17,39,70,.367,,.462,9.1,2.6,2.2,0.2,0.3,0.7,1993-94
Scott Haskin,"Nov 6, '93, IND vs. DET",23,1,27,186,21,45,0,0,13,19,17,55,6,2,15,13,33,55,.467,,.684,6.9,2.0,2.0,0.2,0.1,0.6,1993-94
Skeeter Henry,"Apr 18, '94, PHO @ DAL",26,1,4,15,1,5,0,2,2,4,0,2,4,0,0,1,1,4,.200,.000,.500,3.8,1.0,0.5,1.0,0.0,0.0,1993-94
Allan Houston,"Nov 5, '93, DET vs. MIN",22,1,79,1519,272,671,35,117,89,108,19,120,100,34,13,99,165,668,.405,.299,.824,19.2,8.5,1.5,1.3,0.4,0.2,1993-94
Lindsey Hunter,"Nov 5, '93, DET vs. MIN",23,1,82,2172,335,893,69,207,104,142,47,189,390,121,10,184,174,843,.375,.333,.732,26.5,10.3,2.3,4.8,1.5,0.1,1993-94
Bobby Hurley,"Nov 5, '93, SAC vs. DEN",22,1,19,499,54,146,2,16,24,30,6,34,115,13,1,48,28,134,.370,.125,.800,26.3,7.1,1.8,6.1,0.7,0.1,1993-94
