Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
Alexis AjinÃ§a,"Oct 30, '08, CHA @ CLE",20,1,31,182,25,69,0,2,20,28,9,30,3,7,6,12,34,70,.362,.000,.714,5.9,2.3,1.0,0.1,0.2,0.2,2008-09,NBA
Joe Alexander,"Nov 2, '08, MIL @ NYK",22,1,59,716,102,245,16,46,58,83,44,115,42,15,29,52,107,278,.416,.348,.699,12.1,4.7,1.9,0.7,0.3,0.5,2008-09,NBA
Ryan Anderson,"Oct 29, '08, NJN @ WAS",20,1,66,1312,160,407,69,189,98,116,104,311,52,44,20,63,157,487,.393,.365,.845,19.9,7.4,4.7,0.8,0.7,0.3,2008-09,NBA
Darrell Arthur,"Oct 29, '08, MEM @ HOU",20,1,76,1464,191,436,0,2,40,60,108,346,43,52,52,47,206,422,.438,.000,.667,19.3,5.6,4.6,0.6,0.7,0.7,2008-09,NBA
D.J. Augustin,"Oct 30, '08, CHA @ CLE",21,1,72,1908,267,621,108,246,208,233,17,133,250,42,2,119,140,850,.430,.439,.893,26.5,11.8,1.8,3.5,0.6,0.0,2008-09,NBA
Nicolas Batum,"Oct 28, '08, POR @ LAL",20,1,79,1454,161,361,62,168,42,52,84,220,74,50,40,50,139,426,.446,.369,.808,18.4,5.4,2.8,0.9,0.6,0.5,2008-09,NBA
Jerryd Bayless,"Oct 28, '08, POR @ LAL",20,1,53,655,69,189,7,27,83,103,8,57,78,16,2,56,81,228,.365,.259,.806,12.4,4.3,1.1,1.5,0.3,0.0,2008-09,NBA
Michael Beasley,"Oct 29, '08, MIA @ NYK",20,1,81,2009,452,957,33,81,186,241,110,439,83,41,37,121,184,1123,.472,.407,.772,24.8,13.9,5.4,1.0,0.5,0.5,2008-09,NBA
Bobby Brown,"Oct 31, '08, SAC @ MIA",24,1,68,931,141,360,45,130,34,43,14,52,117,21,3,63,95,361,.392,.346,.791,13.7,5.3,0.8,1.7,0.3,0.0,2008-09,NBA
Mario Chalmers,"Oct 29, '08, MIA @ NYK",22,1,82,2626,278,662,114,311,148,193,37,228,403,160,8,165,240,818,.420,.367,.767,32.0,10.0,2.8,4.9,2.0,0.1,2008-09,NBA
Joe Crawford,"Apr 8, '09, NYK vs. DET",22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,.300,.250,1.000,11.5,4.5,2.0,0.5,0.5,0.0,2008-09,NBA
Joey Dorsey,"Nov 9, '08, HOU @ LAL",25,1,3,6,1,2,0,0,0,0,0,1,1,0,0,0,0,2,.500,,,2.0,0.7,0.3,0.3,0.0,0.0,2008-09,NBA
Chris Douglas-Roberts,"Oct 29, '08, NJN @ WAS",22,1,44,585,81,176,3,12,51,62,14,50,52,12,7,31,34,216,.460,.250,.823,13.3,4.9,1.1,1.2,0.3,0.2,2008-09,NBA
Goran DragiÄ,"Oct 29, '08, PHO @ SAS",22,1,55,728,88,224,20,54,50,65,33,103,111,29,3,73,87,246,.393,.370,.769,13.2,4.5,1.9,2.0,0.5,0.1,2008-09,NBA
Rudy FernÃ¡ndez,"Oct 28, '08, POR @ LAL",23,1,78,1993,268,630,159,398,120,143,47,207,159,69,12,86,111,815,.425,.399,.839,25.6,10.4,2.7,2.0,0.9,0.2,2008-09,NBA
Danilo Gallinari,"Oct 29, '08, NYK vs. MIA",20,1,28,412,56,125,32,72,26,27,13,55,15,14,4,15,48,170,.448,.444,.963,14.7,6.1,2.0,0.5,0.5,0.1,2008-09,NBA
Marc Gasol,"Oct 29, '08, MEM @ HOU",24,1,82,2521,350,661,0,1,275,375,201,605,143,63,90,164,265,975,.530,.000,.733,30.7,11.9,7.4,1.7,0.8,1.1,2008-09,NBA
J.R. Giddens,"Feb 22, '09, BOS @ PHO",23,1,6,8,2,3,0,0,0,0,2,3,0,1,0,1,1,4,.667,,,1.3,0.7,0.5,0.0,0.2,0.0,2008-09,NBA
Eric Gordon,"Oct 29, '08, LAC vs. LAL",20,1,78,2677,411,901,131,337,299,350,45,201,215,78,35,164,172,1252,.456,.389,.854,34.3,16.1,2.6,2.8,1.0,0.4,2008-09,NBA
DontÃ© Greene,"Oct 31, '08, SAC @ MIA",20,1,55,725,77,236,26,100,29,34,19,86,30,16,14,37,68,209,.326,.260,.853,13.2,3.8,1.6,0.5,0.3,0.3,2008-09,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2008-09,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2008-09,NBA
Hamed Haddadi,"Dec 30, '08, MEM vs. PHO",23,1,19,120,15,31,0,0,18,30,16,47,8,1,12,9,20,48,.484,,.600,6.3,2.5,2.5,0.4,0.1,0.6,2008-09,NBA
Malik Hairston,"Jan 31, '09, SAS vs. NOH",21,1,15,155,24,49,0,1,2,7,11,28,13,6,7,12,19,50,.490,.000,.286,10.3,3.3,1.9,0.9,0.4,0.5,2008-09,NBA
Roy Hibbert,"Oct 29, '08, IND @ DET",22,1,70,1009,198,420,0,0,98,147,115,243,49,20,76,55,215,494,.471,,.667,14.4,7.1,3.5,0.7,0.3,1.1,2008-09,NBA
J.J. Hickson,"Oct 30, '08, CLE vs. CHA",20,1,62,705,100,194,0,0,45,67,52,165,9,14,30,45,81,245,.515,,.672,11.4,4.0,2.7,0.1,0.2,0.5,2008-09,NBA
George Hill,"Nov 4, '08, SAS vs. DAL",22,1,77,1270,150,372,24,73,114,146,30,158,136,45,21,74,150,438,.403,.329,.781,16.5,5.7,2.1,1.8,0.6,0.3,2008-09,NBA
Steven Hill,"Nov 12, '08, OKC vs. ORL",23,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1.000,,,2.0,2.0,3.0,0.0,0.0,0.0,2008-09,NBA
Othello Hunter,"Nov 11, '08, ATL @ CHI",22,1,16,92,11,20,0,0,0,5,9,24,1,2,5,2,11,22,.550,,.000,5.8,1.4,1.5,0.1,0.1,0.3,2008-09,NBA
Darnell Jackson,"Nov 25, '08, CLE @ NYK",23,1,51,430,37,86,0,2,24,35,32,87,8,10,4,14,77,98,.430,.000,.686,8.4,1.9,1.7,0.2,0.2,0.1,2008-09,NBA
Nathan Jawai,"Jan 21, '09, TOR @ DET",22,1,6,19,1,4,0,0,0,0,1,2,0,0,0,2,3,2,.250,,,3.2,0.3,0.3,0.0,0.0,0.0,2008-09,NBA
Dontell Jefferson,"Apr 5, '09, CHA @ DET",25,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,.500,.500,.667,14.0,4.8,2.0,1.5,0.7,0.2,2008-09,NBA
Trey Johnson,"Feb 3, '09, CLE vs. TOR",24,1,4,14,0,5,0,0,4,4,0,1,0,0,0,1,4,4,.000,,1.000,3.5,1.0,0.3,0.0,0.0,0.0,2008-09,NBA
