Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Rafael Addison,"Nov 1, '86, PHO @ LAC",22,1,62,711,146,331,16,50,51,64,41,106,45,27,7,54,75,359,.441,.320,.797,11.5,5.8,1.7,0.7,0.4,0.1,1986-87
Mark Alarie,"Oct 31, '86, DEN vs. SAS",23,1,64,1110,217,443,2,9,67,101,73,214,74,22,28,56,138,503,.490,.222,.663,17.3,7.9,3.3,1.2,0.3,0.4,1986-87
William Bedford,"Nov 28, '86, PHO vs. SEA",23,1,50,979,142,358,0,1,50,86,79,246,57,18,37,85,125,334,.397,.000,.581,19.6,6.7,4.9,1.1,0.4,0.7,1986-87
Walter Berry,"Oct 31, '86, POR vs. SEA",22,1,63,1586,407,766,0,3,187,288,136,309,105,38,40,153,196,1001,.531,.000,.649,25.2,15.9,4.9,1.7,0.6,0.6,1986-87
Joe Binion,"Feb 16, '87, POR @ LAC",25,1,11,51,4,10,0,0,6,10,8,18,1,2,2,3,5,14,.400,,.600,4.6,1.3,1.6,0.1,0.2,0.2,1986-87
Adrian Branch,"Nov 4, '86, LAL @ SEA",23,1,32,219,48,96,0,2,42,54,23,53,16,16,3,24,39,138,.500,.000,.778,6.8,4.3,1.7,0.5,0.5,0.1,1986-87
Mike Brown,"Nov 1, '86, CHI @ NYK",23,1,62,818,106,201,0,0,46,72,71,214,24,20,7,59,129,258,.527,,.639,13.2,4.2,3.5,0.4,0.3,0.1,1986-87
Ben Coleman,"Oct 31, '86, NJN vs. NYK",25,1,68,1029,182,313,0,1,88,121,99,288,37,32,31,94,200,452,.581,.000,.727,15.1,6.6,4.2,0.5,0.5,0.5,1986-87
Dell Curry,"Oct 31, '86, UTA @ DAL",22,1,67,636,139,326,17,60,30,38,30,78,58,27,4,44,86,325,.426,.283,.789,9.5,4.9,1.2,0.9,0.4,0.1,1986-87
Brad Daugherty,"Nov 1, '86, CLE vs. WSB",21,1,80,2695,487,905,0,0,279,401,152,647,304,49,63,248,248,1253,.538,,.696,33.7,15.7,8.1,3.8,0.6,0.8,1986-87
