Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Doug Bolstorff,"Oct 23, '57, DET vs. BOS",26,1,3,21,2,5,,,0,0,,0,0,,,,1,4,.400,,,7.0,1.3,0.0,0.0,,,1957-58
George Brown,"Oct 30, '57, MNL vs. DET",22,1,1,6,0,2,,,1,2,,1,0,,,,1,1,.000,,.500,6.0,1.0,1.0,0.0,,,1957-58
Dick Duckett,"Oct 26, '57, CIN vs. SYR",24,1,34,424,54,158,,,24,27,,56,47,,,,60,132,.342,,.889,12.5,3.9,1.6,1.4,,,1957-58
Pat Dunn,"Dec 25, '57, PHW vs. BOS",26,1,28,206,28,90,,,14,17,,31,28,,,,20,70,.311,,.824,7.4,2.5,1.1,1.0,,,1957-58
Bill Ebben,"Nov 26, '57, DET @ MNL",22,1,8,50,6,28,,,3,4,,8,4,,,,5,15,.214,,.750,6.3,1.9,1.0,0.5,,,1957-58
Bo Erias,"Feb 9, '58, MNL @ CIN",25,1,18,401,59,170,,,30,47,,83,26,,,,52,148,.347,,.638,22.3,8.2,4.6,1.4,,,1957-58
Larry Friend,"Oct 23, '57, NYK @ STL",22,1,44,569,74,226,,,27,41,,106,47,,,,54,175,.327,,.659,12.9,4.0,2.4,1.1,,,1957-58
Hot Rod Hundley,"Oct 26, '57, MNL @ STL",23,1,65,1154,174,548,,,104,162,,186,121,,,,99,452,.318,,.642,17.8,7.0,2.9,1.9,,,1957-58
McCoy Ingram,"Jan 8, '58, MNL vs. BOS",26,1,24,267,27,103,,,13,28,,116,20,,,,44,67,.262,,.464,11.1,2.8,4.8,0.8,,,1957-58
Sam Jones*,"Oct 22, '57, BOS @ STL",24,1,56,594,100,233,,,60,84,,160,37,,,,42,260,.429,,.714,10.6,4.6,2.9,0.7,,,1957-58
Jim Krebs,"Oct 26, '57, MNL @ STL",22,1,68,1259,199,527,,,135,176,,502,27,,,,182,533,.378,,.767,18.5,7.8,7.4,0.4,,,1957-58
Brendan McCann,"Oct 23, '57, NYK @ STL",22,1,36,295,22,100,,,25,37,,45,54,,,,34,69,.220,,.676,8.2,1.9,1.3,1.5,,,1957-58
Worthy Patterson,"Oct 22, '57, STL vs. BOS",26,1,4,13,3,8,,,1,2,,2,2,,,,3,7,.375,,.500,3.3,1.8,0.5,0.5,,,1957-58
Jerry Paulson,"Oct 26, '57, CIN vs. SYR",22,1,6,68,8,23,,,4,6,,10,4,,,,5,20,.348,,.667,11.3,3.3,1.7,0.7,,,1957-58
Ray Radziszewski,"Oct 25, '57, PHW @ SYR",22,1,1,6,0,3,,,0,0,,2,1,,,,1,0,.000,,,6.0,0.0,2.0,1.0,,,1957-58
Lennie Rosenbluth,"Oct 25, '57, PHW @ SYR",25,1,53,373,91,265,,,53,84,,91,23,,,,39,235,.343,,.631,7.0,4.4,1.7,0.4,,,1957-58
Woody Sauldsberry,"Oct 25, '57, PHW @ SYR",23,1,71,2377,389,1082,,,134,218,,729,58,,,,245,912,.360,,.615,33.5,12.8,10.3,0.8,,,1957-58
Guy Sparrow,"Oct 23, '57, NYK @ STL",25,1,72,1661,318,838,,,165,257,,461,69,,,,232,801,.379,,.642,23.1,11.1,6.4,1.0,,,1957-58
Charlie Tyra,"Oct 23, '57, NYK @ STL",22,1,68,1182,175,490,,,150,224,,480,34,,,,175,500,.357,,.670,17.4,7.4,7.1,0.5,,,1957-58
Jim Walsh,"Nov 16, '57, PHW @ BOS",27,1,10,72,5,27,,,10,17,,15,8,,,,9,20,.185,,.588,7.2,2.0,1.5,0.8,,,1957-58
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1957-58
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1957-58
Win Wilfong,"Oct 22, '57, STL vs. BOS",24,1,71,1360,196,543,,,163,238,,290,163,,,,199,555,.361,,.685,19.2,7.8,4.1,2.3,,,1957-58
