Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Mike Bantom,"Oct 10, '73, PHO vs. SEA",22,1,76,1982,314,787,,,141,213,172,519,163,50,47,,289,769,.399,,.662,26.1,10.1,6.8,2.1,0.7,0.6,1973-74
Ron Behagen,"Oct 10, '73, KCO vs. CHI",23,1,80,2059,357,827,,,162,212,188,567,134,56,37,,291,876,.432,,.764,25.7,11.0,7.1,1.7,0.7,0.5,1973-74
Dennis Bell,"Oct 13, '73, NYK vs. HOU",22,1,1,4,0,1,,,0,0,0,0,0,0,0,,0,0,.000,,,4.0,0.0,0.0,0.0,0.0,0.0,1973-74
Jim Brewer,"Oct 12, '73, CLE vs. HOU",22,1,82,1862,210,548,,,80,123,207,524,149,46,35,,192,500,.383,,.650,22.7,6.1,6.4,1.8,0.6,0.4,1973-74
Allan Bristow,"Oct 13, '73, PHI vs. BOS",22,1,55,643,108,270,,,42,57,68,167,92,29,1,,68,258,.400,,.737,11.7,4.7,3.0,1.7,0.5,0.0,1973-74
John Brown,"Oct 9, '73, ATL vs. CAP",22,1,77,1715,277,632,,,163,217,177,441,114,29,16,,239,717,.438,,.751,22.3,9.3,5.7,1.5,0.4,0.2,1973-74
Larry Cannon,"Feb 20, '74, PHI @ HOU",26,1,19,335,49,127,,,19,28,16,36,52,7,4,,48,117,.386,,.679,17.6,6.2,1.9,2.7,0.4,0.2,1973-74
Bill Chamberlain,"Jan 27, '74, PHO vs. CAP",24,1,28,367,57,130,,,39,56,33,80,37,20,12,,74,153,.438,,.696,13.1,5.5,2.9,1.3,0.7,0.4,1973-74
Ken Charles,"Oct 9, '73, BUF vs. HOU",22,1,59,693,88,185,,,53,79,25,65,54,31,10,,91,229,.476,,.671,11.7,3.9,1.1,0.9,0.5,0.2,1973-74
E.C. Coleman,"Oct 10, '73, HOU @ PHI",23,1,58,1075,128,250,,,47,74,81,252,76,37,20,,162,303,.512,,.635,18.5,5.2,4.3,1.3,0.6,0.3,1973-74
Doug Collins*,"Oct 10, '73, PHI vs. HOU",22,1,25,436,72,194,,,55,72,7,46,40,13,2,,65,199,.371,,.764,17.4,8.0,1.8,1.6,0.5,0.1,1973-74
Mike D'Antoni,"Oct 10, '73, KCO vs. CHI",22,1,52,989,107,266,,,33,47,24,93,123,75,15,,112,247,.402,,.702,19.0,4.8,1.8,2.4,1.4,0.3,1973-74
Mel Davis,"Oct 16, '73, NYK vs. BUF",23,1,30,167,33,95,,,12,16,17,54,8,3,4,,36,78,.347,,.750,5.6,2.6,1.8,0.3,0.1,0.1,1973-74
Derrek Dickey,"Oct 23, '73, GSW vs. PHO",22,1,66,930,115,233,,,51,66,123,339,54,17,15,,112,281,.494,,.773,14.1,4.3,5.1,0.8,0.3,0.2,1973-74
Ernie DiGregorio,"Oct 9, '73, BUF vs. HOU",23,1,81,2910,530,1260,,,174,193,48,219,663,59,9,,242,1234,.421,,.902,35.9,15.2,2.7,8.2,0.7,0.1,1973-74
Steve Downing,"Oct 19, '73, BOS vs. PHI",23,1,24,137,21,64,,,22,38,14,39,11,5,0,,33,64,.328,,.579,5.7,2.7,1.6,0.5,0.2,0.0,1973-74
Rod Freeman,"Oct 10, '73, PHI vs. HOU",23,1,35,265,39,103,,,28,41,22,54,14,12,1,,42,106,.379,,.683,7.6,3.0,1.5,0.4,0.3,0.0,1973-74
Bernie Fryer,"Oct 13, '73, POR vs. CAP",24,1,80,1674,226,491,,,107,135,60,159,279,92,10,,187,559,.460,,.793,20.9,7.0,2.0,3.5,1.2,0.1,1973-74
Jim Garvin,"Oct 16, '73, BUF @ NYK",23,1,6,11,1,4,,,0,0,1,5,0,0,0,,1,2,.250,,,1.8,0.3,0.8,0.0,0.0,0.0,1973-74
Phil Hankinson,"Oct 19, '73, BOS vs. PHI",22,1,28,163,50,103,,,10,13,22,50,4,3,1,,18,110,.485,,.769,5.8,3.9,1.8,0.1,0.1,0.0,1973-74
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1973-74
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1973-74
Nate Hawthorne,"Oct 9, '73, LAL @ CHI",24,1,33,229,38,93,,,30,48,16,32,23,9,6,,33,106,.409,,.625,6.9,3.2,1.0,0.7,0.3,0.2,1973-74
Tom Ingelsby,"Oct 9, '73, ATL vs. CAP",22,1,48,398,50,131,,,29,37,10,44,37,19,4,,43,129,.382,,.784,8.3,2.7,0.9,0.8,0.4,0.1,1973-74
Dwight Jones,"Oct 9, '73, ATL vs. CAP",21,1,74,1448,238,502,,,116,156,145,454,86,29,64,,197,592,.474,,.744,19.6,8.0,6.1,1.2,0.4,0.9,1973-74
Ben Kelso,"Oct 12, '73, DET vs. ATL",24,1,46,298,35,96,,,15,22,15,31,18,12,1,,45,85,.365,,.682,6.5,1.8,0.7,0.4,0.3,0.0,1973-74
Tom Kozelko,"Oct 13, '73, CAP @ POR",22,1,49,573,59,133,,,23,32,52,124,25,21,7,,82,141,.444,,.719,11.7,2.9,2.5,0.5,0.4,0.1,1973-74
Kevin Kunnert,"Oct 9, '73, BUF vs. HOU",22,1,64,701,105,215,,,21,33,83,217,43,10,54,,151,231,.488,,.636,11.0,3.6,3.4,0.7,0.2,0.8,1973-74
Mike Macaluso,"Oct 13, '73, BUF vs. LAL",22,1,30,112,19,44,,,10,17,10,25,3,7,1,,31,48,.432,,.588,3.7,1.6,0.8,0.1,0.2,0.0,1973-74
Ted Manakas,"Nov 17, '73, KCO vs. BOS",22,1,5,45,4,10,,,4,4,0,3,2,1,0,,4,12,.400,,1.000,9.0,2.4,0.6,0.4,0.2,0.0,1973-74
Vester Marshall,"Dec 30, '73, SEA vs. GSW",25,1,13,174,7,29,,,3,7,14,37,4,4,3,,20,17,.241,,.429,13.4,1.3,2.8,0.3,0.3,0.2,1973-74
Allie McGuire,"Oct 16, '73, NYK vs. BUF",22,1,2,10,2,4,,,0,0,0,2,1,0,0,,2,4,.500,,,5.0,2.0,1.0,0.5,0.0,0.0,1973-74
Larry McNeill,"Oct 13, '73, KCO @ ATL",23,1,54,516,106,220,,,99,140,60,146,24,35,6,,76,311,.482,,.707,9.6,5.8,2.7,0.4,0.6,0.1,1973-74
Gary Melchionni,"Oct 10, '73, PHO vs. SEA",23,1,69,1251,202,439,,,92,107,46,142,142,41,9,,85,496,.460,,.860,18.1,7.2,2.1,2.1,0.6,0.1,1973-74
Louie Nelson,"Oct 9, '73, CAP @ ATL",22,1,49,556,93,215,,,53,73,26,70,52,31,2,,62,239,.433,,.726,11.3,4.9,1.4,1.1,0.6,0.0,1973-74
Jim Owens,"Oct 14, '73, PHO vs. GSW",23,1,17,101,21,39,,,11,14,1,9,15,5,0,,6,53,.538,,.786,5.9,3.1,0.5,0.9,0.3,0.0,1973-74
Ed Ratleff,"Oct 9, '73, HOU @ BUF",23,1,81,1773,254,585,,,103,129,93,286,181,90,27,,182,611,.434,,.798,21.9,7.5,3.5,2.2,1.1,0.3,1973-74
Joe Reaves,"Oct 12, '73, PHO vs. MIL",23,1,7,38,6,11,,,4,11,2,8,1,0,2,,6,16,.545,,.364,5.4,2.3,1.1,0.1,0.0,0.3,1973-74
Mark Sibley,"Nov 17, '73, POR @ HOU",23,1,28,124,20,56,,,6,7,9,25,13,4,1,,23,46,.357,,.857,4.4,1.6,0.9,0.5,0.1,0.0,1973-74
Bob Verga,"Dec 27, '73, POR @ GSW",28,1,21,216,42,93,,,20,32,11,18,17,12,0,,22,104,.452,,.625,10.3,5.0,0.9,0.8,0.6,0.0,1973-74
Kermit Washington,"Oct 9, '73, LAL @ CHI",22,1,45,400,73,151,,,26,49,62,147,19,21,18,,77,172,.483,,.531,8.9,3.8,3.3,0.4,0.5,0.4,1973-74
Slick Watts,"Oct 17, '73, SEA vs. KCO",22,1,62,1424,198,510,,,100,155,72,182,351,115,13,,207,496,.388,,.645,23.0,8.0,2.9,5.7,1.9,0.2,1973-74
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1973-74
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1973-74
Nick Weatherspoon,"Oct 9, '73, CAP @ ATL",23,1,65,1216,199,483,,,96,139,133,397,38,48,16,,179,494,.412,,.691,18.7,7.6,6.1,0.6,0.7,0.2,1973-74
Luke Witte,"Oct 26, '73, CLE @ BUF",23,1,57,728,105,243,,,46,62,80,227,41,8,22,,91,256,.432,,.742,12.8,4.5,4.0,0.7,0.1,0.4,1973-74
